tags,uploader,view_count_average,view_count,negative_video_uploads,duration,comment_count
raghurama ,ABN,13571.668224299065,5808674.0,293,1466770.0,5659.0
raghurama ,Sakshi,46628.17857142857,2611178.0,24,12295.0,4539.0
raghurama ,TV5,31332.511312217193,20773455.0,408,2781248.0,26855.0
raghurama ,TV9,6931.462686567164,464408.0,39,12412.0,341.0
schemes,ABN,9444.730624214495,22544572.0,1732,703282.0,23302.0
schemes,Sakshi,33282.31644204852,61738697.0,713,650552.0,88950.0
schemes,TV5,12624.22919556172,36408277.0,1821,644729.0,46575.0
schemes,TV9,10676.072643979058,32626078.0,1821,644333.0,27304.0
tdp,ABN,12042.32165712361,35753653.0,2060,608537.0,33535.0
tdp,Sakshi,30860.474317817014,38452151.0,682,247905.0,64422.0
tdp,TV5,17443.61063114951,145375051.0,4910,1572147.0,157555.0
tdp,TV9,19411.595548089037,46219009.0,1454,426945.0,28439.0
tdp pattabhi,ABN,11713.280193236715,4849298.0,322,90696.0,4686.0
tdp pattabhi,Sakshi,22554.141025641027,3518446.0,68,66440.0,7244.0
tdp pattabhi,TV5,20226.84347826087,13956522.0,421,318616.0,19091.0
tdp pattabhi,TV9,21909.50200803213,5455466.0,172,50188.0,3661.0
vangalapudi anitha,ABN,9733.173789173788,3416344.0,232,88881.0,3026.0
vangalapudi anitha,Sakshi,32009.492481203008,8514525.0,94,82372.0,14658.0
vangalapudi anitha,TV5,11612.815972222223,6688982.0,322,168029.0,9103.0
vangalapudi anitha,TV9,20278.83762886598,7868189.0,205,79094.0,4008.0
visakha,ABN,10707.702419354839,13277551.0,855,360766.0,13969.0
visakha,Sakshi,36405.83218964442,58358549.0,532,836857.0,78166.0
visakha,TV5,21793.059110629067,40186401.0,1089,727851.0,39153.0
visakha,TV9,16588.0935828877,24815788.0,863,385815.0,17605.0
vizag steel plant,ABN,11044.648148148148,1192822.0,79,25309.0,1441.0
vizag steel plant,Sakshi,9676.034482758621,1122420.0,38,83660.0,3120.0
vizag steel plant,TV5,13461.319327731093,1601897.0,80,67506.0,2370.0
vizag steel plant,TV9,8840.885350318471,1388019.0,101,48982.0,2082.0
ycp,ABN,17538.478723404256,60998829.0,2686,2686484.0,45526.0
ycp,Sakshi,38685.8202020202,114896886.0,889,1122441.0,137657.0
ycp,TV5,27083.119746350098,183650635.0,4330,7055829.0,190213.0
ycp,TV9,18195.556630824372,50765603.0,1582,1556307.0,42747.0
ysrcp,ABN,14407.295314109166,55957935.0,2895,2566827.0,48670.0
ysrcp,Sakshi,39295.2711352657,195218907.0,1535,7047314.0,228091.0
ysrcp,TV5,25610.302442078897,204498265.0,4908,4638378.0,218395.0
ysrcp,TV9,14891.251483911277,47666896.0,1849,642160.0,41652.0
yuvagalam,ABN,13489.438994481912,22001275.0,1088,1252631.0,18766.0
yuvagalam,Sakshi,32358.763908701854,45366987.0,448,483801.0,68368.0
yuvagalam,TV5,15630.547716428084,45860027.0,1531,1233010.0,52885.0
yuvagalam,TV9,16169.86445971268,25887953.0,865,293969.0,20015.0
