ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,Yellow Media,panchayat elections,Kuppam,janasena party,ap employees,ap assembly session today,Atchannaidu,alliance,ambati rambabu ,polavaram,visakha,vijayasai reddy,roja,nellore ,yuvashakti,tadepalli,suprem court,tdp leaders arrest,ap development,balineni srinivasa reddy,tadipatri,nandigama
bBwI00v1Ytc,2021-11-16,0.9985652565956116,2587.0,Sakshi,274.0,15.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dOOXvkccvIA,2021-11-17,-0.998171329498291,12186.0,Sakshi,333.0,64.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
--CSLBwFMLM,2021-11-22,0.996674656867981,2503.0,Sakshi,386.0,8.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UHwPSfo_Es8,2021-12-04,0.9933469295501708,18746.0,Sakshi,552.0,1.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j5ZjA7HFTmk,2021-12-06,-0.9982132911682128,20951.0,Sakshi,559.0,60.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
k-SJ8aJBX5Y,2021-12-11,-0.99797123670578,38282.0,Sakshi,386.0,121.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7ceI6i9H5MI,2021-12-15,-0.9968942403793336,9570.0,Sakshi,285.0,57.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YsCeSwnrs54,2021-12-22,-0.996879816055298,68604.0,Sakshi,246.0,160.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
9GUvanDijss,2021-12-22,-0.9978804588317872,5842.0,Sakshi,185.0,15.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SEtUdgoUvbM,2021-12-23,-0.9985693693161012,16861.0,Sakshi,308.0,67.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ZTTmetuky4,2021-12-23,-0.9992805123329164,101170.0,Sakshi,185.0,803.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
HlCoCPsBrms,2021-12-24,-0.998496413230896,35401.0,Sakshi,174.0,109.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
tuQqqA8jfXU,2021-12-25,0.9906575679779052,42379.0,Sakshi,184.0,225.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
O5MdgDubfdQ,2021-12-30,0.99511981010437,1626.0,Sakshi,579.0,10.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nTu6rTwrKtA,2021-12-31,0.9963114857673644,1239.0,Sakshi,312.0,4.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
OXPkQnHM-Cc,2021-12-31,-0.9890216588974,14532.0,Sakshi,101.0,53.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mbnm-N2ifYE,2021-12-31,-0.9994070529937744,28070.0,Sakshi,294.0,160.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mYAk8Q928F4,2021-12-31,0.992967128753662,3909.0,Sakshi,389.0,13.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yRe8-wrqQVQ,2021-12-31,-0.997627317905426,12347.0,Sakshi,98.0,23.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
d2BTdlCDF8g,2022-01-03,-0.9984147548675536,5915.0,Sakshi,100.0,32.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
N_Fj6e60ELc,2022-01-03,-0.9927668571472168,1535.0,Sakshi,214.0,2.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ZQhO5t5Nm-M,2022-01-03,0.9914013743400574,11734.0,Sakshi,379.0,41.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KSS7XUPhjjg,2022-01-03,0.9984830021858216,541.0,Sakshi,341.0,1.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
mIRrXLj42zw,2022-01-12,-0.9221158027648926,23556.0,Sakshi,272.0,97.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
bSbau3PkZC4,2022-01-12,0.9931401610374452,8745.0,Sakshi,518.0,46.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oNBvQNDbPOc,2022-01-13,-0.9925589561462402,50195.0,Sakshi,565.0,92.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gbymtYGyCis,2022-01-18,-0.9979815483093262,6885.0,Sakshi,220.0,21.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jOomTWzknT4,2022-01-18,0.9987480640411376,1585.0,Sakshi,227.0,4.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
WijQDrrgqwg,2022-01-18,-0.990205466747284,10909.0,Sakshi,98.0,23.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4G2EhzSV8rg,2022-01-18,-0.9974626302719116,3264.0,Sakshi,126.0,8.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rEDbuMMbJaA,2022-01-23,-0.9991119503974916,2998.0,Sakshi,231.0,45.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
iL581SnsWhE,2022-01-23,-0.9969287514686584,26335.0,Sakshi,327.0,99.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
iyltfFVSgVI,2022-02-03,0.9985398054122924,5458.0,Sakshi,208.0,46.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
E_VP-P64kVk,2022-02-03,-0.9933859705924988,3598.0,Sakshi,70.0,9.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
MTtlqxd-cBk,2022-02-15,0.9801424741744996,68240.0,Sakshi,285.0,92.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
v4slz5jrTQA,2022-02-16,0.9982168078422546,16139.0,Sakshi,99.0,34.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0BO89Pn5FnI,2022-02-17,0.9883672595024108,7603.0,Sakshi,479.0,5.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gTTbpDPrC84,2022-02-21,-0.977835476398468,21016.0,Sakshi,147.0,8.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
6s9RoYi3OFg,2022-03-07,-0.990336537361145,4216.0,Sakshi,486.0,9.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CqguDMU_LCU,2022-03-07,-0.9979382157325744,127391.0,Sakshi,104.0,385.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
IxApu3gClnw,2022-03-14,-0.998526692390442,5441.0,Sakshi,138.0,6.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
