ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
T4pL0vaNGwY,2021-11-15,-0.9970905780792236,12740.0,Sakshi,380.0,39.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8RBOtsxN_y0,2021-11-16,0.9892444610595704,13614.0,Sakshi,447.0,23.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8Hq2OYIVm9g,2021-11-18,0.9942095279693604,1014.0,Sakshi,428.0,6.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2LQpE1dLXco,2021-11-18,0.9913656711578368,10203.0,Sakshi,541.0,26.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sVHx_3lSEbk,2021-11-18,0.9910019040107728,4272.0,Sakshi,452.0,22.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xCeZnj-YZv0,2021-11-26,-0.98127543926239,4189.0,Sakshi,433.0,12.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9PMwve4TalU,2021-11-29,0.9963250756263732,2304.0,Sakshi,186.0,3.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ierg_wH4yr4,2021-11-30,0.99712735414505,3776.0,Sakshi,258.0,17.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
G_iwYo7cp0U,2021-11-30,0.9971045851707458,1827.0,Sakshi,309.0,12.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aIhp0mxYcPM,2021-11-30,0.9955180287361144,5745.0,Sakshi,283.0,20.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8CHXiErezI,2021-12-07,0.998430073261261,4852.0,Sakshi,200.0,4.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id9IXnw1O2E,2021-12-13,-0.9971287846565248,11377.0,Sakshi,397.0,88.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
uXiUtM4Y2q0,2021-12-15,-0.9992997646331788,38554.0,Sakshi,205.0,112.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3yIfmDmgPrc,2021-12-20,0.996886670589447,31994.0,Sakshi,252.0,24.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HivuBL4h18g,2021-12-20,0.9930597543716432,100569.0,Sakshi,237.0,99.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s82HzQK3zp8,2021-12-21,0.998793363571167,29864.0,Sakshi,575.0,186.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WvmW1LSv95k,2021-12-21,0.9966499209403992,3983.0,Sakshi,129.0,18.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FKY0nqn-brs,2021-12-25,0.9987755417823792,10373.0,Sakshi,184.0,14.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jnbkhnqLxS4,2021-12-30,0.9900915622711182,2771.0,Sakshi,367.0,12.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zbjjk04IqAM,2022-01-01,-0.9967430233955384,10636.0,Sakshi,207.0,60.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0GB94vLrPHM,2022-01-04,0.9970313310623168,9191.0,Sakshi,536.0,24.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K3Ff-PdNPAw,2022-01-06,0.9986912608146667,1809.0,Sakshi,320.0,9.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flNxMC2GQAE,2022-01-06,0.9355010390281676,1320.0,Sakshi,214.0,3.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2jdZBP8xDs,2022-01-06,0.9977420568466188,1713.0,Sakshi,350.0,12.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vSKdOSs6tEI,2022-01-07,0.998054265975952,4569.0,Sakshi,293.0,16.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sQwB_Sp72xI,2022-01-17,-0.9943562150001526,16121.0,Sakshi,595.0,32.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xs88DycnVTU,2022-01-19,0.998684823513031,63801.0,Sakshi,399.0,57.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rcIjP_gxCAA,2022-01-20,0.9980674386024476,2135.0,Sakshi,294.0,34.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
