ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,high court,alliance,visakha
zit63E1vP5w,2022-12-02,-0.9984776377677916,21347.0,ABN,415.0,24.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jSuQp2cNNFk,2022-12-02,0.99860817193985,2103.0,ABN,225.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_ltXlyIq6EQ,2022-12-02,-0.9950373768806458,1599.0,ABN,136.0,4.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lKx1ccG25KA,2022-12-02,-0.9922129511833192,7501.0,ABN,289.0,5.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
V0uhqWaPNhc,2022-12-02,-0.9970746040344238,4794.0,ABN,255.0,3.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ud4i0o7_yOU,2022-12-05,0.9974502921104432,68745.0,Sakshi,361.0,105.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mddPm2vFFfU,2022-12-07,0.9545135498046876,2950.0,Sakshi,159.0,6.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1
G4UKNbDLw0M,2022-12-07,0.998358428478241,1699.0,TV9,335.0,5.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
AMwu2D2SuIs,2022-12-07,-0.9986781477928162,1639.0,TV9,191.0,6.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
OhnY3L8mjp4,2022-12-09,-0.9984245300292968,1398.0,TV5,245.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-nQoajvSecI,2022-12-09,0.9919816851615906,47173.0,TV5,360.0,53.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eAOC6iS_4po,2022-12-10,-0.991692304611206,2424.0,TV9,195.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
JrWwNFE4dDU,2022-12-12,-0.9921058416366576,2206.0,ABN,280.0,3.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
