ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,visakha
wuuJCFHOmTI,2022-10-13,-0.9984833598136902,2999.0,TV5,360.0,7.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,1,0,0,0,1,0,0,0
UD5DGUu4_-o,2022-10-13,-0.9955722093582152,2875.0,TV5,85.0,5.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,0,0,0,0,0,0,0,0
3W9WV-Kg6rs,2022-10-14,-0.9807063341140748,3973.0,TV5,195.0,16.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,1,1,1,0,1,0,1,0,0,0,0,1
Pvk5sjIyRSc,2022-10-14,-0.9910914301872252,4116.0,ABN,291.0,6.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
0-SVs9AwbuQ,2022-10-15,0.9967948794364928,1694.0,TV5,435.0,3.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,0,0,0,1,0,0,0,0,0,0,0
SYWOZ9oyUvw,2022-10-18,-0.9982380867004396,2239.0,ABN,235.0,8.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,1,0,0,0,0,1,0
U8DvhVAsaJE,2022-10-26,-0.9987205862998962,5877.0,Sakshi,268.0,9.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,0,0,0,0,0,0,0,0
0o01ygB8FqY,2022-10-29,-0.9965807795524596,3399.0,ABN,484.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
y0urCWpR6sw,2022-10-30,-0.9986594915390016,513.0,TV5,338.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,1,0,0,0,0,0,0,1,0,0
MVg1Gz1glpM,2022-11-03,-0.996077835559845,15577.0,Sakshi,142.0,82.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,1,0,0,0,0,0,0,0
TMmVakVVPno,2022-11-07,0.9985559582710266,2029.0,Sakshi,445.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,1,0,0,0,0,0,0,0
nOsP_CnyL7w,2022-11-07,-0.9992225170135498,102612.0,Sakshi,515.0,198.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,0,1,0,0,1,0,0,1
KFQurOg_d14,2022-11-07,0.9973763227462769,1466.0,Sakshi,334.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,1,1,1,0,0,0,0,0,0
d5hyHCZVUys,2022-11-08,0.9964998960494996,39819.0,ABN,450.0,68.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
rzfwT1W_5fw,2022-11-14,-0.9983859062194824,56048.0,ABN,330.0,58.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,1,1,0,0,0,1,0,1,0,0
tKNjDTezVB8,2022-11-17,0.9985066056251526,106840.0,ABN,425.0,246.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
cJICtt7P0hM,2022-11-23,-0.9989256262779236,7534.0,ABN,430.0,26.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
x5VXfkoaJCc,2022-11-23,0.9895302653312684,13600.0,ABN,330.0,12.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,1,0,0,0,0,0,0
ePfumjJsegc,2022-11-23,-0.9914520978927612,74584.0,ABN,410.0,104.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
zILDkcdFx2g,2022-11-24,-0.9950346946716307,626.0,ABN,265.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
EEScVIPlrh4,2022-11-28,-0.990119695663452,46208.0,TV5,385.0,102.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,1,0,1,0,1,0,0,0,0
DygbkUj_06M,2022-11-28,-0.9984777569770812,1890.0,TV5,305.0,5.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,1,1,0,0,1,0,0,0,0,0,0,0
aE6fbU35RAs,2022-11-29,-0.9968170523643494,44350.0,ABN,430.0,70.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
OO7_y2st0QQ,2022-11-29,-0.995591163635254,2892.0,ABN,335.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,0,1,1,0,0,0,0,0,0
rQmJzAxryvA,2022-11-30,0.9964345693588256,631.0,TV9,218.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
