ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,janasena party,Sajjala ,ap assembly session today,alliance,polavaram,visakha,jogi ramesh ,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Anam Ramanarayana Reddy,nandigama
xx13CsuKLhc,2022-05-10,-0.9988635778427124,82972.0,Sakshi,312.0,282.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
p3RTlKy7EaE,2022-05-10,-0.9991222023963928,156682.0,Sakshi,272.0,443.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P8_OntL5PIs,2022-07-16,-0.9448382258415222,18697.0,Sakshi,150.0,39.0,undi.png,Mantena Ramaraju,TDP,Undi,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9L9thsbIx1I,2022-07-25,0.9893993139266968,2407.0,Sakshi,65.0,8.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wY6FC7klKS0,2022-07-27,-0.8801581859588623,25183.0,Sakshi,203.0,29.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eZLCCCKnIJU,2022-07-27,-0.9967251420021056,210378.0,Sakshi,204.0,244.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RdQoVgqQTdk,2022-09-06,-0.9948568344116212,3401.0,TV5,295.0,4.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1
l6P3Jnc0jn4,2022-09-07,-0.9967846870422364,16763.0,TV5,132.0,23.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
Y6SS2_5Uv5Q,2022-09-12,0.9983161687850952,2138.0,TV5,143.0,1.0,undi.png,Mantena Ramaraju,TDP,Undi,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
gawnyt6u2SA,2022-09-13,-0.9991912245750428,25706.0,Sakshi,504.0,121.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1eTKiDvMGYY,2022-09-14,-0.9984520673751832,4685.0,TV5,230.0,7.0,undi.png,Mantena Ramaraju,TDP,Undi,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
eV8jKEwj2vc,2022-09-15,-0.9963030815124512,4865.0,TV5,180.0,6.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4iPagfoDBTA,2022-09-16,0.961049497127533,101662.0,TV5,270.0,73.0,undi.png,Mantena Ramaraju,TDP,Undi,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
gbx8nI2o5Jk,2022-09-20,0.9931288957595824,15195.0,TV5,260.0,21.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
edKa2qWeBkM,2022-09-21,0.9951399564743042,29326.0,TV5,278.0,84.0,undi.png,Mantena Ramaraju,TDP,Undi,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CJWXU67Vgdg,2022-09-21,-0.9982132911682128,12623.0,TV5,185.0,38.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dlwb2zE4mNY,2022-09-23,0.9916749596595764,2356.0,TV5,557.0,1.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Be9DfNpxNvU,2022-09-24,-0.9983878135681152,29628.0,TV5,141.0,167.0,undi.png,Mantena Ramaraju,TDP,Undi,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tRmPDoZ84as,2022-10-15,0.9942325949668884,3360.0,Sakshi,371.0,6.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
AVMfZ12NYMw,2022-10-21,0.988799810409546,1379.0,ABN,69.0,4.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uYoeIQuAaBc,2022-10-26,-0.9973503351211548,4049.0,Sakshi,78.0,14.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8fEFD0Z5_jU,2022-10-27,0.930295467376709,8776.0,ABN,265.0,9.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1nblW9eBNjM,2022-11-03,-0.9978964328765868,3410.0,TV5,80.0,3.0,undi.png,Mantena Ramaraju,TDP,Undi,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
beTvecFw-TE,2022-11-10,0.9971364736557008,19695.0,Sakshi,594.0,49.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vQOdPot-Jig,2022-11-10,0.9948822259902954,3143.0,Sakshi,313.0,5.0,undi.png,Mantena Ramaraju,TDP,Undi,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
xq8Grt2SSkI,2022-11-11,0.988875150680542,9827.0,ABN,525.0,15.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kl1FdzJsuzM,2022-11-14,0.993239402770996,956.0,TV5,90.0,0.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CaleQGHZRWk,2022-11-19,0.9978373646736144,624.0,TV9,461.0,0.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VJCmQNlRFVU,2022-11-21,-0.9968210458755492,1928.0,ABN,387.0,0.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UX7LDmjPu78,2022-11-21,-0.9988046884536744,2869.0,ABN,225.0,4.0,undi.png,Mantena Ramaraju,TDP,Undi,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0
59ZI9CBIdB0,2022-11-21,-0.997847318649292,1510.0,ABN,265.0,3.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sJlasUm7g2I,2022-11-21,-0.9966787099838256,3034.0,ABN,380.0,1.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kx9dptNPvV4,2022-11-21,-0.9951025247573853,3383.0,ABN,355.0,3.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
LfVBB4xUNFU,2022-11-22,0.993442177772522,8225.0,ABN,495.0,31.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOl5gOiBlPo,2022-11-22,-0.9954522252082824,11456.0,ABN,490.0,16.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eq2XWmpTw0E,2022-11-22,-0.9806383848190308,2528.0,TV9,287.0,2.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
05yp6Pk86ug,2022-11-22,-0.9988844990730286,2359.0,ABN,215.0,5.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCh2Bv-NbAQ,2022-11-22,-0.9981600642204284,2563.0,TV9,305.0,1.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
VVF5kVBMwAA,2022-11-23,0.9859727621078492,4524.0,TV9,529.0,5.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iuS09UTPGHE,2022-11-29,0.9807834029197692,6112.0,Sakshi,343.0,8.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_ltXlyIq6EQ,2022-12-02,-0.9950373768806458,1599.0,ABN,136.0,4.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
I4h02TCx9AU,2022-12-04,-0.9924697279930116,3785.0,TV5,200.0,19.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JW9qTFoirI8,2022-12-04,0.9979070425033568,1327.0,TV9,300.0,1.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dJniZao4C7M,2022-12-04,0.9930485486984252,1515.0,TV5,155.0,1.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3q5op8UvPA,2022-12-06,-0.9926527738571168,4435.0,ABN,585.0,7.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G4UKNbDLw0M,2022-12-07,0.998358428478241,1699.0,TV9,335.0,5.0,undi.png,Mantena Ramaraju,TDP,Undi,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
lV0qWG2oWe4,2022-12-08,0.9947956204414368,6132.0,TV9,202.0,6.0,undi.png,Mantena Ramaraju,TDP,Undi,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1
2cTVUaE8E5A,2022-12-09,0.920008897781372,2036.0,TV9,185.0,1.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UeL5BY0g55w,2022-12-12,-0.9994788765907288,5940.0,ABN,360.0,13.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
erMrkKKuF9k,2022-12-12,0.9707358479499816,9406.0,ABN,380.0,17.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrrrqcmkP_k,2022-12-12,-0.9845396876335144,18781.0,ABN,415.0,31.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udjSeuidMGQ,2022-12-12,-0.9973022937774658,22095.0,ABN,430.0,49.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rm_Ki2xK0GY,2022-12-12,-0.9971730709075928,12919.0,ABN,410.0,10.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R9T0VT8iTHM,2022-12-12,0.9983862638473512,8821.0,Sakshi,487.0,209.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
z9gy0rJ5HxA,2022-12-13,0.9856131672859192,4340.0,Sakshi,324.0,11.0,undi.png,Mantena Ramaraju,TDP,Undi,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mzl91-WnCYc,2022-12-13,-0.9980126619338988,335.0,Sakshi,133.0,2.0,undi.png,Mantena Ramaraju,TDP,Undi,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
YsK23FRLu5M,2022-12-14,-0.9955658316612244,8050.0,ABN,260.0,8.0,undi.png,Mantena Ramaraju,TDP,Undi,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
vSIVMAl3lkc,2022-12-15,-0.998765468597412,1690.0,Sakshi,133.0,3.0,undi.png,Mantena Ramaraju,TDP,Undi,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1
BJy-zT5t2Bc,2022-12-15,-0.9986823201179504,2371.0,Sakshi,219.0,10.0,undi.png,Mantena Ramaraju,TDP,Undi,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
vkj9-xFGROg,2022-12-15,-0.9991301894187928,1135.0,Sakshi,110.0,2.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
z8MhFsPsYM8,2022-12-16,-0.9885606169700624,3353.0,ABN,470.0,0.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7zqZIiuw9Zs,2022-12-19,-0.9983148574829102,1460.0,TV5,160.0,3.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mL2VIbZ-nkk,2022-12-19,0.993181049823761,2388.0,TV5,288.0,9.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B55Yq54Q058,2022-12-19,-0.996299684047699,331.0,TV5,135.0,0.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3pMKfHrc1xY,2022-12-20,-0.9979720711708068,1206.0,ABN,385.0,2.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
idIhHBG-Grc,2022-12-25,0.997534990310669,7632.0,TV9,276.0,7.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3-HuEsEYI6o,2022-12-27,0.9870861768722534,706.0,TV9,97.0,0.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
qgjLXRMOUlk,2022-12-31,-0.9934886693954468,35559.0,TV5,227.0,65.0,undi.png,Mantena Ramaraju,TDP,Undi,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
5cAagAyJAns,2023-01-04,-0.9959413409233092,3656.0,TV5,56.0,3.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0wqmcElhbI,2023-01-04,-0.9982979893684388,1068.0,TV9,189.0,3.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7Q45zNTtwcE,2023-01-06,-0.999250590801239,2255.0,TV9,194.0,5.0,undi.png,Mantena Ramaraju,TDP,Undi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3YNVSJXCEKg,2023-01-06,0.9696592092514038,27420.0,ABN,340.0,77.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUxV8nQ_JX8,2023-01-06,-0.99226576089859,3817.0,ABN,310.0,2.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpO69S87o04,2023-01-07,0.9644716382026672,17539.0,TV9,168.0,12.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
BtdXV9ML_t8,2023-01-09,-0.9885927438735962,16869.0,Sakshi,342.0,68.0,undi.png,Mantena Ramaraju,TDP,Undi,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0
Sp812mtrzCU,2023-01-15,0.99861478805542,6919.0,TV9,448.0,12.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2v4v-nYiDg,2023-01-17,-0.9969847798347472,3784.0,ABN,150.0,2.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bRyisOWztb8,2023-01-17,0.9986205101013184,81190.0,ABN,520.0,153.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lr-J8pam5B8,2023-01-18,-0.997403919696808,16702.0,Sakshi,178.0,154.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
G5EBtJ7Pz08,2023-01-19,0.994904398918152,1432.0,Sakshi,546.0,7.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eNVL4ECWcOc,2023-01-23,-0.997138738632202,5290.0,ABN,255.0,3.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sX3VEORbF9A,2023-01-24,-0.9876726269721984,2382.0,TV5,257.0,10.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fBii50_m4W0,2023-01-24,-0.9978601336479188,5682.0,ABN,505.0,12.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BYYcLeIZ3bc,2023-01-24,0.998021364212036,30674.0,ABN,425.0,129.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jd2NtQ3Pdh0,2023-01-24,-0.991140067577362,4547.0,ABN,523.0,2.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_16H78PwIM,2023-01-24,0.9939864873886108,2629.0,ABN,350.0,6.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dlao6cvaD5g,2023-01-24,-0.989801824092865,1241.0,Sakshi,212.0,7.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R6SCkCOroNo,2023-01-26,0.993647038936615,1057.0,Sakshi,152.0,1.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
LEXkYOqlMEU,2023-01-29,-0.9823904037475586,799.0,TV9,282.0,4.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X-Xra7CkKZw,2023-01-29,0.9984673857688904,981.0,TV9,304.0,3.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5Uvz1CGt9M,2023-01-30,-0.9943990111351012,58633.0,ABN,310.0,81.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rFdJ95Mt8lk,2023-01-30,0.992206871509552,1034.0,TV5,435.0,1.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2lYPfFIxBEE,2023-01-30,0.9982505440711976,5897.0,ABN,350.0,5.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIYpfdgT2lo,2023-01-30,-0.9994489550590516,13689.0,ABN,465.0,31.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QtDgZzg8l1Q,2023-02-01,-0.9902352690696716,3838.0,TV5,439.0,4.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP5IshbeDCs,2023-02-02,-0.9973984956741332,5610.0,TV5,510.0,2.0,undi.png,Mantena Ramaraju,TDP,Undi,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0EfSpxJ5uAg,2023-02-02,-0.9979189038276672,1684.0,TV9,550.0,1.0,undi.png,Mantena Ramaraju,TDP,Undi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
