ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Gadapa Gadapaku ,Kuppam,janasena party,ap employees,ap assembly session today,alliance,ambati rambabu ,polavaram,visakha,roja,srikakulam,yuvashakti,tadepalli,suprem court,ap development,tadipatri,varahi ,nandigama
5NkiBrnpTMc,2022-05-18,0.991796851158142,3471.0,Sakshi,135.0,17.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
91BedJw2IfU,2022-05-20,0.99802565574646,12384.0,Sakshi,166.0,49.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7yx6p2BMtno,2022-05-23,0.9961484670639038,131423.0,Sakshi,589.0,423.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
L37tsUPqY4I,2022-05-30,0.9974702596664428,11931.0,Sakshi,266.0,50.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M7y7jv4Q2rs,2022-06-04,0.9872184991836548,9275.0,Sakshi,108.0,9.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zZeHNJhgSdM,2022-06-08,-0.9976589679718018,7605.0,Sakshi,133.0,24.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1
bLdt_4WY1cE,2022-06-18,-0.9912529587745668,50610.0,Sakshi,87.0,130.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mTHZQ-ZUcXI,2022-06-18,0.9846674799919128,14698.0,Sakshi,125.0,129.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
HtFHL00K7IE,2022-06-19,-0.9980637431144714,8770.0,Sakshi,201.0,50.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sPHEM5J9UV4,2022-06-20,0.9921974539756776,4137.0,Sakshi,172.0,24.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
C7Ck9o2_kOc,2022-06-21,-0.9960914254188538,72044.0,Sakshi,304.0,505.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
fzxJpBaFqQU,2022-06-25,0.983339548110962,16053.0,Sakshi,179.0,72.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cudcww-L_A4,2022-06-27,-0.9901081323623656,1701.0,Sakshi,259.0,0.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
sSjdht3MwKU,2022-06-29,0.6537987589836121,71575.0,Sakshi,71.0,82.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1
IZcZ3xI9wFA,2022-07-02,-0.9985112547874452,25783.0,Sakshi,166.0,105.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
t9O5fCWO18s,2022-07-12,0.9985143542289734,19547.0,Sakshi,148.0,8.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0
2dTMJNiunNw,2022-07-15,0.9975922107696532,1994.0,Sakshi,211.0,7.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
PiVhum_R0L0,2022-07-16,-0.997616171836853,4476.0,Sakshi,216.0,44.0,vijayawada_west.png,Vellampalli Srinivas,YSRCP,vijayawada_west,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
