ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
m-lM0Jy-RaA,2023-01-04,-0.998590052127838,14687.0,Sakshi,35.0,17.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EZ06iALHR1k,2023-01-04,-0.999392867088318,1943.0,TV9,220.0,15.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SzBCEm07X1U,2023-01-04,-0.9989284873008728,1727.0,Sakshi,222.0,28.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1
rBx2lb03FYo,2023-01-04,-0.9931893348693848,1352.0,Sakshi,191.0,4.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
6L6saSVnHo0,2023-01-04,-0.9803401827812196,12699.0,Sakshi,46.0,36.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVCWC1K16hM,2023-01-04,0.9940696954727172,928.0,TV9,335.0,5.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1
Xcdr6xPGnbw,2023-01-04,-0.998950719833374,1581.0,Sakshi,255.0,11.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1
-uzLtI8gPhI,2023-01-08,-0.9853208661079408,4277.0,Sakshi,310.0,51.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
ZoZp5Grv4Z4,2023-01-08,-0.9968301653862,3622.0,TV9,132.0,9.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
eyhtoifSTSg,2023-01-08,0.9938805103302002,51874.0,TV9,487.0,241.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y6IwSjWBzIk,2023-01-08,0.9970697164535522,2618.0,TV9,407.0,31.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0mPu0jCnoLM,2023-01-08,-0.9984203577041626,4023.0,TV9,130.0,11.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2K8L3yweDwA,2023-01-08,0.9927847385406494,12353.0,TV9,418.0,93.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2RKCXldPqQ,2023-01-08,-0.9988860487937928,2527.0,TV9,244.0,23.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sdh2tBVNa4I,2023-01-08,0.9973036050796508,24624.0,TV9,458.0,96.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a5wGBng9upM,2023-01-08,0.9962818026542664,24038.0,TV9,471.0,101.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qGn4ulP9pEg,2023-01-08,-0.9918360114097596,165150.0,TV9,298.0,273.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
wyIe1XvgOFc,2023-01-09,-0.9987701773643494,1609.0,TV9,280.0,6.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2Rv24dixRjQ,2023-01-12,-0.998414158821106,4617.0,Sakshi,209.0,73.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1
BakAyzbAl94,2023-01-21,0.9951021671295166,21452.0,Sakshi,155.0,38.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
