ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,roja,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,ap development,tadipatri,nandigama
U4eXIpNg5ws,2022-08-24,-0.9355143308639526,2716.0,Sakshi,250.0,10.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GVPQW6BbbQI,2022-08-29,0.9961817264556884,75934.0,TV5,510.0,220.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8mQV_x8AWo8,2022-09-05,-0.9890114068984984,887.0,TV5,190.0,10.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
yX6M59RtdTk,2022-09-05,-0.993022620677948,1595.0,TV5,305.0,4.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
LuzV2iYxXQw,2022-09-05,-0.998487949371338,2875.0,TV5,305.0,13.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
vk7gEIxAzrA,2022-09-06,0.9907060265541076,3498.0,TV5,265.0,1.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
VvB1pKL9XiE,2022-09-08,0.9983481168746948,7032.0,Sakshi,139.0,5.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
PQ_ggkKps7Y,2022-09-08,0.9930843114852904,1298.0,TV5,450.0,1.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HmLYijabKzM,2022-09-12,-0.98343026638031,1884.0,Sakshi,170.0,1.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1vo43lvfis0,2022-09-14,-0.9976269602775574,2637.0,TV5,240.0,2.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H9s9tCiKX0Q,2022-09-20,0.9970048069953918,2199.0,Sakshi,544.0,7.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tsc0tIf_9f8,2022-09-20,-0.9651893377304076,6167.0,Sakshi,568.0,10.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fq4YO1z7S6A,2022-09-21,-0.9924329519271852,5205.0,TV5,240.0,36.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7aNNk-HizYw,2022-09-25,-0.99581640958786,46371.0,Sakshi,356.0,121.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LAsoAkXFRo0,2022-09-26,-0.9981949925422668,3793.0,TV5,304.0,3.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EM672ImIVJY,2022-09-28,-0.998084545135498,3004.0,TV5,304.0,1.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HqWHKdAVbQQ,2022-10-03,0.9928132891654968,2839.0,TV5,122.0,1.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
k1uawtwi-v4,2022-10-03,0.9938602447509766,860.0,Sakshi,444.0,1.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ukfyETQ7bl0,2022-10-04,0.9986286163330078,4155.0,Sakshi,156.0,5.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gqT3AGQjQSU,2022-10-07,0.9932323694229126,967.0,Sakshi,238.0,0.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
O6nwCy5TMRw,2022-10-07,0.9940600991249084,5295.0,Sakshi,374.0,18.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GZDLutVdufQ,2022-10-07,0.9878392219543456,2312.0,Sakshi,103.0,8.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0
KjNJGZo3CKI,2022-10-09,-0.9756662845611572,2308.0,TV5,203.0,3.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0
OaPam58MBKc,2022-10-09,-0.9975224137306212,3520.0,TV5,188.0,18.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699S7rQmFgU,2022-10-11,0.9947118759155272,6012.0,Sakshi,305.0,14.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JfpcrcFQHtI,2022-10-11,-0.9928860068321228,6319.0,TV5,570.0,14.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eFvpqSn_ODU,2022-10-12,-0.9971580505371094,7660.0,ABN,490.0,9.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_Cb3U2gDs8,2022-10-12,-0.9924666285514832,897.0,Sakshi,593.0,3.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UtSDwEmg1nU,2022-10-13,-0.9948099851608276,778.0,ABN,326.0,2.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H_3nY3ygo9w,2022-10-13,0.9905868172645568,38370.0,ABN,444.0,124.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGUm1tPgKn0,2022-10-15,-0.9948809146881104,53083.0,Sakshi,345.0,443.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
WCgqHUrALD4,2022-10-15,0.9974977374076844,19233.0,Sakshi,366.0,53.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
NdCwGl9WLrE,2022-10-17,0.996021568775177,5676.0,TV5,101.0,4.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
yRMrtBkNx64,2022-10-17,0.9450088143348694,2927.0,TV5,75.0,0.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rzd4mZCVtMc,2022-10-17,-0.9922106266021729,291.0,ABN,106.0,1.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8SZw3f9HBSA,2022-10-18,-0.9991403818130492,6247.0,TV5,275.0,13.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4NBGiaCWAm8,2022-10-19,-0.998234748840332,12544.0,ABN,390.0,18.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_UXq5H3KK5A,2022-10-19,0.9863702058792114,2156.0,Sakshi,579.0,12.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zL-Kc2A3pZM,2022-10-19,0.9891988635063172,3630.0,Sakshi,499.0,11.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eRAqua2qThY,2022-10-25,0.9969122409820556,43979.0,ABN,535.0,126.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
U8DvhVAsaJE,2022-10-26,-0.9987205862998962,5877.0,Sakshi,268.0,9.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0XVpJp2d8Uc,2022-10-27,-0.9989891648292542,9814.0,ABN,425.0,11.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
_P_Vsbft7Ps,2022-10-28,-0.9983086585998536,1871.0,ABN,215.0,2.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
J8O04MW5BFg,2022-10-30,0.9985790252685548,326980.0,ABN,495.0,295.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GyPkRNRNR3A,2022-10-31,-0.9960222840309144,5310.0,TV5,530.0,18.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x2Fiz2bhZoc,2022-11-01,-0.9701017737388612,1834.0,ABN,437.0,1.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z9dmfb6rFYY,2022-11-02,0.9986491799354552,2314.0,TV5,549.0,4.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5rK_gMsWUbU,2022-11-03,-0.9987051486968994,948.0,Sakshi,167.0,5.0,tanuku.png,Karumuri Venkata Nageswara Rao,YSRCP,Tanuku,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
