ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,alliance,visakha,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
gYge9PeMzwY,2022-12-03,0.9589742422103882,44290.0,TV9,252.0,110.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
is_GltrdDz4,2022-12-04,0.9968926310539246,1728.0,TV9,328.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3wb1h45HRZg,2022-12-06,-0.972101867198944,1555.0,TV5,238.0,3.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
W_bB4xcy1LU,2022-12-06,0.9884757995605468,1661.0,Sakshi,441.0,4.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
nATrFQUF1MI,2022-12-09,-0.9984275102615356,2670.0,TV5,585.0,5.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
TT6LcM1EKkM,2022-12-10,-0.9978103041648864,10764.0,Sakshi,268.0,12.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LTXaqF03q70,2022-12-11,-0.9829923510551452,67739.0,ABN,357.0,103.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6SD7fy7wWyc,2022-12-12,0.9979780316352844,6976.0,TV9,306.0,2.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1
x4C9Sgx8HZI,2022-12-13,0.9911293983459472,1363.0,TV5,134.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GGY_4XaonYk,2022-12-14,0.9837720990180968,32665.0,TV9,193.0,49.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
z_G404b5Vrs,2022-12-17,-0.9993440508842468,1248.0,Sakshi,521.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
BMS7zBK-GCs,2022-12-19,-0.9967682361602784,55412.0,TV5,332.0,106.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
yTVZE2qg-og,2022-12-24,-0.9968329071998596,11194.0,TV9,204.0,6.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
pv_PRpnL4uM,2022-12-24,0.9627134203910828,3269.0,TV9,183.0,3.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
sNoAoNmaIHs,2022-12-26,-0.985398769378662,1654.0,Sakshi,485.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lOX7Vo_eknM,2022-12-28,0.9762755632400512,5689.0,TV9,193.0,13.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1
-mSnjqSe18A,2023-01-01,-0.996794044971466,3946.0,ABN,225.0,14.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d4xTbmxu4Ik,2023-01-03,-0.996385931968689,7499.0,TV5,259.0,14.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
4oMg_-6zXh0,2023-01-05,-0.998659610748291,2413.0,ABN,350.0,2.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
6za76mAD-00,2023-01-05,0.9962963461875916,1098.0,Sakshi,169.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jbfzAyRiIkw,2023-01-05,0.9906600117683412,1258.0,ABN,135.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
KD1vkm0WFH8,2023-01-05,-0.9994661211967468,1088.0,ABN,160.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
YGhdHdk6bL4,2023-01-07,-0.9939659237861632,1435.0,TV9,197.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmI_LpZdKhI,2023-01-07,-0.9975355863571168,1870.0,TV5,521.0,4.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MQdRdmdLV0c,2023-01-10,-0.9909355044364928,25082.0,TV9,395.0,22.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh_MJaojY6s,2023-01-14,-0.9989056587219238,20132.0,ABN,415.0,38.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HyQEByEP-OM,2023-01-15,0.9937115907669068,3340.0,TV9,406.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1z45-SxmbTY,2023-01-15,0.9983317255973816,1962.0,TV9,441.0,2.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1
b2bw1iOiaWc,2023-01-16,0.990568220615387,3308.0,TV9,174.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xOLBOzsLBCU,2023-01-17,0.981238842010498,13515.0,Sakshi,107.0,24.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VypWC6Podgg,2023-01-17,0.9948620200157166,4049.0,TV5,285.0,3.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1
