ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,Atchannaidu,alliance,polavaram,visakha
ChrjI6cMrRI,2023-02-01,-0.9825040698051452,924.0,TV9,140.0,0.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lNpN81LupoU,2023-02-02,-0.9968043565750122,613.0,TV9,66.0,1.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI-yUvi5LL8,2023-02-15,0.9884257316589355,11173.0,TV9,204.0,30.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mdb-ptFiz9U,2023-02-15,-0.9896475672721864,20469.0,TV9,370.0,60.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embiIKRbFwY,2023-02-15,-0.9994843006134032,12949.0,TV9,386.0,29.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
_PQtwkiDSTE,2023-02-20,-0.9977973699569702,3122.0,TV5,299.0,2.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
YsTJD4TiU7A,2023-02-21,-0.9981649518013,1152.0,TV9,75.0,1.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jNlgPO7TZe4,2023-02-25,-0.9354254007339478,15397.0,TV9,252.0,26.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CmIz888oNgc,2023-02-25,-0.998960256576538,501.0,TV9,164.0,0.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS52CgeN714,2023-02-25,0.983835995197296,10262.0,TV9,188.0,15.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
WRm7t3JqAB8,2023-02-25,-0.9964147806167604,53203.0,TV9,192.0,95.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
VFgevOhRcYQ,2023-02-25,-0.9871652126312256,3478.0,TV9,190.0,4.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BqKGhDhWUE0,2023-03-04,0.9983773231506348,7626.0,TV9,302.0,3.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1
XjTTZrIK8QQ,2023-03-05,0.9975175857543944,1693.0,Sakshi,199.0,3.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11yRuq-y6VI,2023-03-13,-0.9961168766021729,900.0,TV9,212.0,0.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
n8MILRuPUjQ,2023-03-14,-0.9961397051811218,10021.0,TV9,272.0,8.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EyhmRcryeN0,2023-03-14,-0.9778467416763306,7182.0,TV9,276.0,6.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2DbFp6QclrA,2023-03-14,-0.9924161434173584,3832.0,TV9,230.0,1.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
vgZSCjUddMI,2023-03-15,-0.9989280104637146,924.0,TV9,299.0,0.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wlcggr8_H0E,2023-03-17,-0.9986169338226318,367107.0,ABN,205.0,180.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
E5O5vLR46Ww,2023-03-18,0.9964608550071716,36466.0,Sakshi,94.0,56.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
kyN_aoN6H-o,2023-03-20,-0.9976876974105836,87207.0,Sakshi,286.0,101.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
Qm0vlode2l0,2023-03-24,-0.9960480332374572,468.0,TV9,263.0,2.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
774mOK6PxIw,2023-03-25,-0.997334599494934,9063.0,TV5,320.0,15.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UlgG_nUqUVw,2023-03-30,0.9903565049171448,515.0,TV9,71.0,0.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g5Me3e7L8K8,2023-03-31,0.9956152439117432,10230.0,TV9,212.0,6.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
chZPPRFSWMA,2023-04-01,-0.9982403516769408,960.0,ABN,180.0,7.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p7ya-LOL_sY,2023-04-01,-0.9984180927276612,53099.0,ABN,145.0,33.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
l3OPAZoN4h4,2023-04-02,-0.9982131719589232,1175.0,TV5,154.0,3.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
