ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,panchayat elections,Kuppam,janasena party,ap employees,ap assembly session today,Atchannaidu,alliance,polavaram,visakha,byreddy siddharth reddy
CZ8RDtTNyFA,2022-06-26,-0.9941059350967408,2927.0,Sakshi,173.0,1.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
qv7bfP7iTnQ,2022-06-26,0.9982232451438904,20291.0,Sakshi,184.0,45.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2C-r5dLTCdk,2022-06-29,-0.9934072494506836,1186.0,Sakshi,479.0,0.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1dSWfSypBI,2022-06-29,0.9939963817596436,3188.0,Sakshi,496.0,2.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_P2h-SQEi0,2022-07-02,-0.9956746697425842,79695.0,Sakshi,444.0,216.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
PGbCQKufju4,2022-07-02,0.998387098312378,38462.0,Sakshi,549.0,141.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rwTRK8IThuA,2022-07-02,-0.9987717270851136,39360.0,Sakshi,411.0,109.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xPl92S0Snco,2022-07-07,0.9975088834762572,97559.0,Sakshi,286.0,305.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0
kMXpRnDGc5E,2022-07-08,0.9983786344528198,1121741.0,Sakshi,554.0,0.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2v4Km6lBHI,2022-07-14,0.997380793094635,1730.0,Sakshi,234.0,0.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gceHQSUetxw,2022-07-23,0.9985484480857848,30523.0,Sakshi,400.0,59.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
it2fVFjhgaE,2022-07-25,-0.9986838698387146,19073.0,Sakshi,156.0,33.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
S5ezpXBzq6o,2022-07-26,0.9987401366233826,39071.0,Sakshi,528.0,58.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L5oMG-gc-E8,2022-07-26,0.9984130859375,36216.0,Sakshi,67.0,78.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ec9gPsw75VA,2022-07-26,0.987547755241394,2734.0,Sakshi,216.0,8.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8D5S75pWUpA,2022-07-26,0.9981127977371216,281026.0,Sakshi,521.0,418.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CEGvzwTWq5g,2022-07-26,0.9982194304466248,207726.0,Sakshi,106.0,305.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mHbF85NPNSU,2022-07-26,0.998035967350006,176690.0,Sakshi,149.0,221.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
EK5JjfolrGI,2022-07-26,0.9979507327079772,11626.0,Sakshi,240.0,29.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
siGBLoDtKZ0,2022-08-05,0.9955682158470154,3771.0,Sakshi,111.0,26.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DX4Y9Bc_qTQ,2022-08-15,0.9980425834655762,4797.0,Sakshi,200.0,6.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fy1oLlfPbQU,2022-08-16,0.9925947785377502,6329.0,Sakshi,445.0,40.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ldY102yVBSg,2022-08-22,-0.9980416297912598,2322.0,TV5,295.0,0.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eb1hPb2l00c,2022-08-25,0.9971053004264832,43367.0,Sakshi,149.0,20.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LwLSi-tO2CE,2022-08-26,-0.9936495423316956,5476.0,TV5,528.0,13.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
b7KidbOSwus,2022-09-01,0.998016119003296,2826.0,Sakshi,370.0,3.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
KnnfeRHM2tA,2022-09-01,0.9930658340454102,36296.0,Sakshi,521.0,78.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DShTt7mxiE,2022-09-04,0.992090344429016,1266.0,TV5,475.0,3.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3hSxOiR-XLs,2022-09-04,-0.9944345355033876,1325.0,TV5,465.0,1.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z8TdE0Ui06M,2022-09-08,-0.996945321559906,2350.0,TV5,282.0,3.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
la8KoN8dSzc,2022-09-10,-0.998658299446106,4589.0,Sakshi,230.0,6.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0
gh0c8h9tXps,2022-09-17,-0.9971237778663636,8198.0,TV5,335.0,16.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cPr8om-S6Ck,2022-09-19,0.9952660799026488,14642.0,Sakshi,406.0,13.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z5A0-SYyWos,2022-09-19,-0.999244213104248,8850.0,TV5,429.0,17.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
m1ib2bhaZYo,2022-09-20,0.9926786422729492,2523.0,TV5,135.0,1.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oMZKa9uidxk,2022-09-20,0.9946576952934264,39771.0,TV5,355.0,102.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
SXxN7C2UQIM,2022-09-20,0.9970428347587584,43420.0,Sakshi,596.0,75.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6oYUS2-5qxA,2022-09-20,-0.9978063702583312,1525.0,TV5,100.0,1.0,kothapeta.png,Chirla Jaggireddy,YSRCP,Kothapeta,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
