ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ap assembly session today,alliance,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
Nk_Wzr-higY,2022-09-22,-0.9913853406906128,293701.0,Sakshi,322.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
VIkW9VMs7h8,2022-09-24,0.9923972487449646,7178.0,TV5,61.0,60.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1bT4ftlxLoU,2022-09-26,-0.9987127780914308,284.0,TV5,149.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WNqggUOnN8E,2022-10-15,-0.9946852922439576,4786.0,Sakshi,358.0,14.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AZd9qmmy13E,2022-10-15,0.9987277388572692,124252.0,Sakshi,512.0,401.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8-fqHxQoVFo,2022-10-16,-0.9991204142570496,555.0,TV5,125.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
-uhJy4VcNEo,2022-10-16,-0.93123459815979,3905.0,Sakshi,503.0,25.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3mmMLk03McI,2022-10-16,-0.9980194568634032,1116.0,TV5,305.0,2.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LglQYcZdmgc,2022-10-19,0.997129499912262,108281.0,TV5,415.0,152.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd9PtU7NGGw,2022-10-19,-0.9991632699966432,6789.0,TV5,450.0,21.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kT81aUqHmr4,2022-10-19,-0.9958765506744384,54848.0,TV5,325.0,70.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1
MpXC1cdyErY,2022-10-19,-0.9971652626991272,6989.0,TV5,370.0,1.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VmUWl5y80I8,2022-10-21,-0.9977065324783324,497.0,TV5,283.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0
4wLUr5L1BPg,2022-10-29,-0.99442058801651,2425.0,Sakshi,287.0,6.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bWcgAINmwFc,2022-10-31,0.9987234473228456,1700.0,Sakshi,345.0,10.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F13yb7Nlsdw,2022-11-06,-0.9954053163528442,11985.0,Sakshi,310.0,51.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
GRvfLI0WpWU,2022-11-10,0.9956307411193848,2875.0,ABN,365.0,1.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1
JPi5nOHfBk4,2022-11-14,0.9908734560012816,9843.0,Sakshi,384.0,39.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LggfYF-y-oA,2022-11-16,-0.9985315799713136,2561.0,Sakshi,178.0,10.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QwSNiI8MJ3c,2022-11-17,0.9917850494384766,1342.0,ABN,311.0,1.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZcoCOPq-tEE,2022-11-18,-0.9988328814506532,1842.0,ABN,240.0,1.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
fHXKOoGOD8E,2022-11-19,-0.9986623525619508,1879.0,TV5,185.0,3.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
_sptvAZDKfY,2022-11-21,-0.99859219789505,1537.0,Sakshi,203.0,4.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
cd7hpke9w6Y,2022-11-22,-0.9982261061668396,3048.0,ABN,465.0,5.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
l_rZbf8b3iE,2022-11-24,-0.9985148310661316,2885.0,TV9,179.0,7.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e9IsMbWpc90,2022-11-26,-0.9978460073471068,1281.0,TV9,216.0,3.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hPH2EAEWVL4,2022-11-26,-0.992556929588318,2803.0,TV9,161.0,26.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aG3G-5cYLaM,2022-11-27,0.9976186156272888,720.0,TV9,125.0,3.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
yVribPdyGtc,2022-11-27,-0.9988583326339722,1789.0,TV9,192.0,5.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bH-jMIvFeyM,2022-11-27,-0.9963021278381348,929.0,TV9,144.0,3.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3jxCJtSYzW0,2022-11-27,0.998478353023529,637.0,TV9,60.0,1.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2VCBnnmVspk,2022-11-27,-0.9983239769935608,723.0,TV9,277.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7p4voRmSEgQ,2022-11-28,0.970301628112793,1279.0,TV9,283.0,3.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
j6nUXeyJXOg,2022-11-28,-0.9965319633483888,586.0,TV9,128.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4GROKuPpm8,2022-11-28,0.986049473285675,960.0,TV9,283.0,2.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FQ4zFFqqulA,2022-11-28,-0.9939568042755128,428.0,TV9,169.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
bHOsSFfIauU,2022-11-30,-0.9871106147766112,1276.0,TV9,299.0,1.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
