ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,AP ,yuvagalam,amaravati,tdp pattabhi,ap employees,ap assembly session today,alliance,Peddireddy ,visakha
sI94eGKe6wU,2022-09-20,0.9971430897712708,17488.0,TV5,350.0,1.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
CJWXU67Vgdg,2022-09-21,-0.9982132911682128,12623.0,TV5,185.0,38.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
w0uYxVWFBDE,2022-09-21,0.99653959274292,5337.0,TV5,239.0,27.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
osBgEr3YB4E,2022-09-21,-0.99433171749115,6223.0,Sakshi,209.0,5.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0
t_r5j1TFCOI,2022-09-23,-0.9973577857017516,1372.0,TV5,467.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52gHtpCIEfk,2022-09-26,-0.9976093769073486,1739.0,TV5,252.0,6.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
h0c0PGpEA78,2022-09-26,0.9089624285697936,3493.0,Sakshi,173.0,9.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
ZSJlhskD-Hc,2022-09-27,0.988989531993866,2035.0,Sakshi,115.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
g7rTh1vEfbU,2022-09-28,0.9988155364990234,38367.0,TV5,190.0,41.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aH9RPVa9Rzo,2022-09-28,-0.9910504817962646,30586.0,TV5,350.0,62.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
YgaBLp684vs,2022-09-28,-0.9994807839393616,56407.0,TV5,125.0,192.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GOs-MzRH4NE,2022-09-29,-0.997425377368927,6680.0,Sakshi,187.0,14.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Qnzg6hknbMU,2022-10-02,0.9986691474914552,747.0,TV5,157.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
