ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Vidadala Rajini,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
sBgtyPh91TA,2020-03-13,0.9917200803756714,2558.0,Sakshi,477.0,1.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
paznjRy1AtU,2020-03-14,0.9866418838500975,705.0,Sakshi,241.0,1.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yRlCu3HgEKU,2020-03-15,-0.9991484880447388,1677.0,Sakshi,157.0,0.0,alur.png,Gummanur Jayaram,YSRCP,Alur,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Ariy5i5ueaE,2020-03-16,0.9986239671707152,109285.0,Sakshi,574.0,21.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u9OSA-f-wkw,2020-03-17,-0.9992369413375854,2071.0,Sakshi,546.0,4.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0bBdPw67XQ,2020-03-17,-0.9980508089065552,1074.0,Sakshi,181.0,1.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
R8jBgXcEeC8,2021-02-13,0.995914876461029,2026.0,Sakshi,469.0,1.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rPJ6qnf7GMY,2021-02-14,-0.9994995594024658,240654.0,Sakshi,500.0,157.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1nuNVaiChk8,2021-02-14,0.9966036081314088,3681.0,Sakshi,255.0,2.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xnkp7ym8b-U,2021-02-15,0.9946498274803162,1025.0,Sakshi,368.0,2.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qchdj2YqKvY,2021-02-15,0.9966338276863098,2025.0,Sakshi,191.0,0.0,alur.png,Gummanur Jayaram,YSRCP,Alur,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
AL1qa_l4IUQ,2021-02-16,0.9975283741950988,707.0,Sakshi,318.0,0.0,alur.png,Gummanur Jayaram,YSRCP,Alur,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zObiz7tbB1Q,2021-02-16,-0.9763005971908568,2463.0,Sakshi,69.0,0.0,alur.png,Gummanur Jayaram,YSRCP,Alur,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Je-PSwMNQsA,2021-02-16,0.994580328464508,977.0,Sakshi,86.0,0.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
wUlViuRoKqk,2021-02-16,0.994468092918396,1199.0,Sakshi,90.0,1.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
myxLlJ8vRW0,2021-02-16,0.9917044639587402,1474.0,Sakshi,200.0,0.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
NLBbsjoxDyA,2021-02-16,0.9893118739128112,1582.0,Sakshi,303.0,0.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-vQ0UgB_U4,2021-02-16,0.9962841868400574,897.0,Sakshi,283.0,0.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q-BKM59mMJ0,2021-02-17,0.9974488615989684,13145.0,Sakshi,315.0,9.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
7Pgprx1Rdx4,2021-02-18,-0.9979221224784852,97975.0,Sakshi,440.0,71.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_-yTWyRcQWE,2021-02-18,0.998681366443634,3154.0,Sakshi,50.0,1.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oJhXfk9KuMU,2021-02-19,0.99173766374588,250323.0,Sakshi,421.0,220.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zx_7FP7fLro,2021-02-20,0.997574269771576,846.0,Sakshi,239.0,0.0,alur.png,Gummanur Jayaram,YSRCP,Alur,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rYRU5D8m_ao,2021-02-20,0.9957483410835266,1659.0,Sakshi,197.0,0.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
p0bfA9GFmUM,2021-03-02,-0.9886122345924376,7587.0,Sakshi,308.0,43.0,alur.png,Gummanur Jayaram,YSRCP,Alur,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
XyzGcO6fUB8,2021-03-02,-0.9977184534072876,4729.0,Sakshi,246.0,8.0,alur.png,Gummanur Jayaram,YSRCP,Alur,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a1fXRSu8sUs,2021-06-22,-0.9816895723342896,5210.0,Sakshi,594.0,30.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K1yD_Xb79l8,2021-08-19,-0.9922539591789246,2996.0,Sakshi,309.0,24.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eur1zODR9zE,2021-08-28,-0.9978677034378052,4439.0,Sakshi,73.0,7.0,alur.png,Gummanur Jayaram,YSRCP,Alur,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l5bZohQPGw4,2021-09-17,0.9935950636863708,2915.0,Sakshi,132.0,19.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mm2qoGn57Ek,2021-09-18,-0.9972859621047974,3811.0,Sakshi,113.0,10.0,alur.png,Gummanur Jayaram,YSRCP,Alur,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
