ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,alliance,yuvashakti,suprem court,ap development
JYjJTkZelNg,2023-01-14,-0.9978548884391784,2922.0,ABN,169.0,5.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,0,1,0,0,0,1,1,0
w4D1UPOd3pU,2023-01-16,0.9985960125923156,10331.0,ABN,172.0,3.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
tc1cDLn81ko,2023-01-17,0.9888877272605896,18796.0,Sakshi,272.0,47.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,0,1,0,0,0,0,0,0,0
FI_Mjc3Efm4,2023-01-19,-0.9984459280967712,6748.0,ABN,145.0,11.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,1,0,0,0,0
Takc2Li7hSo,2023-01-20,-0.9883453845977784,2193.0,TV5,465.0,1.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,0,1,0,0,0,0,0,1
AO9nRw7ky1M,2023-01-22,-0.9920936226844788,27350.0,TV9,478.0,2.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
viieZ4u5kkA,2023-01-29,-0.9984112977981568,4060.0,TV9,243.0,12.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
4IFb9Eu4CdU,2023-01-29,-0.9942665696144104,260559.0,Sakshi,486.0,268.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,1,0,1,0,0,0,0,0,0
oFuRrBgTDC8,2023-01-30,-0.997696816921234,872.0,ABN,307.0,1.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,1,0,1,0
ZWkldQHqytA,2023-01-31,-0.9946703314781188,55219.0,Sakshi,290.0,124.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,1,0,0,0,0,0,0,0,0
2c-Uan-vmSM,2023-02-02,0.9936710596084596,379.0,TV9,336.0,1.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
3C5a-FzURHM,2023-02-02,-0.9992746710777284,722.0,TV9,316.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
bJ98WGfNGnQ,2023-02-02,0.9949917197227478,899.0,TV9,332.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
urzHH0Sh21E,2023-02-02,-0.9984924793243408,590.0,TV9,323.0,1.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
VhXOD--4r5s,2023-02-02,0.997218370437622,300.0,TV9,320.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
M9bVEsSY41g,2023-02-03,0.9981312155723572,1208.0,TV5,145.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,1,0,0,0,0,0,0,0,0
kRDKwzrLGK4,2023-02-03,0.9982093572616576,5685.0,TV9,141.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
ErLbdP1hTkY,2023-02-06,-0.997746765613556,1924.0,ABN,204.0,3.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,1,0,0,0,0,0,0,0
pAqGte7Av6w,2023-02-08,0.9917591214179992,5921.0,Sakshi,515.0,13.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,1,0,1,0,0,0,0,0,0
PPIdx46hHWg,2023-02-11,-0.9800782203674316,1949.0,ABN,243.0,4.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,1,0,1,0,0,1,0,0
AlRoVWIY3IE,2023-02-14,0.9970905780792236,9359.0,ABN,345.0,8.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
LJZK5-TFbCc,2023-02-14,0.9975783228874208,436.0,TV5,131.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,1,1,1,0,0,0,1,1,1,1
Uokjpbr8rIU,2023-02-16,0.9962708950042723,642.0,ABN,283.0,1.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,0,0,0,0,0,0,0,1,0,0
dzm4bL6-HOg,2023-02-17,-0.9988834261894226,628.0,ABN,335.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
2hApWFCrwrU,2023-02-17,-0.9969496130943298,888.0,ABN,331.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,1,0,1,0,0,0,1,0
