ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,panchayat elections,Kuppam,janasena party,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,high court,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,Pension,vangaveeti radha,suprem court,tdp leaders arrest,ap development,chintamaneni prabhakar,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,butchaiah chowdary,gudivada ,Kodali Nani ,varahi ,election commission,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
L7jo4wlhp3Q,2022-01-06,-0.9908357858657836,13659.0,Sakshi,99.0,39.0,denduluru.png,Abbaya Chowdary Kothari,YSRCP,Denduluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tdyvUv37YUQ,2022-01-06,-0.9975526928901672,62697.0,Sakshi,323.0,226.0,denduluru.png,Abbaya Chowdary Kothari,YSRCP,Denduluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SC-qky7r-lw,2022-01-23,-0.9994139671325684,92317.0,Sakshi,114.0,108.0,denduluru.png,Abbaya Chowdary Kothari,YSRCP,Denduluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
N4AOi_OuSAE,2022-01-25,-0.9770379066467284,5510.0,Sakshi,430.0,15.0,denduluru.png,Abbaya Chowdary Kothari,YSRCP,Denduluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
bFuzc__E82M,2022-01-25,-0.9986135959625244,375362.0,Sakshi,339.0,560.0,denduluru.png,Abbaya Chowdary Kothari,YSRCP,Denduluru,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7f01OP9TMIg,2022-01-29,-0.9984992742538452,55838.0,Sakshi,117.0,42.0,denduluru.png,Abbaya Chowdary Kothari,YSRCP,Denduluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HgR38yGQdRE,2022-01-29,0.9947457313537598,13529.0,Sakshi,201.0,26.0,denduluru.png,Abbaya Chowdary Kothari,YSRCP,Denduluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GucxsMMsu-M,2022-01-29,0.9982927441596984,6736.0,Sakshi,249.0,5.0,denduluru.png,Abbaya Chowdary Kothari,YSRCP,Denduluru,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
g_Dme6NFOkw,2022-02-05,-0.9885308146476746,2607.0,Sakshi,282.0,6.0,denduluru.png,Abbaya Chowdary Kothari,YSRCP,Denduluru,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mZqVe-lYEgk,2022-02-06,0.9969582557678224,1818.0,Sakshi,228.0,6.0,denduluru.png,Abbaya Chowdary Kothari,YSRCP,Denduluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
