ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ap assembly session today,visakha,Kakani,kotamreddy ,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
cU5zKuhd5OE,2022-05-05,0.992602288722992,5839.0,Sakshi,235.0,10.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V2jasNdDw0M,2022-05-14,-0.9959900975227356,16562.0,Sakshi,156.0,47.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIyikkjSMwE,2022-06-03,0.9985284805297852,76541.0,Sakshi,281.0,53.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
SkKA37GGg1A,2022-06-03,-0.9973058700561525,6156.0,Sakshi,233.0,15.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
eOrrIL8aO-w,2022-06-29,0.9830370545387268,1692.0,Sakshi,315.0,0.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uFyF9EAqm9E,2022-07-07,0.9933592677116394,512.0,Sakshi,295.0,0.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-octT4Nq0CI,2022-07-10,0.9963080883026124,1163.0,Sakshi,417.0,1.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hJWKJJaHWAI,2022-07-14,0.9858042001724244,1310.0,Sakshi,404.0,2.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vbVtOMXRYV8,2022-07-24,0.9958119988441468,1056.0,Sakshi,124.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
eZLCCCKnIJU,2022-07-27,-0.9967251420021056,210378.0,Sakshi,204.0,244.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ivfvnaNdL9Q,2022-08-03,0.991978645324707,81623.0,Sakshi,514.0,94.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QzYO3ZgmOhQ,2022-08-04,0.9857790470123292,1451.0,Sakshi,425.0,8.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RyOmqN6YgtA,2022-08-04,0.9972115159034728,3422.0,Sakshi,148.0,18.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-2s2NvrdwV8,2022-08-09,-0.9978606104850768,33926.0,Sakshi,167.0,60.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hv5l01-Cogg,2022-08-11,0.9971799850463868,1960.0,Sakshi,319.0,2.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MaNR8Hr1Ugs,2022-08-25,-0.9981671571731568,4834.0,TV5,314.0,9.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
OPOY3PTWsZs,2022-09-05,-0.9983859062194824,1612.0,TV5,222.0,0.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F7IXUzeZA04,2022-09-08,-0.998736560344696,76673.0,Sakshi,288.0,72.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LdUzJ6VTTvE,2022-09-09,-0.9980643391609192,2562.0,Sakshi,375.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kMfGXDywRzQ,2022-09-09,-0.9987186193466188,2126.0,Sakshi,309.0,3.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
la8KoN8dSzc,2022-09-10,-0.998658299446106,4589.0,Sakshi,230.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1
rGajXeaJECc,2022-09-12,-0.9986829161643982,1013.0,Sakshi,148.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m6MQJL43eYU,2022-09-15,-0.9794759154319764,2615.0,Sakshi,181.0,4.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0
I52eSmhOE8Y,2022-09-15,-0.9979000091552734,52215.0,TV5,245.0,44.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cOK_BuZLdZs,2022-09-15,-0.8004226088523865,13617.0,TV5,425.0,23.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa-tzR9Cm5s,2022-09-16,0.9832446575164796,2349.0,Sakshi,330.0,7.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
EV30Q0moCjI,2022-09-17,-0.9988865256309508,7943.0,Sakshi,274.0,4.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
46F3nC6g7nQ,2022-09-17,0.9933400750160216,8395.0,Sakshi,539.0,29.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
thFFTPnuh4g,2022-09-17,-0.9987529516220092,2892.0,Sakshi,280.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
kMzOYZb2Fzo,2022-09-20,-0.9974913597106934,166962.0,Sakshi,317.0,184.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
jCISuQo4OMI,2022-09-21,0.9972606897354126,4306.0,TV5,120.0,11.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eh5fyeXpP9Y,2022-09-26,-0.9984637498855592,11552.0,Sakshi,165.0,44.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
5VWjydnzU44,2022-09-29,-0.9994465708732604,15129.0,TV5,585.0,36.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jROFFgPJJ68,2022-10-01,-0.9911919236183168,2916.0,TV5,170.0,12.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SbEr98W8YmY,2022-10-02,-0.9990758895874025,2959.0,Sakshi,321.0,17.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1
1zm9D-JcJfk,2022-10-02,0.9987370371818542,642.0,TV5,199.0,1.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maIiHPZaa-Q,2022-10-02,0.9963808655738832,18384.0,Sakshi,289.0,50.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1
IQT79APBBRg,2022-10-10,-0.9965046644210817,9520.0,Sakshi,316.0,80.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
pGEqPGrgwbc,2022-10-14,-0.9929832220077516,1082.0,Sakshi,261.0,5.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FsgXhqGIXMs,2022-10-15,0.992866277694702,1831.0,TV5,360.0,3.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PiSdwdkCJsY,2022-10-27,0.9980114698410034,1916.0,Sakshi,417.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9R_E-wBjD8Q,2022-10-30,-0.9948357343673706,689.0,TV5,310.0,3.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wRqyXzSX8-4,2022-10-30,-0.9966849684715272,2589.0,TV5,125.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
VZD2Oydenss,2022-10-30,0.991563081741333,2630.0,TV5,265.0,7.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jO-QPpHea4M,2022-11-05,-0.9941667318344116,2744.0,Sakshi,408.0,12.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eGOemFjh0II,2022-11-06,0.994940996170044,2328.0,Sakshi,419.0,9.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMmVakVVPno,2022-11-07,0.9985559582710266,2029.0,Sakshi,445.0,2.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nd0vA0U_Qok,2022-11-13,0.9932039976119996,1804.0,Sakshi,519.0,1.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s-i4QbJ7DA8,2022-11-19,-0.9981573224067688,4582.0,TV9,249.0,12.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wh3hH-lZqMc,2022-11-19,0.9981775283813475,339.0,TV9,171.0,0.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P8MErEFVlfg,2022-11-19,0.9986120462417604,668.0,TV9,432.0,0.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_Rdbr09yxAM,2022-11-19,-0.9957401752471924,1231.0,TV9,250.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1
3BMyWFBAaVs,2022-11-20,-0.9993102550506592,1739.0,Sakshi,396.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zj7VubD2HGo,2022-11-21,0.9974937438964844,8750.0,Sakshi,525.0,10.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN_2soscQc,2022-11-24,-0.9986703395843506,1271.0,Sakshi,224.0,3.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
L3K5lC3gw_w,2022-12-02,0.8888369202613831,404.0,Sakshi,200.0,3.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
vqQBb-fBwPQ,2022-12-06,-0.9940177202224731,2139.0,TV5,305.0,1.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8x_hK7xUpQ,2022-12-06,-0.998233437538147,3213.0,Sakshi,523.0,15.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
iTKCwQvMWx8,2022-12-13,0.9915008544921876,1148.0,Sakshi,110.0,4.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AwK2yAL5erU,2022-12-16,0.9948912858963012,1802.0,Sakshi,488.0,5.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
