ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,visakha,roja,srikakulam,yuvashakti,suprem court,ap development,tadipatri
z8C5NSFKEME,2022-12-31,-0.9957042336463928,1765.0,TV9,154.0,1.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4s-Lft9cgGQ,2022-12-31,-0.9936951994895936,2119.0,ABN,295.0,8.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
tk-2s382n4U,2022-12-31,-0.9985646605491638,1160.0,TV9,186.0,1.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xQHnyiajsJo,2023-01-01,-0.9881724715232848,1192.0,TV9,78.0,1.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0
jgH4coKjJls,2023-01-05,0.9986775517463684,2772.0,Sakshi,240.0,3.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0
7kGtVy0Z_xk,2023-01-06,-0.9982178807258606,1031.0,ABN,340.0,0.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3zAXcx9274Q,2023-01-06,0.9985193610191344,1451.0,TV9,107.0,1.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
vPscGdD79uE,2023-01-06,0.9981486797332764,1144.0,TV9,105.0,0.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5e6_SQ3nyZ8,2023-01-07,0.998607337474823,2068.0,TV9,594.0,3.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cRokgaaNW1w,2023-01-09,0.9986504912376404,2839.0,TV9,135.0,3.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7r6ndq-_brU,2023-01-09,0.997937560081482,639.0,TV9,273.0,4.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0
qJFz5GFpbyE,2023-01-09,0.9920916557312012,2315.0,TV9,576.0,1.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1pPIeUeFeks,2023-01-10,0.993372917175293,2722.0,Sakshi,248.0,5.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1
WGuB5R7wozE,2023-01-12,-0.9948039650917052,3453.0,ABN,323.0,4.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nTTZ5Mx87qE,2023-01-13,0.9931035041809082,81508.0,Sakshi,547.0,222.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
RqBwIk0LrxI,2023-01-13,-0.9933499693870544,2013.0,TV9,181.0,3.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
Q3KQjNJyZCc,2023-01-13,-0.9915278553962708,4324.0,Sakshi,321.0,7.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
Hykc3-BPocA,2023-01-13,-0.9979320764541626,13558.0,Sakshi,588.0,64.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
kK_cGx-Abf4,2023-01-13,-0.9957321286201476,2189.0,ABN,203.0,6.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SEygmJ9QxxM,2023-01-22,-0.9953023195266724,1777.0,TV5,234.0,1.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
MxwkqNwOQhU,2023-02-07,-0.9980658888816832,5225.0,TV9,66.0,26.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
vvkyquiMeks,2023-02-12,0.9976451992988586,1034.0,Sakshi,212.0,7.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
xureo6sSHbI,2023-02-12,0.9984244108200072,2056.0,Sakshi,576.0,21.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
HkLEfVDGZC0,2023-02-13,-0.9994245767593384,1095.0,Sakshi,143.0,4.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
yCTQM7wej10,2023-02-13,-0.9693257212638856,938.0,Sakshi,139.0,2.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
