ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
u0WJqqdzjnI,2021-11-10,-0.9964014291763306,1854.0,Sakshi,123.0,6.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
YeRH56spw2I,2021-11-10,-0.9974443912506104,518.0,Sakshi,110.0,2.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRslM7PfhAo,2021-11-10,0.986665427684784,1777.0,Sakshi,515.0,16.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HcHtsQJbgMg,2021-11-13,0.9975628852844238,7789.0,Sakshi,168.0,6.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GqjFUv_Xj2U,2021-11-13,-0.9889259934425354,18174.0,Sakshi,160.0,28.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
--CSLBwFMLM,2021-11-22,0.996674656867981,2503.0,Sakshi,386.0,8.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hivtBAofdx4,2021-11-24,-0.9814797043800354,18592.0,Sakshi,209.0,51.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ik99RSVoqBI,2021-12-09,-0.9855836629867554,80935.0,Sakshi,324.0,110.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
iWuaf9VAwkU,2021-12-10,-0.9825326204299928,540.0,Sakshi,278.0,0.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2YjIhXcCBHQ,2021-12-10,0.985903024673462,12748.0,Sakshi,380.0,85.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
k-SJ8aJBX5Y,2021-12-11,-0.99797123670578,38282.0,Sakshi,386.0,121.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
SEtUdgoUvbM,2021-12-23,-0.9985693693161012,16861.0,Sakshi,308.0,67.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptNZ14TWh0k,2021-12-29,-0.9950548410415648,3907.0,Sakshi,254.0,13.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
KSS7XUPhjjg,2022-01-03,0.9984830021858216,541.0,Sakshi,341.0,1.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZQhO5t5Nm-M,2022-01-03,0.9914013743400574,11734.0,Sakshi,379.0,41.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2BTdlCDF8g,2022-01-03,-0.9984147548675536,5915.0,Sakshi,100.0,32.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
N_Fj6e60ELc,2022-01-03,-0.9927668571472168,1535.0,Sakshi,214.0,2.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mIRrXLj42zw,2022-01-12,-0.9221158027648926,23556.0,Sakshi,272.0,97.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
bSbau3PkZC4,2022-01-12,0.9931401610374452,8745.0,Sakshi,518.0,46.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbgMC-9IoNs,2022-01-12,0.9969512224197388,18497.0,Sakshi,109.0,28.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oNBvQNDbPOc,2022-01-13,-0.9925589561462402,50195.0,Sakshi,565.0,92.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gbymtYGyCis,2022-01-18,-0.9979815483093262,6885.0,Sakshi,220.0,21.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79X6FSn_oL8,2022-01-18,0.9925296902656556,49724.0,Sakshi,204.0,53.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jOomTWzknT4,2022-01-18,0.9987480640411376,1585.0,Sakshi,227.0,4.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4G2EhzSV8rg,2022-01-18,-0.9974626302719116,3264.0,Sakshi,126.0,8.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WijQDrrgqwg,2022-01-18,-0.990205466747284,10909.0,Sakshi,98.0,23.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-lNsZ9_1ff8,2022-01-23,0.9952449202537536,29956.0,Sakshi,359.0,62.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vzwD0SmlhmM,2022-01-28,-0.9985209107398988,77676.0,Sakshi,222.0,107.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
e1IY1r2C1jc,2022-02-07,0.9986721277236938,10829.0,Sakshi,349.0,39.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
os-FeouruiE,2022-02-08,-0.998377561569214,8156.0,Sakshi,291.0,36.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4t-rfIHrT08,2022-02-08,0.9982182383537292,8041.0,Sakshi,375.0,20.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MGRA5zdnzT8,2022-02-19,-0.9018036127090454,51185.0,Sakshi,445.0,132.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMCtgZ9KOAA,2022-02-25,0.9969817996025084,3781.0,Sakshi,110.0,9.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CqguDMU_LCU,2022-03-07,-0.9979382157325744,127391.0,Sakshi,104.0,385.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NBXEG_hoUj4,2022-03-10,0.9907310605049132,26290.0,Sakshi,494.0,53.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iaW7vr-GzqE,2022-03-10,-0.987644612789154,130143.0,Sakshi,334.0,536.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4S0-bAcTnkI,2022-03-10,-0.9991409778594972,113433.0,Sakshi,115.0,173.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
zSslkkNJfog,2022-03-11,0.9963325262069702,1766.0,Sakshi,348.0,1.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_CUd1sBVCI,2022-03-13,-0.9809139966964722,18679.0,Sakshi,170.0,68.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IxApu3gClnw,2022-03-14,-0.998526692390442,5441.0,Sakshi,138.0,6.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fn0sIdHcXOc,2022-03-14,0.9940298795700072,16368.0,Sakshi,354.0,44.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9qJrkeNezN8,2022-03-15,0.9937106370925904,2625.0,Sakshi,393.0,5.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
