ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ambati rambabu,Gadapa Gadapaku ,ap employees,ap assembly session today,alliance,polavaram,visakha,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,ap development,tadipatri,nandigama
nTu6rTwrKtA,2021-12-31,0.9963114857673644,1239.0,Sakshi,312.0,4.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
bZogD0spmj8,2022-03-10,0.9940966367721558,128173.0,Sakshi,581.0,230.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNNGJHxAYIg,2022-03-10,0.9815468788146972,21839.0,Sakshi,263.0,26.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
02xkTac5KmM,2022-03-14,-0.9994841814041138,7588.0,Sakshi,182.0,18.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
ZS1S5VNKczQ,2022-03-24,0.9986200332641602,31089.0,Sakshi,148.0,160.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
MoTHz8p8ex8,2022-03-24,0.9887452721595764,237548.0,Sakshi,345.0,566.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
nMwBvSLX8IY,2022-03-24,0.9943441152572632,119001.0,Sakshi,467.0,114.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0LnERoqQII,2022-03-26,0.9983797073364258,1119.0,Sakshi,420.0,3.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA5hNlixHeI,2022-05-07,0.9970705509185792,65994.0,Sakshi,210.0,10.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9lxjoFPbj-Q,2022-05-11,0.9968329071998596,13149.0,Sakshi,86.0,30.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P2U3hkwr0bk,2022-05-28,0.9941456317901612,40350.0,Sakshi,246.0,77.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
z8gLq0ra-Ak,2022-05-30,0.9783824682235718,3496.0,Sakshi,338.0,13.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIyikkjSMwE,2022-06-03,0.9985284805297852,76541.0,Sakshi,281.0,53.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7qdxkuReIHI,2022-06-09,0.9910715222358704,54541.0,Sakshi,418.0,57.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDxqgCnTAdo,2022-06-19,-0.9734482169151306,59474.0,Sakshi,109.0,188.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
CZ8RDtTNyFA,2022-06-26,-0.9941059350967408,2927.0,Sakshi,173.0,1.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2C-r5dLTCdk,2022-06-29,-0.9934072494506836,1186.0,Sakshi,479.0,0.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
p_P2h-SQEi0,2022-07-02,-0.9956746697425842,79695.0,Sakshi,444.0,216.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
L8iIN397yzY,2022-07-02,0.9986698627471924,9534.0,Sakshi,340.0,17.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dvwI0NMox0c,2022-07-02,-0.9919453263282776,62120.0,Sakshi,132.0,170.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IZcZ3xI9wFA,2022-07-02,-0.9985112547874452,25783.0,Sakshi,166.0,105.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aQPvOvI_yJE,2022-07-09,0.9980168342590332,58368.0,Sakshi,594.0,27.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yuUmffEunUY,2022-07-10,0.9960992336273192,47025.0,Sakshi,514.0,73.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nOzfpRvi0ug,2022-07-14,0.9981083869934082,16077.0,Sakshi,70.0,16.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PKpSmeDgor8,2022-07-15,-0.9979448914527892,14622.0,Sakshi,251.0,26.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dKbBE5CPazE,2022-07-23,0.995400846004486,21725.0,Sakshi,132.0,45.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
eZLCCCKnIJU,2022-07-27,-0.9967251420021056,210378.0,Sakshi,204.0,244.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
wY6FC7klKS0,2022-07-27,-0.8801581859588623,25183.0,Sakshi,203.0,29.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
giqfWtrP0OA,2022-07-28,0.9842846393585204,13089.0,Sakshi,213.0,25.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ivfvnaNdL9Q,2022-08-03,0.991978645324707,81623.0,Sakshi,514.0,94.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2s2NvrdwV8,2022-08-09,-0.9978606104850768,33926.0,Sakshi,167.0,60.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fy1oLlfPbQU,2022-08-16,0.9925947785377502,6329.0,Sakshi,445.0,40.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aVooQ00G3VU,2022-08-19,-0.9967483282089232,44739.0,Sakshi,473.0,84.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zXMJ7d6cDIU,2022-08-24,0.9855493903160096,5030.0,Sakshi,251.0,18.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xqUu0Tw849s,2022-08-25,0.9983468055725098,7224.0,Sakshi,240.0,3.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lg-8TIPjtJ4,2022-09-10,0.9898170232772828,4470.0,Sakshi,485.0,10.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la8KoN8dSzc,2022-09-10,-0.998658299446106,4589.0,Sakshi,230.0,6.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1
EVXrg2yiLXQ,2022-09-15,-0.9897720217704772,1591.0,Sakshi,218.0,2.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
eV8jKEwj2vc,2022-09-15,-0.9963030815124512,4865.0,TV5,180.0,6.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
gh0c8h9tXps,2022-09-17,-0.9971237778663636,8198.0,TV5,335.0,16.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kMzOYZb2Fzo,2022-09-20,-0.9974913597106934,166962.0,Sakshi,317.0,184.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pI3zf4dOKmQ,2022-09-21,-0.9892330169677734,4418.0,TV5,208.0,11.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dop3OWETLTE,2022-09-21,0.989017128944397,8018.0,TV5,491.0,17.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCXLX_as6Zw,2022-09-21,-0.6197969317436218,2046.0,TV5,305.0,9.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
z90up9Qbxyc,2022-09-21,-0.9923933744430542,2664.0,TV5,120.0,4.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
xEpasEAIStA,2022-09-23,-0.9904670119285583,869.0,TV5,302.0,0.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rSLgbXJQxm8,2022-10-14,0.9983274340629578,61170.0,Sakshi,330.0,188.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
