ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,janasena party,alliance,polavaram,visakha,yuvashakti,suprem court,ap development,tadipatri,nandigama
HtE9hQYaICo,2023-01-12,0.99813312292099,16405.0,TV9,529.0,176.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFoa284V1V8,2023-01-12,-0.9978947043418884,2312.0,ABN,175.0,2.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
ayaMaeAn2xc,2023-01-12,0.9972725510597228,1156.0,TV5,130.0,1.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
kPfyh7Z0qgE,2023-01-13,-0.9985879063606262,7170.0,TV9,207.0,65.0,monohar.png,Nadendla Manohar,JSP,,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
OHQh0z614kE,2023-01-15,-0.9987743496894836,7057.0,TV9,108.0,16.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HUXQ-WJypus,2023-01-25,-0.9938148260116576,5103.0,TV9,190.0,10.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bjie2CjO5bg,2023-01-25,-0.99782133102417,11216.0,TV9,76.0,24.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W5K6gRG8BYM,2023-02-13,0.9971498847007751,684.0,ABN,199.0,2.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
49lbCMDMZ5M,2023-02-14,-0.9982225298881532,695.0,TV9,85.0,3.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cN9BjRpvRSU,2023-02-15,-0.9907904863357544,5678.0,TV9,195.0,11.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mdb-ptFiz9U,2023-02-15,-0.9896475672721864,20469.0,TV9,370.0,60.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uoM2rH9nV7s,2023-02-15,0.996712565422058,1112.0,TV9,141.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1iyio5cq-0o,2023-02-15,0.9810097217559814,5082.0,ABN,232.0,14.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
AigvBYa3nXU,2023-02-15,-0.9930700659751892,7132.0,TV9,271.0,13.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Go6jXrXmxBE,2023-02-15,-0.9969685673713684,2374.0,TV9,320.0,1.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
bdrUdMCaYF8,2023-02-16,-0.9896433353424072,1968.0,TV9,339.0,2.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
S42rPjfvvzU,2023-02-17,-0.9949135780334472,1768.0,TV9,327.0,4.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i12V2Px0r2w,2023-02-17,0.9981775283813475,505.0,TV9,292.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JGZByBaI0nk,2023-02-28,-0.989947497844696,4347.0,TV9,247.0,24.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
o0TOGoPiFRY,2023-02-28,0.980057954788208,1537.0,TV9,285.0,13.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UYDwpgMnz4o,2023-02-28,-0.9980044960975648,1083.0,TV9,268.0,4.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u6hO6qcGpb4,2023-03-01,-0.996527373790741,1114.0,TV9,62.0,6.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
nhRE5JO-0L0,2023-03-01,0.9824407696723938,24559.0,TV9,249.0,105.0,monohar.png,Nadendla Manohar,JSP,,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
W3bfKK3cjnc,2023-03-02,0.9922958612442015,501.0,TV9,274.0,7.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fE5S7AFGfFA,2023-03-02,-0.998658299446106,4810.0,TV9,275.0,21.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HXkfePTplD8,2023-03-02,-0.9990806579589844,828.0,TV5,178.0,1.0,monohar.png,Nadendla Manohar,JSP,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
