ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,alliance
0RiB-b0LyT4,2022-12-17,0.9739510416984558,903.0,TV9,317.0,1.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
FHoltD4vTV8,2022-12-17,-0.9812796115875244,3102.0,TV9,260.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
xwwkdUN_woM,2022-12-17,0.9975939393043518,6536.0,TV9,281.0,14.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
jD0wWZDy4cM,2022-12-17,0.9960023760795592,953.0,TV9,239.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,1,0,1,0,0,0
uPSZMAIgYzw,2022-12-28,0.9935330152511596,1538.0,Sakshi,250.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,1,1,1,1,0,1,0,0
i0DAVtp801w,2023-01-01,-0.9967392086982728,8868.0,TV9,275.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
-niomiKaDaw,2023-01-05,-0.9865256547927856,24941.0,TV9,260.0,11.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,1,1,0,0,0,0
bVLBLtn3ZkI,2023-01-09,-0.9988019466400146,1557.0,ABN,418.0,2.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
HdSLK4SsK7A,2023-01-20,0.9899584650993348,42551.0,Sakshi,336.0,81.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,1,0,0
_d6fFO27ld8,2023-01-22,0.994109869003296,11088.0,Sakshi,532.0,19.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
sVjruQ1Ittg,2023-01-23,-0.9315810799598694,5676.0,TV9,377.0,7.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
tjJpcxV1NmE,2023-01-24,0.9811738729476928,1838.0,TV9,135.0,1.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
SptxbmQLQ_g,2023-01-24,0.9909776449203492,2184.0,TV9,194.0,3.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,1,0
VD6VYb4I4h0,2023-01-26,-0.9951438903808594,2092.0,TV5,292.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
0yJ1s77frH4,2023-01-30,-0.9880329370498656,61686.0,TV5,523.0,159.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,1,1,1,0,1,0
jbxdiXp2NEg,2023-02-04,-0.9989790916442872,41167.0,ABN,282.0,25.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,1,0,0,0,0,0
8aSJMyUjYyQ,2023-02-08,-0.9641899466514589,4627.0,TV5,283.0,1.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,1,1,1,0,0,0,0,0
o3BkSfrjyW8,2023-02-13,0.9864460229873656,5737.0,ABN,245.0,2.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,1,0,0,0,0,0
40ZFHj35tGw,2023-02-14,0.9986322522163392,588.0,TV9,271.0,1.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
iom4HERPbII,2023-02-25,0.9292371273040771,6999.0,ABN,274.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,0,0,0,0,0,1
QhF75sWusWw,2023-02-26,0.9727579951286316,842.0,TV9,75.0,3.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,1,0
FvmBqg_jOOk,2023-02-28,0.930474042892456,768.0,TV5,337.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,1,0,1,0,0,1
Mx-5hgZZiLA,2023-03-04,-0.9979756474494934,963.0,TV5,347.0,1.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
LoW6q0r4YX4,2023-03-09,-0.99810791015625,1738.0,TV9,335.0,2.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
h2ruej2bTA8,2023-03-10,0.9984511137008668,799.0,TV9,315.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
YL56PpHIrsg,2023-03-13,0.9872581362724304,1294.0,TV9,329.0,4.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
sabfiS638as,2023-03-17,0.9975257515907288,776.0,TV9,74.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,1,1,0,0,0,0
bby19Z275wo,2023-03-23,0.9950437545776368,42823.0,Sakshi,289.0,144.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,1,1,1,0,1,1,0,0
jg92SoaQDV4,2023-04-17,-0.9967246651649476,15867.0,ABN,257.0,6.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,1,0,0,0,0,0
FS1FNqDh-fE,2023-04-19,0.9147056341171264,4862.0,TV9,317.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,1,1,0,1,0
