ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
86ZSiQ4w1uY,2023-04-03,0.9962024092674256,7654.0,TV9,340.0,11.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,1,0,0,0,0,0,0,0,1,0,0
RHQE4Qk3OGE,2023-04-03,0.9981001019477844,15450.0,TV9,297.0,8.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ftfiymglguo,2023-04-03,0.9901415705680848,21639.0,TV9,318.0,21.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,0,1,0,1,0,1,1,1,1,1,0,1,1
LSg-n9FDMVU,2023-04-06,0.9978742599487304,774.0,TV5,128.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3brjrkTu3Ls,2023-04-20,-0.9965829253196716,1515.0,TV9,195.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMBZfZFmKfU,2023-04-21,-0.9974269270896912,1557.0,TV9,127.0,1.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,0,0,1,0,0,0,0,0,0,0,0
nYAflEyjgtY,2023-04-21,-0.9982824325561525,3145.0,TV9,206.0,7.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,0,1,1,0,0,0,1,0,1,1,0
Bmq_NMVnfyE,2023-04-21,-0.9972374439239502,19392.0,TV9,315.0,53.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,0,0,1,0,0,0,1,1,1,1,1
mWRvzPy402E,2023-04-21,0.9915568828582764,6417.0,TV9,320.0,10.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,0,1,0,1,1,0,0,0,0,0,0,0,1
rUIY4whko0I,2023-04-21,0.9884922504425048,4326.0,TV9,235.0,6.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,0,0,1,0,0,0,0,0,1,0,0
