ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,chandrababu,pawan kalyan,AP ,yuvagalam,janasena party,alliance,polavaram
RGYDdrdJtfg,2022-11-04,0.9922161102294922,1809.0,ABN,320.0,7.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
2ndq-nu6Lhc,2022-11-04,-0.9983466863632202,1947.0,ABN,415.0,9.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
InAi6OeUCMg,2022-11-04,-0.997349739074707,2837.0,ABN,435.0,4.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
BU7SuqGh7Bo,2022-11-04,-0.9988514184951782,2406.0,ABN,480.0,2.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
QgFqB30TIk0,2022-11-07,0.9853787422180176,944.0,ABN,589.0,1.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
G0GK8NuXf7s,2022-11-07,-0.9975857734680176,845.0,ABN,499.0,1.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
mRNdVpfBX7Q,2022-11-11,-0.9987697005271912,7464.0,ABN,195.0,16.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,1,0,0,0,0,0
is6X6nKa1x8,2022-11-11,0.9932140111923218,22673.0,ABN,480.0,63.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
4lMdgZJ8mgw,2022-11-11,-0.997282862663269,5069.0,ABN,280.0,11.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,1,1,0,0,0,0,0
a912r2_zcHY,2022-11-12,-0.9967789053916932,1629.0,ABN,410.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
mZsB9XZSTLk,2022-11-12,0.9923795461654664,740.0,ABN,330.0,1.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
dyV2HieMzaI,2022-11-16,0.9971188306808472,1154.0,ABN,62.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
G3iEWu38iFU,2022-11-16,0.9938784241676332,633.0,ABN,148.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,0,0,0,0,0,0,0,0,1,0
vhMzHcjR-U8,2022-11-17,0.9874365329742432,5497.0,ABN,411.0,8.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
fMRxmMTaGPA,2022-11-17,-0.9926406741142272,3187.0,ABN,285.0,22.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,1,0,0,0,0,0,0
3R_PBhOEbY4,2022-11-19,0.9947750568389891,98789.0,TV5,521.0,55.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,1,0,0,0,0,0,0
xzs8f8xvauA,2022-11-21,-0.998700737953186,1037.0,TV9,223.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
Gh9Y4gDIw9k,2022-11-22,0.9965304732322692,6313.0,TV5,301.0,12.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,1,0,0,0,0,0,0,0
j4o1XLMTnvM,2022-11-24,-0.882440447807312,33675.0,TV9,461.0,20.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
IihKgB323OE,2022-11-24,0.7672635316848755,1958.0,TV9,236.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,1,0,0,0,0,0,0,0,0
QE_78vjq0OQ,2022-11-25,-0.9985218644142152,910.0,ABN,545.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
DoH7Ux0OyDo,2022-11-25,-0.9943481087684632,2995.0,ABN,415.0,4.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
JDWyX4E0XgE,2022-11-25,0.990559995174408,2322.0,ABN,365.0,1.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,1,0,0,0,0
1K1YR3S0HhY,2022-11-25,0.9945650100708008,3020.0,ABN,445.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
yVribPdyGtc,2022-11-27,-0.9988583326339722,1789.0,TV9,192.0,5.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
wN_1WhwoUQM,2022-11-27,-0.9908440709114076,33602.0,TV9,227.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,1,0,0,0,0
2VCBnnmVspk,2022-11-27,-0.9983239769935608,723.0,TV9,277.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
bH-jMIvFeyM,2022-11-27,-0.9963021278381348,929.0,TV9,144.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
PGpgAammL-E,2022-11-28,-0.9952325224876404,914.0,TV9,142.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,1,0,0,0,0
FQ4zFFqqulA,2022-11-28,-0.9939568042755128,428.0,TV9,169.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,1,0,0,0
9cKkkVIsop0,2022-12-03,-0.9950767159461976,866.0,ABN,254.0,2.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,1,0,0,0,0,0,0,0,0
1H19ZtnTlrE,2022-12-08,0.9956113696098328,7890.0,TV9,244.0,5.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,1
UfCkcRaycbM,2022-12-08,-0.9958771467208862,2664.0,TV9,272.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
J0dfCzJOivU,2022-12-08,0.9973324537277222,5216.0,TV9,225.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,0,0,0,0,0,0,0,0,0
058M0z29p2o,2022-12-08,0.9917036294937134,3568.0,TV9,266.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,1,0,0,1,0
4oHhAG-MnRo,2022-12-08,0.9971659779548644,2184.0,ABN,480.0,8.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
G2Cy_WfGeZI,2022-12-08,-0.7808679342269897,28105.0,ABN,515.0,64.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
Da7AzxWVv4I,2022-12-08,-0.998539924621582,2579.0,ABN,250.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
9sokOJ_AlvU,2022-12-08,-0.9943238496780396,7850.0,TV9,386.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,0,0,0,1,1,0,0,1
By7r8E4aoSQ,2022-12-08,-0.9961453676223756,423.0,TV9,264.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,1,0,0,0,0,0,0,0
QAs-Lc1DysM,2022-12-08,0.993791162967682,1274.0,TV9,266.0,4.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,1,0,0,0,0,0,0,0,0
NQU5o9ObBXY,2022-12-08,-0.9982700347900392,4307.0,TV9,433.0,5.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,1,0
8G5m4fz1WPI,2022-12-08,0.9984331727027892,10233.0,ABN,265.0,23.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,1,1,0,0,0,0,0,1,0
L01GF12v3M4,2022-12-08,-0.999286949634552,2984.0,ABN,428.0,2.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
byQdeawdGqo,2022-12-08,0.9987614154815674,1175.0,TV9,271.0,1.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,1,0,0,1,0,0,0,0
ZOK_X-qKQJM,2022-12-12,-0.9935775995254515,2537.0,TV9,238.0,6.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,1,0,0,0,0,0,0,0
n9G6wKp6OI0,2022-12-12,-0.9990955591201782,2461.0,TV9,228.0,9.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
6uEk7uEywig,2022-12-12,-0.9933452606201172,2402.0,TV9,264.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,1,0,0,0,0,0,0,0
71vXc-Xjm-E,2022-12-18,0.994114100933075,1143.0,ABN,86.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
xVZ4IP_MuAg,2022-12-19,0.998017430305481,50402.0,TV9,374.0,123.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
VDaeqwL3y8U,2022-12-19,-0.9948299527168274,16784.0,TV9,202.0,49.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,1,1,0,1,0,0,1,0,0
PcSdCdPFe1s,2022-12-19,0.9882946014404296,5203.0,TV9,198.0,4.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,1,0,0,0,0,0,1,1,0
JKx8N-2pYMk,2022-12-19,0.9962195754051208,3198.0,TV9,165.0,4.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,1,0,0,0,1,1,1,1,1
jnn964NLHR8,2022-12-19,-0.9888334274291992,8414.0,TV9,264.0,32.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,1,1,0,1,0,0
xWjoQubXwIc,2022-12-20,-0.9912713766098022,1004.0,ABN,550.0,2.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
GyllEV-b_FU,2022-12-20,-0.994375228881836,851.0,ABN,294.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,1,0
t48VFnES-Fg,2022-12-20,-0.9977834820747375,2360.0,ABN,589.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
SK_dbLmxYJY,2022-12-31,-0.9767428040504456,3469.0,TV9,399.0,7.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
LHbd_Kz19Ag,2023-01-03,-0.999462902545929,6336.0,TV5,305.0,5.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
dfvMTwmaca8,2023-01-04,0.9935675263404846,7253.0,TV9,269.0,7.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
bhFHHbuuWqw,2023-01-04,0.9916821122169496,10962.0,TV9,543.0,19.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
VIQKNWbe438,2023-01-04,-0.9969472289085388,46433.0,TV9,225.0,65.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,1,0,1,0,0,0,0,0,0
fkwKwrFiKZM,2023-01-04,0.9925801157951356,7116.0,TV9,202.0,14.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,1,0,0,0,0,0,0,0,0
9A-qquKO0g0,2023-01-04,-0.9954841136932372,14072.0,TV9,325.0,13.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,1,1,0,0,0,0
BVpHuOtE6ng,2023-01-04,-0.9979225993156432,37021.0,TV9,158.0,43.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
elvXdkHuSzE,2023-01-04,-0.99541437625885,1313.0,TV9,58.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
8KQHQSYEVpE,2023-01-04,-0.9902542233467102,12421.0,TV9,328.0,26.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,1,0,0,0,0,0,0,0,0
mT7vWqyGp6w,2023-01-04,-0.9939301013946532,6674.0,TV9,197.0,16.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,1,0,1,0,0,0,0,0,0
yvfWEeeUbSA,2023-01-04,-0.9934687614440918,4861.0,TV9,290.0,6.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,1,0,0,0,0,0,0
7MkOxYL1f0c,2023-01-04,-0.989528238773346,10561.0,TV9,195.0,13.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,1,0,0,0,0
o6eTIEMFHls,2023-01-05,0.9937798380851746,63829.0,TV9,337.0,72.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,0,0,0,0,1,0,0,0,0
QvLG7taTCvQ,2023-01-12,0.9891371130943298,8623.0,TV9,218.0,24.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,1,1,1,1,1,1,0,0,1
nAZQB1MQ2og,2023-01-12,-0.9971998929977416,54987.0,TV9,427.0,102.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,1,0,0,0,0
NDIqQRtzuZg,2023-01-16,0.9955599308013916,4113.0,TV5,140.0,10.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,1,1,1,0,1,1,0,0,1,0,0
pz7ljhMuEow,2023-01-18,0.9909960627555848,68076.0,TV9,246.0,206.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
F8yRgQYtMxc,2023-01-18,0.9922658801078796,8837.0,TV9,155.0,21.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
kVf8UQcu7vQ,2023-01-18,-0.9815419316291808,7342.0,TV9,317.0,16.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,1,0
W_ruypQ4Eio,2023-01-18,0.9958932399749756,16251.0,TV9,240.0,31.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
