ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,raghurama ,AP ,yuvagalam,ambati rambabu,ap employees,ap assembly session today,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
8sDv6U1nFGc,2022-11-01,0.998755931854248,365.0,TV5,280.0,1.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
zZkBecLi2PI,2022-11-01,-0.997086226940155,1403.0,TV5,320.0,0.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
wu-1ppGXRuE,2022-11-07,0.9784492254257202,1598.0,ABN,460.0,4.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xo7F8qR7Fjk,2022-11-16,0.996969997882843,2641.0,Sakshi,291.0,16.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
y855bEq-ymA,2022-11-18,0.9935426712036132,10354.0,ABN,420.0,15.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3yVTxphBUQY,2022-11-18,-0.997875452041626,2704.0,ABN,370.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372k-V2NiW4,2022-11-18,-0.994881272315979,4092.0,ABN,245.0,11.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mQUVfuZccWY,2022-11-19,-0.9848774671554564,47608.0,Sakshi,346.0,85.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g3L9vWKkk9Q,2022-11-19,0.9856281280517578,1914.0,Sakshi,155.0,2.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N8dX_NqY3BU,2022-11-19,-0.9902262687683104,2958.0,Sakshi,202.0,7.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KImxeBUWT_k,2022-11-20,-0.9952003955841064,175449.0,TV9,473.0,609.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V7pYuPQ-Z10,2022-11-21,0.9941695928573608,6117.0,ABN,285.0,14.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
qyCFiWSuk1I,2022-11-21,-0.9992838501930236,9530.0,ABN,280.0,12.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BrBQLNGHpvM,2022-11-21,0.9938648343086244,2629.0,ABN,236.0,3.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
XCumfvWfsf0,2022-11-21,-0.9989315867424012,10215.0,ABN,220.0,25.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
MNb6FyIovmQ,2022-11-21,-0.992299735546112,95151.0,ABN,365.0,215.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nxU_oQRZcjk,2022-11-21,0.9964499473571776,693.0,TV9,66.0,0.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOl5gOiBlPo,2022-11-22,-0.9954522252082824,11456.0,ABN,490.0,16.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiJMDRcl-nE,2022-11-22,-0.9992703795433044,640.0,ABN,370.0,0.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0zLS1iZJwkg,2022-11-22,-0.9918136596679688,5836.0,ABN,405.0,19.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05yp6Pk86ug,2022-11-22,-0.9988844990730286,2359.0,ABN,215.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LfVBB4xUNFU,2022-11-22,0.993442177772522,8225.0,ABN,495.0,31.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_1oK_1aTE6c,2022-11-22,0.989164412021637,581.0,TV9,62.0,0.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T8YVfcHQToM,2022-11-23,-0.9987620115280152,637.0,ABN,345.0,2.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1
EnR-QeiRH8Y,2022-11-28,0.9941030144691468,21004.0,TV5,475.0,20.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o_s9UTZVSIA,2022-11-30,0.9770885109901428,2064.0,TV9,383.0,4.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8A1pNZUcHQs,2022-12-01,0.9988264441490172,4536.0,Sakshi,273.0,14.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C3Tufkr-QLc,2022-12-02,-0.998595654964447,8423.0,ABN,300.0,6.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dZrVkgIHpBc,2022-12-07,-0.9933470487594604,3741.0,TV5,450.0,6.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1
ZHb-Nv18t-E,2022-12-07,0.9900335669517516,6992.0,TV5,350.0,3.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2Ih7i-hoUdA,2022-12-09,0.982504427433014,979.0,TV9,318.0,3.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Azqzn9TLh-8,2022-12-10,0.9960606694221495,184986.0,ABN,525.0,517.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LXqg1pJiGTU,2022-12-11,0.9985222220420836,2585.0,ABN,590.0,2.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3tyT1iIJIW8,2022-12-13,-0.9984588623046876,2099.0,ABN,245.0,2.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5W-H6OmI6jY,2022-12-13,-0.9962913990020752,2126.0,TV5,558.0,2.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
GsK2i627eII,2022-12-13,-0.9992045760154724,4819.0,TV5,435.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FxKLkbrjsjM,2022-12-14,-0.9949691891670228,1005.0,ABN,525.0,1.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z8MhFsPsYM8,2022-12-16,-0.9885606169700624,3353.0,ABN,470.0,0.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7laJIGcxTew,2022-12-16,0.988109827041626,2840.0,TV5,330.0,0.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ6z0qQ7spE,2022-12-16,-0.9993046522140504,6670.0,ABN,290.0,12.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JSTq1RB06_U,2022-12-16,-0.9956048727035522,3047.0,ABN,525.0,4.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5nLnHVYwGQg,2022-12-16,-0.999472439289093,28480.0,ABN,555.0,31.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cRk07iSZm54,2022-12-17,-0.9971365928649902,59897.0,Sakshi,485.0,117.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I8uHPTVadRo,2022-12-17,-0.9973124265670776,18574.0,Sakshi,577.0,58.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RdBzBFpURf0,2022-12-17,-0.9693959951400756,17893.0,TV9,438.0,11.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
