ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ap employees,Sajjala ,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
h0QE7nRsmZw,2022-10-28,-0.9972683191299438,1626.0,ABN,351.0,0.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
m4GHXzEvOkQ,2022-10-31,-0.9872475862503052,722.0,Sakshi,153.0,5.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
3lAfz6XCvX0,2022-11-01,0.9919923543930054,1295.0,ABN,357.0,1.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7JEiv5ZeshE,2022-11-05,0.9501911997795104,7542.0,Sakshi,280.0,98.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1
b9YBZQ3qW3k,2022-11-10,0.9978111386299132,29980.0,TV5,300.0,31.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
WKZYvwkEIwA,2022-11-10,0.9936226010322572,4058.0,TV5,285.0,3.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
XVO0cbcidks,2022-11-10,0.9738848805427552,19528.0,TV5,380.0,44.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m9L0RZaPljQ,2022-11-10,0.9940377473831176,5524.0,Sakshi,254.0,10.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
beTvecFw-TE,2022-11-10,0.9971364736557008,19695.0,Sakshi,594.0,49.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
tOG0e3pvBYw,2022-11-12,-0.9986577033996582,811.0,TV5,157.0,1.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
