ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ap assembly session today,alliance,visakha
RbArfng7PPY,2022-12-03,-0.9868043661117554,337.0,ABN,292.0,4.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
is_GltrdDz4,2022-12-04,0.9968926310539246,1728.0,TV9,328.0,1.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
qu9UD9SGAO4,2022-12-08,0.9921945333480836,3510.0,TV9,574.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
sWaonDTiuoQ,2022-12-10,-0.9066523909568788,564.0,TV5,514.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
P2RD6HlqhRE,2022-12-12,-0.978264331817627,4241.0,Sakshi,509.0,9.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,1,0,1,0,0,0,0,0,0,0,0
n-RUTo-ppq0,2022-12-18,0.9959220886230468,3024.0,TV9,323.0,1.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,1,0,0,0,1,0
RMisHknizRA,2022-12-18,-0.9973080158233644,689.0,ABN,430.0,1.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
JweKVQbU7g0,2022-12-20,-0.977115035057068,1527.0,TV5,267.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,1
5dJKYMtvRrI,2022-12-25,0.9957743287086488,14639.0,Sakshi,240.0,20.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,1,1,0,1,0,0,0,1,0,0,0,0
KehIh_CEBC4,2023-01-01,0.9732840657234192,1589.0,TV9,241.0,2.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
