ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
pStC9_4456k,2022-11-18,-0.999496579170227,5325.0,TV5,309.0,6.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jDFcH5lhHBQ,2022-11-18,-0.9970701932907104,977.0,TV5,520.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2ei2E93bsA,2022-11-19,-0.9556894302368164,4025.0,TV5,515.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nzgveej06aw,2022-11-21,0.9983283877372742,1425.0,TV5,348.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FRY662mbgus,2022-11-21,0.9800337553024292,2297.0,TV5,75.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
DYCwwTzGIzY,2022-11-22,0.968666672706604,537.0,TV5,445.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HilsCK_bNZw,2022-11-23,-0.9990018010139464,21131.0,TV9,250.0,47.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9c38n54KlF0,2022-11-23,-0.99893981218338,8304.0,TV9,279.0,21.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IihKgB323OE,2022-11-24,0.7672635316848755,1958.0,TV9,236.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KJBkTEn4Sn8,2022-11-26,-0.6878144145011902,142185.0,TV5,542.0,169.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
nVnvnvWrkO8,2022-11-27,0.9982492923736572,1518.0,TV9,293.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XztNxJ5S7Do,2022-11-28,-0.9921689629554749,3822.0,ABN,410.0,3.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
X_bU4wXwKhk,2022-11-28,-0.9966135621070862,36730.0,ABN,390.0,124.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OB0vxRxHVYk,2022-11-28,0.9536528587341307,9567.0,ABN,245.0,19.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
_t8K4SwhOEI,2022-11-29,0.9542916417121888,3385.0,TV5,175.0,3.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
uSdV1oWVx1M,2022-11-29,-0.9981834292411804,4869.0,ABN,430.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0hGeoA2VWk,2022-11-29,-0.995315432548523,2721.0,TV9,211.0,4.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7QoB_XK_h7o,2022-11-30,0.9932332634925842,4970.0,TV5,324.0,5.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
q8pf-ZA58Qk,2022-12-01,0.998685896396637,8827.0,Sakshi,327.0,30.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
93NHbmroQ0g,2022-12-02,0.997536301612854,2868.0,TV5,295.0,5.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
QOyVyJTXHrQ,2022-12-02,-0.9909852743148804,2826.0,TV5,136.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
haY_Amqd1JQ,2022-12-04,0.9900617599487304,123745.0,TV9,491.0,191.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s74685p3a8c,2022-12-05,-0.9873743653297424,3578.0,ABN,495.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QhbQNy-fIxo,2022-12-05,-0.998748540878296,1989.0,ABN,485.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bj5TCUArW6s,2022-12-05,-0.9993321299552916,2950.0,ABN,410.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uw3JkfzN6Ak,2022-12-05,0.992732584476471,2357.0,ABN,500.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vG7_MvwIwrI,2022-12-05,-0.9957910776138306,1444.0,ABN,210.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AfpB6K-2a1s,2022-12-06,-0.9978147745132446,2634.0,ABN,280.0,3.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1
G2Cy_WfGeZI,2022-12-08,-0.7808679342269897,28105.0,ABN,515.0,64.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VnGYcYbguHw,2022-12-12,0.9950188398361206,3121.0,TV5,430.0,9.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mA1x-_rp_mM,2022-12-12,-0.9976307153701782,3277.0,TV9,206.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
