ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ambati rambabu,alliance,ambati rambabu ,polavaram,yuvashakti,tadepalli,suprem court,ap development,tadipatri
jEOZb7YxpME,2023-01-07,-0.9976304769515992,25920.0,TV9,397.0,11.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0sieAa9bB0,2023-01-07,-0.9931584000587464,15255.0,TV9,196.0,11.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VZBBErHPkDs,2023-01-07,0.885033130645752,8646.0,ABN,317.0,16.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
QCS6zKtd12U,2023-01-08,-0.9812164902687072,1300.0,ABN,315.0,0.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE8W-woH-tA,2023-01-08,-0.9955793023109436,117300.0,TV9,390.0,78.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
QZtHa0XP1VU,2023-01-08,-0.9986847043037416,6732.0,Sakshi,267.0,8.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
dgpIR9MXV7U,2023-01-08,-0.9968276619911194,3013.0,TV9,151.0,0.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWlggwoBM1s,2023-01-09,-0.993844985961914,38547.0,TV9,175.0,19.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pThsCbfyC1w,2023-01-09,-0.9919398427009584,4769.0,TV9,309.0,1.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ol2dtPTZQGE,2023-01-10,0.9894294142723083,2323.0,Sakshi,353.0,13.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4eyS0K7abRM,2023-01-12,-0.9914019703865052,1956.0,ABN,211.0,2.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_jOWX1fJbgY,2023-01-12,0.9938667416572572,57704.0,TV5,360.0,28.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zYkPyO9sId0,2023-01-13,0.9988560676574708,2026.0,TV9,218.0,2.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V-jA13KJZKk,2023-01-13,-0.9741076827049256,13207.0,ABN,300.0,147.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp812mtrzCU,2023-01-15,0.99861478805542,6919.0,TV9,448.0,12.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9zLjXDJy_0c,2023-01-18,0.99379962682724,1595.0,TV9,422.0,2.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hvHC9_9PGNU,2023-01-18,-0.9929006099700928,14548.0,TV5,287.0,0.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e5EQ75EtdjI,2023-01-23,0.9973019361495972,20209.0,ABN,480.0,66.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLFNwyesx8E,2023-01-23,0.9985198378562928,7208.0,ABN,430.0,11.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WoSSB0tq_HE,2023-01-27,0.9978590607643129,15775.0,TV5,365.0,13.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M3jZrQSh8r8,2023-01-28,0.9958102703094482,1487.0,TV9,296.0,4.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
X-Xra7CkKZw,2023-01-29,0.9984673857688904,981.0,TV9,304.0,3.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kA72ZARC8Pw,2023-01-31,-0.9926778078079224,1250.0,TV9,425.0,3.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
WgQTrwBKYzc,2023-02-01,-0.995492696762085,547.0,TV5,265.0,0.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ukptIuyRF-Q,2023-02-04,-0.9798198342323304,109162.0,TV5,474.0,96.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
obyTX6Rruzw,2023-02-06,0.9913990497589112,1019.0,TV9,522.0,0.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1
M61_QTL9oF4,2023-02-07,-0.9770010113716124,19952.0,TV9,560.0,41.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mauP6OB0byo,2023-02-08,0.8701013326644897,4275.0,ABN,149.0,5.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xaMr1fcvFvk,2023-02-08,-0.9901462197303772,1092.0,TV9,134.0,1.0,udayagiri.png,Mekapati Chandra Sekhar Reddy,YSRCP,Udayagiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
