ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Yellow Media,janasena party,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,jogi ramesh ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,ayyanna patrudu ,vangaveeti radha,suprem court,ap development,balineni srinivasa reddy,tadipatri,Jayaho BC,nellore mekapati,maa nammakam nuvve jagan,nandigama
MoTHz8p8ex8,2022-03-24,0.9887452721595764,237548.0,Sakshi,345.0,566.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JI5Ezoytkic,2022-03-24,-0.9982353448867798,8810.0,Sakshi,294.0,0.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
FGt3xM7GKc4,2022-03-26,0.9923891425132751,1455.0,Sakshi,570.0,0.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ki9xXlrwAQ,2022-04-02,0.9895337224006652,27509.0,Sakshi,386.0,61.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mNLk4t1Ctp8,2022-04-02,-0.996659517288208,47778.0,Sakshi,203.0,139.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
IrazKnqmUoA,2022-04-02,-0.999026656150818,2340.0,Sakshi,263.0,14.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
5I6Az4EzCr0,2022-04-11,0.9980548620224,778931.0,Sakshi,144.0,906.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YXhg6EWZLEs,2022-04-11,0.9975542426109314,11280.0,Sakshi,281.0,9.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1
z4y4G4whc0U,2022-04-12,0.9983944296836852,22953.0,Sakshi,219.0,35.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0
wnvTA5tRw4o,2022-04-22,0.995287299156189,131189.0,Sakshi,262.0,100.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e7M7Tp9NH3I,2022-04-22,-0.998412013053894,37391.0,Sakshi,106.0,108.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
