ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,Atchannaidu,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
0GZUHcnbJJ0,2022-03-14,0.9957096576690674,39971.0,Sakshi,537.0,95.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fn0sIdHcXOc,2022-03-14,0.9940298795700072,16368.0,Sakshi,354.0,44.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qKZdASBj7bc,2022-03-16,-0.9880152344703674,4098.0,Sakshi,192.0,3.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nNPOuKWO3WA,2022-03-17,-0.9966741800308228,8876.0,Sakshi,535.0,15.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kyClKrhBB_0,2022-03-21,0.9962605834007264,1316.0,Sakshi,167.0,2.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
jFrYabx6CxY,2022-03-26,-0.9992363452911376,3196.0,Sakshi,307.0,8.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mNLk4t1Ctp8,2022-04-02,-0.996659517288208,47778.0,Sakshi,203.0,139.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1MDdmOPfkcA,2022-04-04,0.9986799359321594,31369.0,Sakshi,227.0,25.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1yYuIDl1Hc8,2022-04-09,-0.9924203753471376,165683.0,Sakshi,346.0,196.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
rJ34r_A3BQI,2022-04-11,0.9941904544830322,29002.0,Sakshi,313.0,34.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14k0tO0A--M,2022-04-28,0.9899247884750366,59984.0,Sakshi,413.0,225.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO4ZmjmNBMM,2022-05-02,0.998688280582428,6017.0,Sakshi,220.0,9.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
st1zWcMBcy8,2022-05-05,-0.9975209832191468,15778.0,Sakshi,283.0,78.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8rvlBzhN0A0,2022-05-06,0.9771048426628112,75938.0,Sakshi,237.0,137.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LvTsZ8KgBdc,2022-05-07,0.9742631316184998,44498.0,Sakshi,118.0,150.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gY6IAl4zX48,2022-05-07,0.997768759727478,18347.0,Sakshi,123.0,37.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gefyn22NJkA,2022-05-12,0.996220052242279,6312.0,Sakshi,439.0,7.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1kM4sILuV3I,2022-05-12,-0.9891533255577089,2819.0,Sakshi,169.0,16.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GfbcAZLKSjM,2022-05-13,0.9887109398841858,6533.0,Sakshi,278.0,26.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OAbN0EPQgYw,2022-05-16,-0.9909275770187378,78785.0,Sakshi,250.0,251.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
t1LSo_CRpaI,2022-05-16,-0.9962932467460632,11729.0,Sakshi,356.0,46.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2SY_Ush2lZ4,2022-05-18,0.9987952709197998,12069.0,Sakshi,387.0,24.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
p9HjDn4zxcA,2022-05-26,-0.9396141171455384,139936.0,Sakshi,383.0,325.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UhN0La0rxn0,2022-06-05,0.9975907802581788,11815.0,Sakshi,254.0,39.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
9FcqHAKwpGQ,2022-06-06,0.9896255135536194,2851.0,Sakshi,155.0,0.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sUY3abHq5Qk,2022-06-11,-0.8947923183441162,9789.0,Sakshi,275.0,45.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sqxp__ECAFw,2022-06-17,0.9923526644706726,26438.0,Sakshi,244.0,25.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3Le4IEgPPI,2022-06-19,-0.9988800883293152,1481.0,Sakshi,396.0,0.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hiNR8x4Qzh4,2022-06-21,0.9769501686096193,15630.0,Sakshi,118.0,11.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bSLUmYpdMRQ,2022-06-26,0.9948194622993468,3710.0,Sakshi,589.0,0.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hijm8VKMlYM,2022-06-26,0.9877062439918518,158038.0,Sakshi,420.0,313.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NhiarukWTrg,2022-06-28,0.9976946711540222,2978.0,Sakshi,353.0,0.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
u1RkHYXS4qA,2022-06-29,0.9894040822982788,989.0,Sakshi,510.0,0.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Zd5qxSy7kiM,2022-06-29,0.994987964630127,1518.0,Sakshi,360.0,1.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dvwI0NMox0c,2022-07-02,-0.9919453263282776,62120.0,Sakshi,132.0,170.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8g1nNrhPOTs,2022-07-13,0.9977977275848388,4437.0,Sakshi,478.0,4.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
c62fWrbGOwY,2022-07-19,-0.9939746260643004,39318.0,Sakshi,590.0,148.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
GZxlv4zP0jk,2022-07-21,-0.9944828748703004,18530.0,Sakshi,555.0,58.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
wY6FC7klKS0,2022-07-27,-0.8801581859588623,25183.0,Sakshi,203.0,29.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
giqfWtrP0OA,2022-07-28,0.9842846393585204,13089.0,Sakshi,213.0,25.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2nIPZjWEZbY,2022-07-30,-0.9937605261802672,5545.0,Sakshi,237.0,12.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
LnWTBqOR-2Q,2022-08-21,0.9987432360649108,2684.0,TV5,215.0,1.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0
ldY102yVBSg,2022-08-22,-0.9980416297912598,2322.0,TV5,295.0,0.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocyq6K_AjX8,2022-08-22,-0.9977147579193116,257606.0,TV5,320.0,262.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
zWUNxCRxFQE,2022-08-22,-0.9991459846496582,912.0,TV5,233.0,4.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4kS4uC7JemI,2022-08-28,-0.9914013743400574,62391.0,TV5,435.0,50.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zzIGymDuvrk,2022-08-30,-0.9889609217643738,15619.0,Sakshi,585.0,16.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kjs6hWAGCAE,2022-08-30,-0.9989429116249084,1771.0,TV5,210.0,1.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0
kkoy7VNSHs0,2022-09-02,0.9833309054374696,17034.0,TV5,450.0,21.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vkt0KBYcEFY,2022-09-02,-0.9983357787132264,2486.0,TV5,119.0,6.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SaFPjp0UvCE,2022-09-03,-0.997008979320526,10603.0,TV5,247.0,4.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3DShTt7mxiE,2022-09-04,0.992090344429016,1266.0,TV5,475.0,3.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3hSxOiR-XLs,2022-09-04,-0.9944345355033876,1325.0,TV5,465.0,1.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qaFipFqishA,2022-09-05,0.9911222457885742,3466.0,TV5,277.0,3.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RdQoVgqQTdk,2022-09-06,-0.9948568344116212,3401.0,TV5,295.0,4.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
RvxNeYyZDrE,2022-09-10,-0.9988791346549988,518077.0,TV5,200.0,649.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2hL2vhjuLuM,2022-09-12,-0.9870693683624268,1372.0,TV5,109.0,1.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rfb_AFkNpiA,2022-09-12,-0.9994693398475648,3418.0,TV5,256.0,8.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OgPwb2yJcuo,2022-09-12,0.9940767288208008,948.0,TV5,307.0,5.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JtrNtt9-RZ0,2022-09-12,-0.9960384368896484,1610.0,Sakshi,498.0,3.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umx5uAxx89M,2022-09-15,-0.9748426675796508,277692.0,TV5,488.0,440.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NkPmzRUo-QY,2022-09-15,0.998396933078766,83950.0,TV5,376.0,141.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVr1D-7mIW0,2022-09-15,-0.998043417930603,1136.0,TV5,160.0,0.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4iPagfoDBTA,2022-09-16,0.961049497127533,101662.0,TV5,270.0,73.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5sWj7jxiWiI,2022-09-16,-0.9933890104293824,2350.0,TV5,422.0,0.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
afp_ZUi1V7E,2022-09-16,-0.997050642967224,64641.0,TV5,341.0,64.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6zw-gcgwbwk,2022-09-16,0.8881784081459045,1233.0,Sakshi,577.0,1.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zbVWF4lXfAw,2022-09-19,-0.9978391528129578,1475.0,TV5,331.0,7.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
NvlPwNbw7tk,2022-09-19,-0.9986758828163148,2810.0,TV5,180.0,5.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ugG8VKVrRPI,2022-09-20,-0.9834954142570496,10446.0,TV5,185.0,18.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zEsvQaooyKw,2022-09-20,0.67425137758255,1345.0,TV5,86.0,0.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
ubKN44nzRro,2022-09-27,-0.9958125948905944,3167.0,TV5,89.0,4.0,razole.png,Rapaka Vara Prasada Rao,YSRCP,Razole,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0
