ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,chandrababu,pawan kalyan,AP ,janasena party,ap assembly session today,alliance,yuvashakti,suprem court,ap development
VDaeqwL3y8U,2022-12-19,-0.9948299527168274,16784.0,TV9,202.0,49.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,1,1,0,1,0,1,0,0,0,1,0
xVZ4IP_MuAg,2022-12-19,0.998017430305481,50402.0,TV9,374.0,123.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
PcSdCdPFe1s,2022-12-19,0.9882946014404296,5203.0,TV9,198.0,4.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,1,1,0,0,0,0,1,0,1,0,0,0
5SKUJhtYzZM,2022-12-19,0.995124876499176,3568.0,TV9,219.0,13.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,1,1,0,0,0,0,0,0
JKx8N-2pYMk,2022-12-19,0.9962195754051208,3198.0,TV9,165.0,4.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,1,0,0,0,1,1,0,1,1,0,1
jnn964NLHR8,2022-12-19,-0.9888334274291992,8414.0,TV9,264.0,32.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,1,1,1,0,0,0,0,0
1KGI-A_DJlI,2022-12-21,0.9847657680511476,13969.0,ABN,455.0,24.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
XOjdBqhNZdU,2022-12-27,-0.9936689734458924,16004.0,TV9,160.0,27.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,1,0,1,0,0,0,0
S7rdKenGCXE,2022-12-27,0.9956780076026917,1892.0,TV9,99.0,1.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,1,0,0,0,0,0,1,0,0,0,0,0,0
rzf3R8IpY0k,2022-12-27,-0.990925431251526,13395.0,TV9,335.0,15.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,1,0,0,0,0,1,1
8peHNLgNcLo,2022-12-27,-0.9937449097633362,6138.0,TV9,290.0,20.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
XmYOHV7gblU,2022-12-27,-0.9955520033836364,11881.0,TV9,160.0,15.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0
uMypDxkEshQ,2022-12-27,-0.9959365129470824,9836.0,TV9,236.0,18.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,1,0,1,0,0,0,0
YNAGtAhb-SY,2022-12-27,-0.9993230104446412,10310.0,TV9,231.0,34.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
33oqP-jvLHU,2022-12-27,0.99774169921875,2650.0,TV9,151.0,6.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,1,0,0,0,1,0,0,1,0,0,1
hO8rofs9Xgg,2022-12-27,0.9815588593482972,2079.0,TV9,162.0,5.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,1,0,0,1,0,0,0,0,0,1
TfV8tMl5g34,2022-12-27,0.9846616387367249,4099.0,TV9,147.0,10.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
AKpH6_exltA,2022-12-30,0.9963831901550292,2742.0,ABN,245.0,0.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
6cfybgowqpA,2022-12-30,0.9927687644958496,16752.0,ABN,555.0,15.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
jBK1292RiVs,2022-12-30,0.9862619042396544,1425.0,ABN,207.0,3.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,1,1,1,0,1,1,0,0,1,0,0,0
6GoxHbyHNig,2022-12-30,-0.9994837045669556,7412.0,ABN,249.0,5.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,1,0,0,0,0,0,0,0,0,0,0,0,0
_gJlL6nwaZA,2023-01-07,0.9986507296562196,7173.0,TV9,423.0,33.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0
a5wGBng9upM,2023-01-08,0.9962818026542664,24038.0,TV9,471.0,101.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
eyhtoifSTSg,2023-01-08,0.9938805103302002,51874.0,TV9,487.0,241.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,1,0,0,1,0,0,0,0,0,0,0,0
qGn4ulP9pEg,2023-01-08,-0.9918360114097596,165150.0,TV9,298.0,273.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,1,1,0,1,1,0,0,0,1,0,0,1
sdh2tBVNa4I,2023-01-08,0.9973036050796508,24624.0,TV9,458.0,96.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,1,0,0,0,0,0,0,0,0
vlJAVP5QD_I,2023-01-09,0.9934685230255128,6823.0,TV9,458.0,27.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,1,1,0,0,0,0,0,0,0
hQVahHxbwCo,2023-01-12,0.9980996251106262,27598.0,TV9,194.0,20.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,1,0,0,1,0,0,0,0,0,0,0,0,0
ewgXK-cziRs,2023-01-12,0.9974842071533204,151622.0,TV9,392.0,5.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
N5fOLCCgO4A,2023-01-22,0.9834859371185304,5115.0,TV9,326.0,17.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
GjjC7gXHKjg,2023-01-22,0.9970279335975648,2781.0,TV9,279.0,11.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
OhUYjSCv8-8,2023-01-22,-0.990921139717102,2799.0,TV9,329.0,8.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ki-jzI_CnnI,2023-01-23,0.998808979988098,6020.0,TV9,415.0,11.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
1atl4lxXhXw,2023-01-24,0.988807499408722,25679.0,ABN,345.0,68.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
YFxYEf9sq3g,2023-01-24,0.9983651041984558,3682.0,ABN,290.0,20.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,1,1,1,0,1,1,0,0
fBii50_m4W0,2023-01-24,-0.9978601336479188,5682.0,ABN,505.0,12.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
-hJ55DAb9Fw,2023-01-24,0.998551309108734,1340.0,ABN,305.0,7.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,1,0,1,1,0,1
rRhGH5U6unQ,2023-01-24,-0.9970898628234864,34927.0,ABN,395.0,73.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
BYYcLeIZ3bc,2023-01-24,0.998021364212036,30674.0,ABN,425.0,129.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0
e_16H78PwIM,2023-01-24,0.9939864873886108,2629.0,ABN,350.0,6.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
tEgjYH1EbRY,2023-01-25,0.9958232641220092,20038.0,TV9,401.0,46.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0
lELZwb_3iwg,2023-01-25,-0.989242136478424,40109.0,TV9,306.0,86.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,1,0,0,0,0,0,0,0,0,0,0,0
-rd80q0QWAI,2023-01-25,-0.9938143491744996,173390.0,TV9,280.0,244.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
ftPjcjPnnvk,2023-01-25,-0.9994864463806152,19247.0,TV9,248.0,31.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0
x70Xp3ANVL0,2023-01-25,-0.9944438338279724,48389.0,TV9,147.0,78.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,1,1,0,0,0,0,0,0
CkpkX3syr9U,2023-01-25,-0.9976699948310852,14650.0,TV9,223.0,11.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,1,0,1,0,0,0,0,0,0
E1aWQO9XPzM,2023-02-06,0.9971343278884888,619.0,TV9,296.0,0.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,1,0,0,0,0,1,0,0,0,0
-oJyN5WC0R4,2023-02-06,-0.9993489384651184,276.0,ABN,510.0,0.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
PgYE5ZP6PxE,2023-02-15,-0.8074029088020325,2726.0,TV9,241.0,3.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,1,0
mdb-ptFiz9U,2023-02-15,-0.9896475672721864,20469.0,TV9,370.0,60.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
embiIKRbFwY,2023-02-15,-0.9994843006134032,12949.0,TV9,386.0,29.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,1,1,0,0,0,1,0,0,0,1,1,0
SI-yUvi5LL8,2023-02-15,0.9884257316589355,11173.0,TV9,204.0,30.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
JqVP1EGKMag,2023-02-28,-0.9846138954162598,40779.0,TV9,251.0,220.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,1,0,0,0,0,0,1,1,0,0,0,0,1
e_-MpK0yOLE,2023-02-28,-0.9972580671310424,33549.0,TV9,181.0,253.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,1
hhCeSH6klXU,2023-02-28,-0.9990874528884888,12033.0,TV9,292.0,50.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,1,0,1,1,0,0,1,0,0,0
Z8HXQon64aY,2023-03-02,0.9985236525535583,677.0,TV9,215.0,0.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
vZfqvQ6h5uI,2023-03-04,0.9985920786857604,6839.0,Sakshi,273.0,11.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,1,1,0,1,0,0,0,0,0,0
qz9Xqf82GZE,2023-03-14,0.9940903782844543,895.0,TV9,303.0,1.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,1,1,0,0,0,0,0,0,0,0,1,0
vpjJbZ46MQI,2023-03-15,-0.9991965889930724,5948.0,TV9,263.0,12.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,1,0,1,1,0,0,1,0
KepV5Vvk5qQ,2023-03-15,-0.9972109198570251,5773.0,TV9,355.0,11.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,1,0,0,0,1,1,1,0,0,1,0,0,0
gZxq7gA0AEY,2023-03-15,-0.9983822107315063,4534.0,TV9,302.0,10.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,1,0,0,1,0,1,0,0,0,0,0
bVi8PqdJK1w,2023-03-15,0.9873513579368592,5110.0,TV9,308.0,6.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,1,0,1,1,1,0,1,1,1,1
dszQWIyY6XY,2023-03-15,-0.9811345338821412,13661.0,TV9,319.0,15.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,1,0,0,0,1,0,0,0
gQFpeNPvHyo,2023-03-16,-0.9283303022384644,3457.0,TV9,231.0,7.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0
wPQ6SZPlkzQ,2023-03-25,-0.9988491535186768,1244.0,TV9,229.0,0.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,0,0,0,0,0,0,0,0,0,0,0,1,0
mWRvzPy402E,2023-04-21,0.9915568828582764,6417.0,TV9,320.0,10.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,1,0,1,0,1,0,0,0,0,1,0,0,0
rUIY4whko0I,2023-04-21,0.9884922504425048,4326.0,TV9,235.0,6.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,1,1,1,0,1,1,0,0,0,1,0,1,0
nYAflEyjgtY,2023-04-21,-0.9982824325561525,3145.0,TV9,206.0,7.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,1,1,1,0,1,1,0,1,0,0,1,1,1
Bmq_NMVnfyE,2023-04-21,-0.9972374439239502,19392.0,TV9,315.0,53.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,1,1,1,0,1,1,0,1,1,1,1,1,1
IMBZfZFmKfU,2023-04-21,-0.9974269270896912,1557.0,TV9,127.0,1.0,satyanarayan.png,Bolisetti Satyanaryan,JSP,,1,1,1,0,1,0,0,0,0,0,0,0,0
