ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,cm jagan,chandrababu,yuvagalam,yuvashakti,tadepalli,suprem court,ap development,tadipatri
mrcM_aUrSS8,2023-02-05,-0.9837990999221802,2438.0,Sakshi,198.0,9.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,1,0,0,0,1,1,0
78ekFqqB1QU,2023-02-10,-0.9943732023239136,890.0,ABN,171.0,0.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
6ZXkdKNyK3Y,2023-02-10,0.9935734868049622,2210.0,TV9,79.0,6.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
d6FU0lTU-CQ,2023-02-10,-0.9974021911621094,254.0,ABN,182.0,0.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
XVsaaALpaCU,2023-02-15,0.9861417412757874,958.0,TV9,339.0,1.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
UK3AD2ivXWg,2023-02-15,0.9925997257232666,3573.0,TV9,289.0,4.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
-ENWKe61q4k,2023-02-15,0.9987778067588806,3537.0,TV9,368.0,7.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
TYU1EQ7HbQc,2023-02-16,0.99687659740448,517.0,ABN,207.0,1.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,1,0,0,0,0,0
bm64l46HooE,2023-02-16,0.9800849556922911,239.0,ABN,416.0,0.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
i0fLfkxidUk,2023-02-17,0.9942272901535034,2157.0,TV9,396.0,1.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
