ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,ap employees,ap assembly session today,alliance,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
k-pjklwcXng,2022-10-03,0.9960615038871764,836.0,TV5,504.0,3.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N-nNzPISThY,2022-10-05,0.9985781908035278,4037.0,Sakshi,523.0,11.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM_GyQY4pjc,2022-10-07,-0.9984117746353148,101734.0,TV5,205.0,129.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mxYr3iP0ams,2022-10-07,-0.998705267906189,66974.0,TV5,435.0,74.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IHaPmnJ6CHI,2022-10-07,0.9964069724082948,3875.0,TV5,365.0,7.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cVs-Uz7u7qI,2022-10-07,0.9959484934806824,122983.0,TV5,315.0,142.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1
gZ9CMECe-VI,2022-10-11,-0.9982131719589232,2855.0,ABN,450.0,2.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uBmpv1ylhd8,2022-10-11,0.9981908202171326,3908.0,ABN,530.0,8.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OkWN4DdWWAY,2022-10-14,0.9980816841125488,13917.0,Sakshi,487.0,66.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6FaCK2aHLOk,2022-10-14,-0.998680055141449,1065.0,ABN,176.0,0.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
XlDlyZLnwyE,2022-10-16,-0.999502658843994,31790.0,TV5,202.0,43.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
MtFCc02AHB4,2022-10-24,-0.9891662001609802,1331.0,TV5,339.0,2.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3LqvlR5n24w,2022-10-25,0.9870240688323976,2406.0,ABN,228.0,1.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5sJ7uzSYl0,2022-10-27,-0.9965780377388,2702.0,TV5,323.0,0.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ljhr7tu-Sg0,2022-10-31,0.9960583448410034,752.0,TV5,197.0,0.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7gJV-ywI8Y8,2022-11-08,-0.9982417821884156,2179.0,TV5,225.0,3.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
AKbCG2a_rnI,2022-11-10,0.9966976642608644,2811.0,TV5,305.0,7.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DcbTKIHeGmw,2022-11-11,0.998694121837616,2303.0,ABN,153.0,6.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
SFh3aw4G3AI,2022-11-12,-0.997740626335144,5046.0,Sakshi,483.0,18.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
tErDwKNfBOc,2022-11-12,-0.9980852603912354,5355.0,Sakshi,494.0,28.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
YePDp8oBOb4,2022-11-14,0.995898425579071,10056.0,TV5,520.0,6.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WQCLl9v8FcE,2022-11-15,0.9910596013069152,2361.0,Sakshi,186.0,11.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
vRS5zzckWHs,2022-11-24,-0.9977492690086364,52573.0,TV9,196.0,181.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
WZk-fu3SGZg,2022-11-27,0.9977836012840272,20433.0,TV5,455.0,48.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9CRuafCTCCE,2022-11-28,0.9953761100769044,1009.0,ABN,295.0,8.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4SK9wyLvaF0,2022-11-28,-0.9930688142776488,2254.0,Sakshi,510.0,6.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
