ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,visakha,yuvashakti,suprem court,ap development,tadipatri
-t1ZzFghTR8,2022-12-27,-0.998621702194214,2136.0,TV9,372.0,5.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
_Q3MU3WDQT4,2023-01-03,-0.9980815649032592,17290.0,TV5,345.0,45.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,1,1,0,1,1,1,0,0,0,1,1
4Q53g9SCL_Y,2023-01-11,-0.9915297031402588,2866.0,ABN,210.0,7.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,0,0,0,1,0,0,0,0
fsV5k7_aaw4,2023-01-11,-0.9483524560928344,69155.0,ABN,525.0,115.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
3cA5Lu6-UHI,2023-01-11,-0.9691331386566162,32538.0,ABN,415.0,47.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
ewgXK-cziRs,2023-01-12,0.9974842071533204,151622.0,TV9,392.0,5.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
3ZiQovCChYE,2023-01-15,0.9985236525535583,859.0,ABN,166.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,1,0,0,0
Aawo0afJqi0,2023-01-15,0.9976770281791688,3136.0,TV9,485.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,1,1,0,0,0,0
xYeX4cgQXRE,2023-01-17,-0.9983168840408324,734.0,ABN,235.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,1,0,0,0,0,0,0,1,0,0
SrF3HhcAkl4,2023-01-18,-0.99570894241333,2101.0,ABN,265.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,1,1,0,1,0,0,0,0,0,0,0
vUQOBu_mPLo,2023-01-20,0.9930436611175536,1995.0,TV9,244.0,2.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
e_16H78PwIM,2023-01-24,0.9939864873886108,2629.0,ABN,350.0,6.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
fBii50_m4W0,2023-01-24,-0.9978601336479188,5682.0,ABN,505.0,12.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
BYYcLeIZ3bc,2023-01-24,0.998021364212036,30674.0,ABN,425.0,129.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
rRhGH5U6unQ,2023-01-24,-0.9970898628234864,34927.0,ABN,395.0,73.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
YFxYEf9sq3g,2023-01-24,0.9983651041984558,3682.0,ABN,290.0,20.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,1,0,1,0,0,0
-hJ55DAb9Fw,2023-01-24,0.998551309108734,1340.0,ABN,305.0,7.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,1,0,1,1
7QFYcBgkuTQ,2023-02-02,0.9932075142860411,9627.0,TV5,540.0,3.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,0,0,0,0,0,0,0,0,0,0,0
C5S4jCRt9YU,2023-02-04,0.9897415637969972,21150.0,Sakshi,180.0,29.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,1,1,1,0,1,1,0,0,1,0
soGnGMQABgw,2023-02-05,-0.9960748553276062,4288.0,TV9,342.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,0,0,0,0,0,0,0,0
hn3vS797efI,2023-02-14,-0.9979625940322876,1784.0,ABN,170.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,0,0,0,0,0,0,0,0
qvFotyGlE2Y,2023-02-15,-0.998789608478546,45488.0,TV5,310.0,39.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,1,1,1,0,0,0,0,0,0,0,1
qwyte50no1M,2023-02-21,-0.9973160624504088,1809.0,TV9,206.0,10.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,1,1,0,0,0,0,0,0,0,0,0
TMRdDYZK8gQ,2023-02-26,0.9973471164703368,1231.0,TV9,334.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,0,0,0,0,0,0,0,0
Ba_7899t8w4,2023-02-26,-0.99745911359787,413.0,TV9,290.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,1,0,1
CjZs1_OQS88,2023-02-26,0.9870812296867372,488.0,TV9,300.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,1,0,1,0,0,1,0,0
o8hy8qGvFms,2023-02-27,0.9944117665290833,1222.0,TV9,340.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
rIs4sfO01Tk,2023-03-01,-0.9986577033996582,6992.0,ABN,95.0,10.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,1,0,0,0,0,0
_1RwPDoTxqk,2023-03-02,0.9982026815414428,578.0,TV5,150.0,2.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
7FLtjK8Sd8g,2023-03-04,-0.9988383650779724,1024.0,TV9,217.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,1,0,0,0,0,0,1,0
CZZmYfuitOY,2023-03-07,-0.999106466770172,7842.0,TV5,230.0,26.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,1,1,0,0,0,1,0,0,1,0,0
l6W1GxFXXM4,2023-03-08,-0.997327208518982,2616.0,TV9,356.0,3.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,0,0,0,1,1,1,0,1
SSIdI2Ulp-w,2023-03-08,-0.9784784317016602,17907.0,ABN,350.0,34.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
KsPQ-1Xd2T8,2023-03-13,0.9985105395317078,1299.0,TV5,245.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
25-K1ajStl4,2023-03-14,0.996991753578186,2212.0,TV9,119.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,1,0
sMmKsSFDCc4,2023-03-15,-0.999064028263092,5974.0,ABN,175.0,4.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,1,0,0,0,0,0
rCtRyHEqB6k,2023-03-16,-0.9994773268699646,506.0,ABN,303.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
sa3kdl9P40s,2023-03-19,-0.9982789754867554,873.0,TV9,111.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,1,1,1,0,0,0,1,0,0,0
UeMGRKglzws,2023-03-19,-0.9981903433799744,2225.0,TV9,174.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
EchJLG1l6WU,2023-03-21,-0.985960841178894,4461.0,ABN,225.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,1,0,0,0,0,0
Uit2xOUn_nI,2023-03-27,-0.997584104537964,544.0,TV9,265.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
WufM3GF6r78,2023-03-28,0.9983474016189576,1844.0,TV9,347.0,3.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
UxCDWUCYfgc,2023-04-02,-0.9727024435997008,3809.0,TV9,110.0,3.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,1,0,0,1,1,1,1,1,1,0
jpGqBp8YNnU,2023-04-02,-0.9912010431289672,7919.0,TV9,186.0,21.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,1,0,0,0,1,0,0
Mh0-HNxqSnQ,2023-04-02,-0.9956165552139282,15098.0,TV9,246.0,50.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,1,0,0,0,1,0,0
rLGCRRhwXkU,2023-04-02,-0.9492093324661256,85627.0,TV9,296.0,173.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,1,1,0,1,1,1,1,1,1,1,1
Yum-US-aTLM,2023-04-02,0.971515953540802,21397.0,TV9,264.0,108.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,1,0,0,0,0,1,1,0,0,0
nEcIa6b7ZkM,2023-04-06,-0.9987301230430604,4367.0,ABN,145.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,0,0,0,0,0,0,0,0
U8z-QSq1VI8,2023-04-17,-0.996616542339325,9232.0,TV5,270.0,12.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,1,0,0,0,1,0,0,0,0,0
6AjYo6fyPfU,2023-04-17,-0.99877268075943,976.0,ABN,75.0,3.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,0,0,0,0,0,0,0,0,1,0,0
52gH9PDanys,2023-04-17,0.9976778626441956,9237.0,TV5,220.0,6.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,0,1,0,0,0,1,0,1,1,0,1
