ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,janasena party,Ramoji Rao,ap employees,ap assembly session today,jr ntr,gorantla ,alliance,polavaram,visakha,byreddy siddharth reddy,bonda uma ,Kakani,kotamreddy ,roja,nellore ,Machilipatnam,srikakulam,yuvashakti,tadepalli,vangaveeti radha,suprem court,perni nani ,ap development,tadipatri,janasena alliance with tdp,gudivada ,Kodali Nani ,varahi ,kodi kathi,nandigama
qBF7udoYGdM,2021-12-20,0.9985700845718384,1811.0,Sakshi,264.0,2.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
6KtH3pWwa1Y,2021-12-20,-0.9975814819335938,51940.0,Sakshi,205.0,207.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
zm2jgAcaHG4,2021-12-20,0.9917919635772704,1183.0,Sakshi,295.0,7.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PygkRhw0H50,2021-12-20,-0.9985210299491882,12119.0,Sakshi,164.0,19.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kNAEU0sTZUU,2021-12-20,-0.9975962042808532,14893.0,Sakshi,123.0,50.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
JM3DHgsorW4,2021-12-21,0.9985331296920776,16051.0,Sakshi,544.0,32.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
EKu46OOAvxg,2021-12-21,-0.9994838237762452,47085.0,Sakshi,232.0,121.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
14aIiTA02SU,2021-12-22,-0.9994831085205078,35286.0,Sakshi,225.0,90.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
iWLFOM6chBw,2021-12-28,0.9955874681472778,31897.0,Sakshi,286.0,14.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1AGfUrL05yM,2021-12-28,0.9921299815177916,6064.0,Sakshi,87.0,27.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
