ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,ap assembly session today,yuvashakti,tadepalli,Buggana Rajendranath,suprem court,ap development,tadipatri
3gMyPf1Hrzc,2022-03-14,-0.998895227909088,27256.0,Sakshi,131.0,43.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MGx5YvRUOMk,2022-03-15,-0.9993267059326172,44606.0,Sakshi,236.0,40.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1
x-YFC6rUpCo,2022-03-16,0.9986181259155272,253269.0,Sakshi,191.0,261.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0
0bvC8mGipDY,2022-03-21,0.9935871362686156,3419.0,Sakshi,510.0,6.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
hDMQYj-rLUU,2022-03-21,-0.9925495386123656,18420.0,Sakshi,286.0,45.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0
XTme3-fqMT4,2022-03-26,0.9983318448066713,7011.0,Sakshi,243.0,7.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
E7yZCu_hIJ8,2022-04-19,0.9896586537361144,110186.0,Sakshi,196.0,19.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0
8njhU033y2s,2022-06-26,0.9946675300598145,5131.0,Sakshi,377.0,3.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
v7cAtkRIYz8,2022-09-12,-0.9985918402671814,2962.0,TV5,315.0,3.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NkPmzRUo-QY,2022-09-15,0.998396933078766,83950.0,TV5,376.0,141.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HWGHQ__f190,2022-09-15,-0.9978548884391784,2480.0,TV5,282.0,1.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0
Umx5uAxx89M,2022-09-15,-0.9748426675796508,277692.0,TV5,488.0,440.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QQM-RpZHhLA,2022-09-16,-0.9985089898109436,2537.0,Sakshi,214.0,2.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
dQFtYpYDab4,2022-09-16,-0.9994731545448304,2254.0,Sakshi,370.0,1.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1
EbVgpXGmPgE,2022-09-16,-0.9849157333374025,3462.0,TV5,335.0,5.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Cj0KwUA7rhs,2022-09-21,0.995866060256958,1252.0,Sakshi,170.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
LJ747RFIzVg,2022-10-08,-0.9971289038658142,3700.0,Sakshi,514.0,5.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
TBeE9koItzk,2022-10-15,-0.9980711340904236,1616.0,TV5,330.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
_-JutxfHQSU,2022-10-22,0.9929447770118712,70952.0,TV5,594.0,89.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
J1VrznoHGgM,2022-10-28,0.998842179775238,7588.0,Sakshi,206.0,31.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0
yGOcNRu6Y44,2022-11-02,-0.9768831729888916,1624.0,TV5,240.0,18.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
_iNKX1hMgDE,2022-11-17,-0.9976922273635864,552.0,TV9,72.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
0xN7h4rb8Ks,2022-11-17,-0.9984912872314452,18204.0,TV5,331.0,13.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0
pPcBC5qfI98,2022-11-18,0.9934364557266236,23979.0,Sakshi,484.0,39.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5pcUybcyfpc,2022-11-18,0.9941404461860656,15532.0,Sakshi,387.0,38.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AaAOtdpYPdg,2022-11-18,0.9951167106628418,4818.0,Sakshi,579.0,34.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
uBY6UBU9nq4,2022-11-18,0.9951403141021729,1499.0,TV9,164.0,3.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
ax4hw4jFej8,2022-11-18,-0.7927032113075256,3541.0,Sakshi,272.0,11.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
QJl9lbjSGUg,2022-11-18,-0.9973406195640564,1841.0,ABN,101.0,7.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
vCtV2q9zm4Y,2022-11-18,0.9861515164375304,72543.0,Sakshi,336.0,99.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
79WbYiMXrhM,2022-11-22,-0.9990992546081544,2025.0,ABN,241.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tTkSyEa24TU,2022-12-03,-0.9976945519447328,15066.0,Sakshi,515.0,43.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Vb34bFsO6J4,2022-12-05,0.8677747845649719,1719.0,TV9,194.0,6.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0
nh_zVsQe2Ok,2022-12-05,-0.9958893656730652,4326.0,TV9,189.0,10.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wdevNe4zG4M,2022-12-05,0.9952740669250488,6350.0,Sakshi,211.0,16.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0
9C5viotd95g,2022-12-05,0.997295081615448,696.0,TV9,458.0,2.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1YjlQjmhOMs,2022-12-05,0.9859468340873718,975.0,TV9,397.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f_9N6k_tnp4,2022-12-05,-0.999179184436798,6793.0,TV9,291.0,18.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
UYR8xg8sOWo,2022-12-09,0.99020653963089,2257.0,TV9,356.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
FsxmFg-hZw0,2022-12-21,0.99885356426239,1917.0,TV9,205.0,2.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
kPxedgkagD4,2023-01-06,-0.9927577972412108,166164.0,TV5,485.0,117.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uRwQ-yJ0qUY,2023-01-18,-0.9897673726081848,2602.0,TV5,350.0,1.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
-YrZxzNfWeY,2023-02-01,-0.991795003414154,626.0,TV9,290.0,1.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1Rms7zn2pzA,2023-02-01,0.9979962706565856,2090.0,TV9,199.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8cs89l5inl4,2023-02-01,0.9830046892166138,1255.0,TV9,338.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ic5Ut0P7yu4,2023-02-01,0.9987016916275024,2374.0,ABN,342.0,4.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6Ye3NQXcOD4,2023-02-01,-0.990561068058014,769.0,TV9,269.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pEQbyLL3hpI,2023-02-01,0.9978225231170654,587.0,TV9,260.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0OMiANOknMI,2023-02-01,-0.9872955679893494,1954.0,TV9,107.0,1.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rK8_E-t_uvM,2023-02-01,-0.996256709098816,308.0,TV9,261.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73axQhWfy0k,2023-02-02,-0.9799005389213562,7232.0,TV5,200.0,24.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UNh1uY6PxhY,2023-02-14,-0.9981983304023744,461.0,ABN,80.0,1.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c7FBfDUeOYk,2023-02-14,-0.9929589033126832,2386.0,ABN,287.0,23.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1
cN9BjRpvRSU,2023-02-15,-0.9907904863357544,5678.0,TV9,195.0,11.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
mdb-ptFiz9U,2023-02-15,-0.9896475672721864,20469.0,TV9,370.0,60.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0qQRrTiKDD4,2023-02-15,-0.9989593029022216,3539.0,TV5,209.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
AigvBYa3nXU,2023-02-15,-0.9930700659751892,7132.0,TV9,271.0,13.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D54Fa5Bkbw,2023-02-15,-0.9973216652870178,81570.0,TV5,508.0,137.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SI-yUvi5LL8,2023-02-15,0.9884257316589355,11173.0,TV9,204.0,30.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embiIKRbFwY,2023-02-15,-0.9994843006134032,12949.0,TV9,386.0,29.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
MCwz5XP-vvw,2023-02-16,0.9901130199432372,3102.0,TV9,168.0,6.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0FKrTLKBZ14,2023-02-18,-0.9974737763404846,2560.0,TV5,63.0,21.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1
7LMS7oYjGcs,2023-03-02,0.9979590177536012,948.0,TV9,273.0,2.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
3z5-TJdPkCc,2023-03-03,0.9966604709625244,1488.0,TV9,275.0,2.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0
5fs16tLTn14,2023-03-03,0.9980814456939696,8269.0,TV9,218.0,22.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
_eQKvbdMDu4,2023-03-03,0.9945710301399232,3393.0,Sakshi,280.0,8.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1
-VLSTmA_rac,2023-03-03,0.9981060028076172,4443.0,TV9,338.0,12.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
4VCcvi8iFrM,2023-03-03,0.9972668886184692,1630.0,TV9,296.0,4.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1
8kper4ydNLA,2023-03-04,0.9972801208496094,3309.0,Sakshi,300.0,8.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1
41s53wlnaOk,2023-03-15,-0.9994720816612244,3741.0,TV9,184.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MY8OJ-o-NGQ,2023-03-16,0.997369647026062,3494.0,ABN,257.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0
Y4JBJgUnsA0,2023-03-16,0.9964689016342164,1419.0,TV9,344.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
t9g03F7HWmI,2023-03-16,0.9961264729499816,1460.0,TV9,310.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
xGRJ3nuhJtU,2023-03-16,0.9910908937454224,1054.0,TV9,358.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
XINjXwtgWms,2023-03-16,0.9955962300300598,977.0,TV9,344.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
vcGEd9Xk-KY,2023-03-16,0.9981233477592468,2170.0,TV9,294.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0
h6QB8ED4LJM,2023-03-16,0.9979028701782228,1907.0,TV9,259.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1
D6oMsoGzgH8,2023-03-16,0.9943637847900392,1446.0,TV9,349.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
gktH7E87RPs,2023-03-16,0.9988046884536744,2073.0,TV9,287.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
3Uz6MY_ANRA,2023-03-16,-0.9921861886978148,26908.0,Sakshi,190.0,29.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
YwdRbJGwBFs,2023-03-17,-0.9946698546409608,954.0,TV9,252.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
4zANU9MwLHY,2023-03-17,-0.9988127946853638,1053.0,TV9,259.0,2.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cChqtwHjWFk,2023-03-17,-0.9942179918289183,593.0,TV9,266.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
Jx_HfQ9vrTo,2023-03-17,0.99044668674469,565.0,TV9,270.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1
K2ro0rZ3j0I,2023-03-17,-0.9791455268859864,463.0,TV9,268.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
yMoB3b8-BlI,2023-03-17,-0.9993093013763428,1976.0,ABN,305.0,3.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
HXDntY7k_uE,2023-03-17,0.9962576627731324,721.0,TV9,275.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9hvv3nJAVns,2023-03-17,-0.998379111289978,641.0,TV9,255.0,3.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
IOP-fqRCoFE,2023-03-17,-0.999398946762085,3731.0,Sakshi,195.0,6.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
Mn1N9suqbDU,2023-03-17,-0.9768287539482116,563.0,TV9,286.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
2f0c4ffIqNU,2023-03-17,0.998829424381256,994.0,TV9,264.0,1.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0
rlys8NgZ8l4,2023-03-19,-0.9989042282104492,1418.0,TV9,358.0,1.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
w0KLckBqlcU,2023-03-19,-0.9957807064056396,1616.0,TV9,114.0,1.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
9OGW18adufg,2023-03-19,-0.982070803642273,3360.0,TV9,357.0,2.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
eHosH1cVKrg,2023-03-19,-0.9980981945991516,2314.0,TV9,201.0,3.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0
A9gqMGJgDUA,2023-03-24,-0.997933030128479,477.0,TV9,264.0,0.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
JM0IKQdR30k,2023-04-18,0.9953802824020386,1367.0,Sakshi,252.0,4.0,dhone.png,Buggana Rajendranath,YSRCP,Dhone,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
