ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Gadapa Gadapaku ,janasena party,ap employees,Sajjala ,ap assembly session today,high court,alliance,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,Pension,vangaveeti radha,suprem court,tdp leaders arrest,ap development,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,Kodali Nani ,maa nammakam nuvve jagan,nandigama,High Court
rwTRK8IThuA,2022-07-02,-0.9987717270851136,39360.0,Sakshi,411.0,109.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
PGbCQKufju4,2022-07-02,0.998387098312378,38462.0,Sakshi,549.0,141.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
p_P2h-SQEi0,2022-07-02,-0.9956746697425842,79695.0,Sakshi,444.0,216.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
Z2oPQU4V_aM,2022-07-08,0.9971038699150084,50831.0,Sakshi,491.0,81.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yat8O7l8OPQ,2022-07-09,-0.9882149696350098,1387.0,Sakshi,271.0,0.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
hgc08wEmlTM,2022-07-09,-0.9925750494003296,7750.0,Sakshi,262.0,15.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
-octT4Nq0CI,2022-07-10,0.9963080883026124,1163.0,Sakshi,417.0,1.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U7T56kYgryY,2022-07-10,0.99775367975235,14970.0,Sakshi,273.0,29.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PvrCmtIacgE,2022-07-14,0.997904896736145,2863.0,Sakshi,582.0,4.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
P8_OntL5PIs,2022-07-16,-0.9448382258415222,18697.0,Sakshi,150.0,39.0,bhimavaram.png,Grandhi Srinivas,YSRCP,Bhimavaram,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
