ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,tdp pattabhi,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha,vijayasai reddy,roja,nellore ,srikakulam,yuvashakti,tadepalli,Pension,vangaveeti radha,suprem court,ap development,tadipatri,varahi ,nellore mekapati,nandigama
FmMmfSc8KE4,2022-05-10,-0.9993543028831482,204810.0,Sakshi,235.0,494.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pv5Q-9rByy4,2022-05-12,0.9970433115959167,14835.0,Sakshi,263.0,47.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
e_9I8QA2qr8,2022-05-28,-0.990443766117096,191150.0,Sakshi,245.0,316.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Y0r4nTqUpNs,2022-05-28,0.9838395714759828,38917.0,Sakshi,472.0,65.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JBFr9xrIlHU,2022-05-28,0.9981574416160583,6501.0,Sakshi,369.0,19.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-CUyWTCKGMw,2022-05-31,0.9852504730224608,12255.0,Sakshi,317.0,24.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KWjZhikTPW0,2022-06-08,0.9945527911186218,14909.0,Sakshi,209.0,30.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SjsgmKmUomE,2022-06-08,0.9966617822647096,16423.0,Sakshi,359.0,26.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a17MdLsJ10Q,2022-06-15,-0.995246946811676,8415.0,Sakshi,224.0,68.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KyFBYvyHUPw,2022-06-22,-0.9992135763168336,26035.0,Sakshi,188.0,87.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
OxbcCqQPKg0,2022-06-24,0.9950189590454102,390808.0,Sakshi,459.0,423.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ8RDtTNyFA,2022-06-26,-0.9941059350967408,2927.0,Sakshi,173.0,1.0,badvel.png,Dasari Sudha,YSRCP,Badvel_sc,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
