ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,janasena party,ap assembly session today,alliance,byreddy siddharth reddy,kotamreddy ,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Kodali Nani 
8sDv6U1nFGc,2022-11-01,0.998755931854248,365.0,TV5,280.0,1.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s50Btu5Ihis,2022-11-01,-0.9941465854644777,824.0,TV5,305.0,1.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ATSmXdKYm-8,2022-11-01,0.9976723790168762,544.0,TV5,265.0,0.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-DTLFhHcc5g,2022-11-01,0.9974756836891174,880.0,TV5,170.0,7.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9YTg2GEIYD4,2022-11-02,0.9985126852989196,1709.0,Sakshi,248.0,6.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
t7YiSzcFHso,2022-11-03,0.9807495474815368,1110.0,ABN,533.0,3.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i586PlIbk24,2022-11-05,0.9841938614845276,5446.0,Sakshi,438.0,77.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P8YE98UU-5Y,2022-11-06,0.9936142563819884,31436.0,TV5,565.0,88.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OxwmsMX3_Kg,2022-11-09,0.9987383484840392,910.0,Sakshi,255.0,5.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3aYK7qUa-A,2022-11-11,0.997295081615448,2002.0,Sakshi,341.0,6.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
