ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha
VNR7ap1M_1A,2022-05-29,0.9935950636863708,178213.0,Sakshi,312.0,367.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
EDG69ryHsWQ,2022-06-11,-0.9984424710273744,1426.0,Sakshi,243.0,6.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
GgnKmOcOvdQ,2022-06-11,-0.9989891648292542,26948.0,Sakshi,209.0,44.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
922Gv_VVLTg,2022-06-17,0.9985912442207336,104904.0,Sakshi,252.0,395.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
667KuuTkGlk,2022-06-18,-0.997666597366333,17130.0,Sakshi,203.0,48.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0lzYo41FfvA,2022-06-20,0.9940797090530396,43953.0,Sakshi,322.0,61.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6lAjS1Xpp60,2022-06-22,0.9984228610992432,112944.0,Sakshi,141.0,133.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
GQ8FuAP70RQ,2022-06-22,0.998396933078766,20686.0,Sakshi,214.0,66.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0bsUZQL3k-A,2022-06-25,-0.998040735721588,273483.0,Sakshi,342.0,752.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
mZRV_Gypd1A,2022-06-25,0.9959755539894104,201540.0,Sakshi,172.0,462.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cudcww-L_A4,2022-06-27,-0.9901081323623656,1701.0,Sakshi,259.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
u1RkHYXS4qA,2022-06-29,0.9894040822982788,989.0,Sakshi,510.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0OXzgJm_AMM,2022-07-01,0.9953733086586,1681.0,Sakshi,584.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
r_6-IhUHcgA,2022-07-01,0.997876524925232,13686.0,Sakshi,275.0,31.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
n3iAo6Zrlq8,2022-07-08,-0.9944055080413818,8146.0,Sakshi,202.0,16.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7D3jMimxaT0,2022-07-21,-0.9924351572990416,2192.0,Sakshi,525.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AWjUhKuGXi8,2022-07-23,-0.996475875377655,4473.0,Sakshi,296.0,13.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
