ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap assembly session today,alliance,kotamreddy ,nellore ,yuvashakti,tadepalli,suprem court,ap development,balineni srinivasa reddy,tadipatri
HG-DjVM4hrs,2023-02-04,0.9980136156082152,65002.0,Sakshi,185.0,85.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0
ZzHEV3lI3U4,2023-02-05,-0.98616760969162,264.0,TV9,272.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9W5yJkva1_A,2023-02-05,-0.995458960533142,488.0,TV9,517.0,4.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kc3hn5Zeyi0,2023-02-05,-0.9981940388679504,1371.0,TV5,280.0,4.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xt7PJ49Hhic,2023-02-05,0.9877279996871948,1032.0,TV9,182.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eN2AJcaQhjA,2023-02-05,-0.986954629421234,378.0,TV9,396.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tf5dwobm6aM,2023-02-06,0.9426531195640564,19272.0,TV9,255.0,24.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6Aaq6HMRQvg,2023-02-06,-0.9970486760139464,3803.0,TV5,450.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1
7BKEPNUNwgc,2023-02-06,0.9941366910934448,26436.0,TV9,345.0,44.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
09OXf7xGAA4,2023-02-07,-0.9917019009590148,5097.0,TV9,218.0,4.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7ehAxTqpewI,2023-02-07,0.9606114029884338,1637.0,TV9,275.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
li8WoDBEeDY,2023-02-07,-0.9983482360839844,1243.0,ABN,337.0,4.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0
a7CUf-oXnDI,2023-02-07,0.984172821044922,2321.0,TV9,365.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
WOMhHeeNeX4,2023-02-07,-0.993265986442566,3520.0,Sakshi,335.0,6.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
a2zbxOQ6vtM,2023-02-07,0.9987284541130066,15294.0,Sakshi,243.0,15.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
ddgx9RLTWYs,2023-02-07,0.9988090991973876,1126.0,ABN,174.0,7.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tEHeTp25EZ0,2023-02-09,-0.994179368019104,1270.0,TV9,267.0,2.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pCxGLral7uE,2023-02-13,-0.9272761344909668,190.0,TV9,260.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a6aoOx8yVZs,2023-02-13,0.9984341263771056,289.0,TV9,263.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ue11QwMvLbQ,2023-02-13,-0.995194137096405,143.0,TV9,252.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QTqK2qEgqp4,2023-02-15,0.990805685520172,1112.0,ABN,422.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kuTt7TA3gAI,2023-02-17,0.9799137115478516,776.0,ABN,235.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AeyC1n726TQ,2023-02-23,-0.9973326921463012,4236.0,ABN,320.0,6.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
s1kc94kHsOA,2023-02-23,-0.9905953407287598,1061.0,TV9,283.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5ozRGXmkqIY,2023-02-23,-0.9665690064430236,3185.0,TV9,324.0,12.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
hdRpgGkdwGU,2023-02-23,-0.9959120750427246,4357.0,TV9,308.0,9.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9GjqgL7pHJw,2023-02-23,0.992973566055298,1040.0,TV9,239.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uwbFEFytObk,2023-02-23,-0.9656469821929932,3141.0,TV9,287.0,16.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ybIGRdQwyfk,2023-02-23,-0.9970898032188416,15172.0,TV9,313.0,54.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
TeNWKl1Iaws,2023-02-23,-0.9986525177955629,545.0,TV9,318.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ppimdLcrGi4,2023-02-23,-0.998806357383728,830.0,TV9,319.0,5.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
07ulq-5x_gc,2023-02-23,-0.9974077343940736,559.0,TV9,273.0,2.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7t_BUusvaCA,2023-02-23,-0.999195396900177,2076.0,ABN,245.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FtjIAGBe12A,2023-02-23,0.9968444108963012,2653.0,TV9,327.0,2.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F2jSkKaS8E4,2023-02-23,-0.9926748871803284,1509.0,TV9,315.0,6.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
mcSRqbfIjwk,2023-02-23,-0.9935158491134644,2828.0,TV9,302.0,14.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
L0EG6AocypI,2023-02-23,-0.99909245967865,1226.0,TV9,310.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
5RPceBXMzHo,2023-02-23,-0.9992194175720216,1100.0,TV9,332.0,5.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
0csFpsmeyLc,2023-02-23,-0.9964812994003296,3599.0,ABN,210.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fSw52sM8bno,2023-02-23,-0.9978690147399902,942.0,TV9,327.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
o2MJdp66JKI,2023-02-23,-0.9989200830459596,9531.0,ABN,170.0,7.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dJgVvxhmkrc,2023-02-23,-0.9966489672660828,739.0,ABN,200.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1
ZNUzICqde1Y,2023-02-23,-0.994802951812744,684.0,ABN,225.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
bnmJteo3BrQ,2023-02-26,-0.9928178787231444,1596.0,TV9,110.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
wvQDtrlNiSQ,2023-02-26,-0.9975480437278748,8391.0,TV9,54.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
byuCr8PJry0,2023-02-26,0.9971590042114258,1539.0,TV9,316.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
