ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,ap assembly session today,alliance,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
pCxGLral7uE,2023-02-13,-0.9272761344909668,190.0,TV9,260.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ue11QwMvLbQ,2023-02-13,-0.995194137096405,143.0,TV9,252.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s-nwcmPNWOw,2023-02-13,-0.9986293315887452,312.0,TV9,259.0,1.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
xoEgUQOjqig,2023-02-13,0.997094988822937,426.0,TV9,252.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tKoov2F97tQ,2023-02-13,-0.979710340499878,1181.0,TV5,190.0,2.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2TJ_7LzZos4,2023-02-16,-0.986221730709076,4709.0,TV9,258.0,6.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uTXjVZigrzY,2023-02-16,-0.998483955860138,18686.0,TV9,179.0,25.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03WOEaVJWbE,2023-02-16,0.9982262253761292,744.0,TV9,264.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cMqF8XJ4200,2023-02-19,-0.9883606433868408,1729.0,TV9,361.0,11.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AfJO1czhQzs,2023-02-24,-0.9802414178848268,8558.0,Sakshi,192.0,98.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
XYCp-Dikiok,2023-02-24,-0.9979469180107116,1442.0,Sakshi,80.0,6.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0
8eDxYrC2IZE,2023-03-02,0.9964244961738586,146032.0,Sakshi,221.0,259.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
xPeOB3reMuY,2023-03-11,-0.9983766078948976,772.0,TV5,113.0,0.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
_qcTi_HRFv4,2023-03-17,0.9983118772506714,1443.0,Sakshi,313.0,6.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0
IxKe9la-87U,2023-03-17,0.998814582824707,1223.0,Sakshi,299.0,2.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
fOnSJFT0JU4,2023-03-18,0.9964169263839722,1511.0,TV9,266.0,6.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
HYByDrF9f00,2023-04-08,-0.9985456466674804,480.0,TV9,272.0,1.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
h1gZHjULepQ,2023-04-10,0.9974563717842102,1844.0,TV5,346.0,2.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
vXa4jsyTdpU,2023-04-16,0.9831767082214355,4550.0,TV9,308.0,9.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
xFNOLWHxnCA,2023-04-18,0.9964669942855836,46924.0,TV5,355.0,85.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qhOTcUej0K8,2023-04-20,-0.999431312084198,485.0,TV9,245.0,6.0,kamalapuram.png,Pochimareddy Ravindranath Reddy,YSRCP,Kamalapuram,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1
