ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Kuppam,janasena party,tdp pattabhi,ap employees,Vidadala Rajini,ap assembly session today,Atchannaidu,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy, vidadala ,vijayasai reddy,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,vangaveeti radha,suprem court,ap development,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,gudivada ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
hJDNyx6k2sc,2022-01-12,0.9978193044662476,17093.0,Sakshi,232.0,27.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YV5rr876ZdI,2022-01-28,0.9927310347557068,30295.0,Sakshi,591.0,47.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q70_tsWn7Oo,2022-01-28,0.9888986945152284,76634.0,Sakshi,387.0,100.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HgR38yGQdRE,2022-01-29,0.9947457313537598,13529.0,Sakshi,201.0,26.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lBxcK47EUAE,2022-02-03,0.9958220720291138,5355.0,Sakshi,498.0,36.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jtkXhAuxUJA,2022-02-03,-0.9971006512641908,14388.0,Sakshi,494.0,137.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hSS2tUaku4Q,2022-02-17,0.9932726621627808,70806.0,Sakshi,379.0,27.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VbOXvJAyZOI,2022-02-24,-0.9775960445404052,2800.0,Sakshi,179.0,12.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
R6XYG6b9KKY,2022-03-09,0.9979215264320374,1340.0,Sakshi,428.0,2.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUfdbM1qJek,2022-03-10,-0.9975997805595398,78995.0,Sakshi,260.0,229.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
