ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,Ramoji Rao,ap employees,Vidadala Rajini,ap assembly session today,jr ntr,Atchannaidu,high court,alliance,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy
NJKe8tVl-w8,2022-04-18,0.9916988611221312,27811.0,Sakshi,582.0,25.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E7yZCu_hIJ8,2022-04-19,0.9896586537361144,110186.0,Sakshi,196.0,19.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mQ1qm_dNe3E,2022-04-20,0.9973451495170592,18794.0,Sakshi,255.0,20.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e7M7Tp9NH3I,2022-04-22,-0.998412013053894,37391.0,Sakshi,106.0,108.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wnvTA5tRw4o,2022-04-22,0.995287299156189,131189.0,Sakshi,262.0,100.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
x_sReyBko0A,2022-05-05,0.9983772039413452,7993.0,Sakshi,101.0,20.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eCQXIdDCB0c,2022-05-07,0.9926007390022278,8446.0,Sakshi,514.0,7.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZbE5pV1DAqE,2022-05-07,0.9912469983100892,75037.0,Sakshi,223.0,49.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHpYsMza30w,2022-05-09,0.9925011992454528,31734.0,Sakshi,397.0,106.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ha7U-DTHTi8,2022-05-11,0.9967942833900452,2926.0,Sakshi,213.0,3.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xy6gktoWvvQ,2022-05-11,-0.9961392283439636,31399.0,Sakshi,244.0,139.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pv5Q-9rByy4,2022-05-12,0.9970433115959167,14835.0,Sakshi,263.0,47.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3l6f1pV6_5o,2022-05-14,0.9983406066894532,19364.0,Sakshi,313.0,15.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9PP5-R9nspA,2022-05-17,0.9920907020568848,23792.0,Sakshi,136.0,190.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
BNAvXK2YbA4,2022-05-19,0.9986870884895324,501423.0,Sakshi,358.0,818.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fGtRCrJ-DHk,2022-05-20,0.9953320622444152,9348.0,Sakshi,171.0,24.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inZFNu1JZuA,2022-05-21,0.9986411929130554,189508.0,Sakshi,453.0,117.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JmUYoAEkkq4,2022-05-23,-0.9961962699890136,10725.0,Sakshi,144.0,63.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VjVkcPqazhw,2022-05-24,-0.9958863854408264,19284.0,Sakshi,159.0,104.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAZ9DsnS3vk,2022-05-25,-0.9949927926063538,12860.0,Sakshi,319.0,71.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pNcHpCQwJi4,2022-05-25,-0.8726634383201599,15964.0,Sakshi,185.0,77.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U28xUpYJn2Y,2022-05-27,-0.9981923699378968,10922.0,Sakshi,255.0,13.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNR7ap1M_1A,2022-05-29,0.9935950636863708,178213.0,Sakshi,312.0,367.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gpZAz6TmU3k,2022-06-02,-0.9951046705245972,83358.0,Sakshi,251.0,148.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z-lJCND4pyU,2022-06-02,-0.9993448853492736,44797.0,Sakshi,196.0,39.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IZHYOnBMc4c,2022-06-02,-0.9993590712547302,24530.0,Sakshi,194.0,22.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pZ1J8srKMWw,2022-06-02,-0.9962478280067444,90857.0,Sakshi,493.0,108.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MeVGqeaHrW8,2022-06-02,-0.9980744123458862,37675.0,Sakshi,166.0,17.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eGFpyw0f2z4,2022-06-03,-0.9987834095954896,287347.0,Sakshi,183.0,294.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVYHnTJRwTk,2022-06-07,0.995080828666687,125985.0,Sakshi,265.0,260.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IdXIC55F3pc,2022-06-08,0.9987260699272156,11776.0,Sakshi,304.0,41.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SjsgmKmUomE,2022-06-08,0.9966617822647096,16423.0,Sakshi,359.0,26.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7Ck9o2_kOc,2022-06-21,-0.9960914254188538,72044.0,Sakshi,304.0,505.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
X95Csly9UGA,2022-06-22,0.9948223829269408,188219.0,Sakshi,139.0,424.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vaOuy0mQmso,2022-06-22,-0.9933807849884032,395287.0,Sakshi,494.0,408.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8SK4W_aC7ZQ,2022-06-23,-0.9928100109100342,66636.0,Sakshi,95.0,72.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VhjWLuNK0_g,2022-06-24,0.997913897037506,150420.0,Sakshi,316.0,226.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fzxJpBaFqQU,2022-06-25,0.983339548110962,16053.0,Sakshi,179.0,72.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cudcww-L_A4,2022-06-27,-0.9901081323623656,1701.0,Sakshi,259.0,0.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
G1Fd4cF3hi0,2022-06-30,0.9864907264709472,5463.0,Sakshi,474.0,2.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
BIyFt3B9TlE,2022-07-07,0.9961491823196412,1162.0,Sakshi,237.0,0.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
y8xdtTGIIe4,2022-07-08,0.9981162548065186,77094.0,Sakshi,301.0,68.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pCisqwf9n6M,2022-07-10,0.9983918070793152,113276.0,Sakshi,342.0,115.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
wMfyks0dFuw,2022-07-18,0.9946030974388124,56437.0,Sakshi,574.0,22.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YrNVp2ZTgm0,2022-07-19,-0.9970073103904724,108252.0,Sakshi,534.0,155.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
iL_NEQgE9y8,2022-07-22,0.98457133769989,16279.0,Sakshi,527.0,25.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lNeYz0GjKEI,2022-07-22,-0.9815673232078552,15778.0,Sakshi,362.0,52.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8D5S75pWUpA,2022-07-26,0.9981127977371216,281026.0,Sakshi,521.0,418.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_u8cTTc39I,2022-07-26,0.9948791265487672,74427.0,Sakshi,178.0,148.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ZIz7LFLPqyU,2022-07-27,0.997948944568634,11523.0,Sakshi,248.0,15.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBsIVcdi9xo,2022-07-30,0.9985902905464172,9958.0,Sakshi,347.0,8.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wQkTdiO9lIU,2022-07-31,0.9966099858283995,2403.0,Sakshi,189.0,1.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UF3v-bmwluI,2022-07-31,0.9844666719436646,20496.0,Sakshi,232.0,46.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3V8VUJXR77o,2022-08-09,-0.9683364033699036,73440.0,Sakshi,389.0,106.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pJUrB65mBv8,2022-08-09,-0.9823679327964784,8215.0,Sakshi,251.0,18.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
juqA16uelZA,2022-08-11,0.9961750507354736,179786.0,Sakshi,115.0,101.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLd1YsORbcM,2022-08-15,0.9985107779502868,23023.0,Sakshi,318.0,3.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algzeHclM1E,2022-08-17,-0.9991350769996644,12078.0,Sakshi,279.0,14.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3FNH-DlVnBw,2022-08-17,0.9984827637672424,5199.0,Sakshi,317.0,19.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mSzdlTxrsP8,2022-08-17,0.9950459003448486,3927.0,Sakshi,506.0,6.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQLzhWR6jEg,2022-08-17,0.9974289536476136,3851.0,Sakshi,341.0,13.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ewrYJFYUgXE,2022-08-23,0.989032745361328,4208.0,TV5,449.0,4.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3pUDkyrXyS0,2022-08-24,-0.99213844537735,8141.0,TV5,169.0,25.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
