ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,tdp pattabhi,Ramoji Rao,ap employees,ap assembly session today,high court,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,vangaveeti radha,suprem court,ap development,tadipatri,janasena alliance with tdp,varahi ,nellore mekapati,nandigama,High Court
NkPmzRUo-QY,2022-09-15,0.998396933078766,83950.0,TV5,376.0,141.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5sWj7jxiWiI,2022-09-16,-0.9933890104293824,2350.0,TV5,422.0,0.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6zw-gcgwbwk,2022-09-16,0.8881784081459045,1233.0,Sakshi,577.0,1.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zbVWF4lXfAw,2022-09-19,-0.9978391528129578,1475.0,TV5,331.0,7.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0
ubKN44nzRro,2022-09-27,-0.9958125948905944,3167.0,TV5,89.0,4.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0
cmzKKi30R9g,2022-09-28,0.9941028952598572,1411.0,TV5,360.0,1.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nmz6o1nV9N8,2022-10-01,0.9921391606330872,7673.0,TV5,390.0,20.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WQ0Mb8BcZVc,2022-10-01,-0.981842041015625,8286.0,TV5,405.0,23.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_Cb3U2gDs8,2022-10-12,-0.9924666285514832,897.0,Sakshi,593.0,3.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K2FiSilqIDw,2022-10-16,-0.9988284707069396,765.0,ABN,195.0,1.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP0jLlk9-sI,2022-10-16,-0.9968253374099731,266.0,TV5,145.0,0.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
wgkqeU3MTH4,2022-10-16,-0.9994480013847352,2410.0,TV5,260.0,3.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
n12om6TkCus,2022-10-18,-0.9873513579368592,19814.0,ABN,577.0,29.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C-DfWVzzR6U,2022-10-18,-0.9974502921104432,636.0,ABN,405.0,1.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y3yLvdITQ-8,2022-10-18,0.9856500029563904,6213.0,ABN,450.0,10.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2osh2UUAJM,2022-10-19,-0.9901859760284424,1175.0,TV5,220.0,0.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZGmugWZGTAk,2022-10-21,-0.9934294819831848,2725.0,TV5,215.0,4.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
qpiis20UX2s,2022-10-21,-0.9987381100654602,1778.0,TV5,295.0,2.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
kutn61YME7Q,2022-10-23,-0.9974162578582764,931.0,TV5,456.0,1.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URMGi8Bx9X0,2022-10-23,0.9982670545578004,549.0,ABN,251.0,0.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
arhoW1owvBA,2022-10-26,0.9987626075744628,1055.0,TV5,518.0,1.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4loNEfsxNyY,2022-10-27,-0.998190701007843,5781.0,ABN,390.0,10.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z_VaUq30ALc,2022-10-27,-0.9833891987800598,8810.0,ABN,395.0,10.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8H2H-q5zUEs,2022-10-27,-0.9979211688041688,1504.0,TV5,545.0,5.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uTn0K3E-eXM,2022-10-27,-0.9982983469963074,1794.0,ABN,280.0,5.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
xpljGHR8O5g,2022-10-27,-0.998440682888031,2699.0,ABN,375.0,0.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rICldXReTDM,2022-10-28,-0.997745931148529,1370.0,TV5,240.0,0.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
b6xEF7dCPEk,2022-10-28,0.9934402108192444,9609.0,ABN,380.0,32.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAwdU86xiYc,2022-10-28,-0.9994575381278992,16744.0,ABN,360.0,38.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UBeQAfCo7Ig,2022-10-30,-0.9990209341049194,2482.0,TV5,290.0,7.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4nv4YVWOhzQ,2022-10-30,-0.9973624348640442,1068.0,TV5,105.0,6.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
plusvMbjeXs,2022-10-31,-0.9928269982337952,9544.0,ABN,530.0,25.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1PWo7DapKc4,2022-10-31,0.9812801480293274,11409.0,ABN,390.0,13.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
l8Dzm46ASs0,2022-10-31,-0.9967060685157776,2340.0,ABN,245.0,3.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1
YAlnVWgsCL4,2022-10-31,-0.9903784990310668,4123.0,ABN,290.0,9.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
gPv_UwPQQgE,2022-11-01,-0.9977256655693054,20026.0,ABN,414.0,13.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_Mv3-_6D0U,2022-11-01,-0.9982482194900512,2058.0,TV5,224.0,5.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
x2Fiz2bhZoc,2022-11-01,-0.9701017737388612,1834.0,ABN,437.0,1.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3NKdFMgnX6c,2022-11-01,-0.9994465708732604,7310.0,ABN,251.0,20.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m-Q_c2g3Koc,2022-11-01,0.9954065084457396,636.0,ABN,324.0,3.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
lL4swovL9S4,2022-11-01,0.9874302744865416,760.0,TV5,70.0,0.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vHxZU-SkUx8,2022-11-03,0.9677008986473083,11405.0,ABN,490.0,13.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_ShGR9wZd6s,2022-11-03,-0.9967568516731262,1872.0,ABN,295.0,0.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ylzqe_xQ2pY,2022-11-03,0.584186851978302,4345.0,ABN,285.0,5.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mk7pRvmN9VE,2022-11-04,-0.9994342923164368,722.0,ABN,195.0,5.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
_eyk7mq_1m4,2022-11-04,-0.9951933026313782,1228.0,TV5,529.0,2.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
pabcdgRnvA0,2022-11-05,-0.9982757568359376,3779.0,ABN,170.0,11.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pMi8_wYESFY,2022-11-05,-0.9990386962890624,2352.0,ABN,435.0,2.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yp-w33VJAOw,2022-11-05,-0.999154806137085,3180.0,ABN,390.0,2.0,rapka.png,SRI RAPAKA VARA PRASADA RAO,JSP,Razole_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
