ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Gadapa Gadapaku ,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,high court,alliance,Peddireddy ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy,bonda uma ,Kakani,vijayasai reddy,kotamreddy ,roja,nellore ,srikakulam,yuvashakti,tadepalli,ys vijayamma,Pension,vangaveeti radha,suprem court,tdp leaders arrest,ap development,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,janasena alliance with tdp,gudivada ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
9_a8wT8Y0Ug,2022-02-21,0.993937373161316,39860.0,Sakshi,131.0,6.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
yLeoXK_Bqes,2022-02-23,-0.9987910389900208,57885.0,Sakshi,285.0,250.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
-n84XSSeeJY,2022-03-12,0.998387336730957,2619.0,Sakshi,195.0,3.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9KaNLRK2AYg,2022-03-12,0.9986180067062378,4463.0,Sakshi,129.0,7.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
pIzeWxbL6mU,2022-03-15,0.9935815334320068,6281.0,Sakshi,407.0,9.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xeIg_dtZdTQ,2022-04-19,0.9969893097877502,65958.0,Sakshi,257.0,37.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
m8pdR7wM_7I,2022-04-23,0.9959718585014344,26221.0,Sakshi,357.0,97.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZV7vt_vQG3U,2022-04-23,-0.9960011839866638,19566.0,Sakshi,308.0,97.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
d5dz-5tRy4o,2022-04-23,-0.9959511756896972,9366.0,Sakshi,539.0,47.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7hz7OXpE0Hk,2022-04-26,-0.9622812867164612,35468.0,Sakshi,176.0,44.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ez-CbcZnDdc,2022-04-27,-0.9986442923545836,3705.0,Sakshi,122.0,3.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rqfeoOT3RbE,2022-04-30,0.9988534450531006,118905.0,Sakshi,185.0,139.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6amL362Q8Xg,2022-05-02,-0.988561749458313,5532.0,Sakshi,142.0,58.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHpYsMza30w,2022-05-09,0.9925011992454528,31734.0,Sakshi,397.0,106.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
s92MnsghBgM,2022-06-03,0.9982624650001526,19186.0,Sakshi,124.0,22.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1lgcgpoQCF8,2022-06-08,-0.9992039799690248,41877.0,Sakshi,155.0,90.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-V-CDnqoFfA,2022-06-10,-0.985909938812256,7585.0,Sakshi,282.0,35.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
oAj9Dul4lZA,2022-06-11,0.9913747906684875,16518.0,Sakshi,431.0,28.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XUyW7Gm_eRY,2022-06-17,-0.9982548356056212,12186.0,Sakshi,217.0,45.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
N7x4jSkPuO0,2022-06-17,-0.9938316345214844,5719.0,Sakshi,270.0,7.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
mTHZQ-ZUcXI,2022-06-18,0.9846674799919128,14698.0,Sakshi,125.0,129.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CZ8RDtTNyFA,2022-06-26,-0.9941059350967408,2927.0,Sakshi,173.0,1.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bRQnf4pNvD0,2022-06-26,0.9939881563186646,4595.0,Sakshi,288.0,4.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vtPNs-YpUxY,2022-06-30,-0.9970909357070924,2989.0,Sakshi,492.0,3.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
ON3vJ-OWwEc,2022-06-30,0.9958580136299132,2182.0,Sakshi,522.0,2.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7ZjMX1AcqE4,2022-07-09,0.996800661087036,3958.0,Sakshi,286.0,2.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
zfDdDnoE5u0,2022-07-21,-0.993239164352417,1274.0,Sakshi,589.0,2.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7D3jMimxaT0,2022-07-21,-0.9924351572990416,2192.0,Sakshi,525.0,3.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dABtdGKAYRQ,2022-07-21,0.9945202469825744,3816.0,Sakshi,538.0,6.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eZLCCCKnIJU,2022-07-27,-0.9967251420021056,210378.0,Sakshi,204.0,244.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wY6FC7klKS0,2022-07-27,-0.8801581859588623,25183.0,Sakshi,203.0,29.0,Narasannapeta.png,Dharmana Krishna Das,YSRCP,Narasannapeta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
