ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,Peddireddy ,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy
VUUpGJBzgTg,2022-02-02,-0.9956654906272888,10358.0,Sakshi,536.0,55.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
YbRdJLNAbLo,2022-02-11,-0.9984616041183472,24823.0,Sakshi,140.0,32.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oNf_kJ3pwBI,2022-02-11,-0.999460518360138,135253.0,Sakshi,111.0,239.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViSb9hUyWIo,2022-02-11,-0.998829185962677,131697.0,Sakshi,154.0,194.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goZCzc5PO1g,2022-02-11,0.9979158043861388,70668.0,Sakshi,376.0,117.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iJK4kAozKuI,2022-02-11,-0.9881636500358582,55335.0,Sakshi,313.0,169.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AskHOhb_1hE,2022-02-17,-0.9891558289527892,18163.0,Sakshi,250.0,19.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
V9dmoVop3Uk,2022-02-17,-0.9845387935638428,11110.0,Sakshi,299.0,28.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
5PttSiARrw0,2022-02-17,-0.760114848613739,108491.0,Sakshi,388.0,207.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w6NtAeG_1TI,2022-02-27,0.9948561191558838,185419.0,Sakshi,368.0,341.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1
1RP7FdfvcL4,2022-02-27,-0.9972050786018372,37866.0,Sakshi,308.0,133.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3_dLcz2--Gk,2022-02-27,-0.9982988238334656,110810.0,Sakshi,308.0,444.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YvxjjRskycE,2022-02-27,-0.9984779953956604,256150.0,Sakshi,235.0,713.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMGC8rmn1R0,2022-02-27,0.9961205124855042,10226.0,Sakshi,384.0,28.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
