ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,ayyanna patrudu ,suprem court,ap development,tadipatri
re1uGMyx-gI,2022-10-17,0.987096667289734,3081.0,TV5,354.0,18.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W-gEXqv2oQE,2022-10-20,-0.999190390110016,3846.0,Sakshi,279.0,6.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1
nIyUSRRjYrU,2022-10-28,0.984197199344635,1179.0,TV5,120.0,1.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
hdAj0n6omUA,2022-10-28,0.9944401979446412,1010.0,TV5,195.0,2.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1
YGK0mOZyjuY,2022-10-29,-0.998480498790741,731.0,TV5,249.0,2.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
lUDm6khj1ls,2022-10-29,0.975789189338684,955.0,TV5,394.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
y0urCWpR6sw,2022-10-30,-0.9986594915390016,513.0,TV5,338.0,1.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
80EoTnIVbT8,2022-10-31,-0.9029171466827391,2937.0,TV5,222.0,8.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
I1UpwAdd-fs,2022-11-03,-0.9993476271629332,1855.0,TV5,185.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0
tcHBXYbLatk,2022-11-05,-0.9983826875686646,3801.0,TV5,217.0,2.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
F6X0fc__w7w,2022-11-09,0.9980329871177672,8047.0,ABN,210.0,9.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CBboNlTTfhI,2022-11-11,0.9955606460571288,5030.0,Sakshi,460.0,10.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WMtNkK__Cjs,2022-11-12,-0.998868763446808,1146.0,TV5,550.0,2.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peo5ZrFaxsE,2022-11-21,-0.9980105757713318,15617.0,Sakshi,250.0,30.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5FwDp4pCJOw,2022-11-22,-0.999228835105896,1640.0,Sakshi,219.0,1.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w1RuNv2OvkU,2022-11-26,0.9903815388679504,650.0,ABN,475.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nH9cNpRKlVE,2022-11-26,0.9969165325164796,1757.0,ABN,235.0,1.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fkcP5LMeUHE,2022-11-28,-0.9936483502388,104766.0,Sakshi,536.0,239.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ks-FSf48vIE,2022-11-28,-0.9983283877372742,19562.0,TV5,239.0,15.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
n4qiG14hzVM,2022-11-30,-0.9958404898643494,10874.0,TV5,125.0,39.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hFkxFaoQurU,2022-11-30,-0.9939528107643129,6206.0,TV5,391.0,17.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPdHSw75G7U,2022-11-30,-0.9990853071212769,3701.0,ABN,165.0,8.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
gJbMk-Wh83o,2022-12-04,-0.993458926677704,32579.0,TV5,162.0,152.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
-iaRe2wPe2k,2022-12-05,-0.9910030364990234,74858.0,TV5,290.0,130.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4Q2HlaaLJ5k,2022-12-05,-0.9957178235054016,685.0,TV5,322.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
g91AgRI3t8k,2022-12-06,-0.9983697533607484,2981.0,ABN,219.0,8.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
o4SEMKJ0j0Y,2022-12-08,-0.9992040991783142,11914.0,TV5,305.0,13.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
