ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,polavaram,visakha
xArVeNxtxto,2022-07-19,0.974526345729828,64837.0,Sakshi,312.0,157.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
OgzUfU0lLnk,2022-07-19,-0.9979312419891356,49829.0,Sakshi,184.0,56.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Vn7an1jVEd4,2022-07-20,-0.9823549389839172,22845.0,Sakshi,218.0,136.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
BJ9E-IxbTL0,2022-07-29,-0.998641312122345,15815.0,Sakshi,230.0,23.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
KZXGIvPN8Uk,2022-08-07,-0.999293565750122,130032.0,Sakshi,84.0,472.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
RBRs7fPVje8,2022-08-15,0.9960737228393556,4615.0,Sakshi,542.0,8.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
XqV1OkDcdGA,2022-08-20,0.9982522130012512,11085.0,Sakshi,188.0,29.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
mOvWve5M4As,2022-09-02,0.9869092106819152,2856.0,Sakshi,302.0,20.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Abvdowohj80,2022-09-06,-0.9995056390762328,1905.0,TV5,522.0,5.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
la8KoN8dSzc,2022-09-10,-0.998658299446106,4589.0,Sakshi,230.0,6.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1
