ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,suprem court
h_llWrVfecs,2023-01-23,0.9843624830245972,1183.0,Sakshi,442.0,13.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,1,0,0,0,1,0
q-Y-PlwOgSE,2023-01-27,0.99690043926239,1368.0,TV9,282.0,9.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,0
U7g1OKNRWaw,2023-01-30,0.9857472777366638,485.0,TV5,203.0,0.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,0
ATD-XI1S2J0,2023-02-01,0.9795424938201904,628.0,TV5,193.0,0.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,0
zIsmd6BBgFk,2023-02-05,-0.992300510406494,10988.0,TV9,222.0,3.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,1,1,1,0,0,0,0,0
vEro-hDnPWE,2023-02-06,0.9758208990097046,2426.0,ABN,231.0,0.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,1,0,0,0,0
0HuAvz6ewLc,2023-02-09,-0.9957945346832277,8320.0,ABN,390.0,7.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,0
5yie0akyaTU,2023-02-13,0.9961180686950684,3103.0,Sakshi,555.0,4.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,1,0,0,0
1oAfSAxLzPU,2023-02-14,-0.9984424710273744,62355.0,TV5,358.0,30.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,1,0,1,0,0,0
zmCfUZyisgM,2023-02-16,0.9987659454345704,136195.0,Sakshi,516.0,197.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,1,0,1,1,0,0
58xCFZ-Qq0Q,2023-02-18,0.9856465458869934,208.0,TV9,178.0,0.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,0
EFMUO_T99J4,2023-02-18,-0.9978919625282288,972.0,TV9,148.0,1.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,0
HwyEuwLGy3U,2023-02-20,-0.9988883137702942,5504.0,ABN,575.0,7.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,0
K1YPUs1n69o,2023-02-20,0.9912765026092528,1738.0,TV9,300.0,3.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,1,0,0,0,0,0
G_moRk93iJw,2023-02-20,-0.9985530972480774,1207.0,ABN,370.0,1.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,0
4elFzBX15O8,2023-02-27,0.9986007809638976,362.0,TV5,139.0,0.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,1
TGEXOsIhAhI,2023-02-28,-0.99825781583786,15992.0,TV9,223.0,10.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,1,0,0,0,1,0
zJkLr6s5ASo,2023-03-13,0.9986056685447692,6555.0,Sakshi,323.0,8.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,0,1,1,0,1,0
XFrTeya4lh4,2023-03-18,-0.9994091987609864,67631.0,TV5,337.0,115.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,0,0,0,0,0,0
vWWezsbxpSE,2023-03-23,-0.998488426208496,8253.0,TV9,357.0,21.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,0,0,0,0,0,1
xc29RTNVB0I,2023-03-27,0.9979078769683838,1350.0,TV5,228.0,0.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,1,0,0,0,0
6zKX3qw61WM,2023-04-06,0.9898367524147034,840.0,TV9,177.0,2.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,1,1,1,1,0
