ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,AP ,suprem court
uWCZ1Oo8OME,2023-03-08,0.9896200299263,11694.0,Sakshi,166.0,32.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,1
cNUYfl1Nv54,2023-03-09,-0.9982337951660156,1352.0,TV9,98.0,0.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
wFtMcwL3jmA,2023-03-09,-0.990447759628296,1596.0,TV9,316.0,5.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,1,0
1-Zml63JxYw,2023-03-13,-0.9952127933502196,1294.0,TV9,265.0,7.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,0,1,0,0
Je5eh5zFnIs,2023-03-13,-0.9993854761123656,664.0,TV9,260.0,3.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,0,0,0,1
QlwPyTN89hE,2023-03-15,0.9882152080535888,1363.0,TV9,333.0,0.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
Ecw_ZVs7Z4o,2023-03-22,0.9986005425453186,934.0,TV9,323.0,1.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,1
2f65kDRAuxA,2023-03-28,-0.999447762966156,4162.0,TV9,323.0,8.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
FhkOHKwu3ZM,2023-04-01,0.9292277097702026,2901.0,ABN,345.0,3.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
ySQTZWEOSwg,2023-04-02,0.9966548681259156,949.0,TV5,282.0,1.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,1,1,0,0
t6C_g_Eqimg,2023-04-03,-0.9854425191879272,960.0,TV9,111.0,0.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,0,0,0,0
wWzknxbA7JI,2023-04-08,0.9890576004981996,2360.0,TV9,334.0,18.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,1
3Ju-tJYYG7w,2023-04-17,0.9987668991088868,394.0,TV9,291.0,1.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
CNihNBCyMEg,2023-04-18,-0.9994770884513856,1882.0,TV9,226.0,13.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
sCY__sMm1aM,2023-04-20,-0.9970344305038452,366.0,TV9,188.0,0.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,1,0
