ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Yellow Media,janasena party,ap employees,ap assembly session today,Atchannaidu,YSRCP Plenary,alliance,gudivada amarnath,polavaram,visakha,kotamreddy ,roja,nellore ,srikakulam,yuvashakti,tadepalli,investors summit,suprem court,ap development,tadipatri,gudivada ,Kodali Nani ,varahi ,maa nammakam nuvve jagan,nandigama
ZoQFb1qlTyo,2022-02-24,0.9891633987426758,3325.0,Sakshi,313.0,14.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
coyiJDWLgOs,2022-02-24,-0.9962663054466248,23528.0,Sakshi,101.0,108.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1joMqeuhOY0,2022-02-24,-0.9970380067825316,18512.0,Sakshi,72.0,44.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
MxehcF3FTn4,2022-02-24,-0.9985740184783936,4467.0,Sakshi,219.0,11.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0
VuETVS2tkVs,2022-02-27,0.993218958377838,107530.0,Sakshi,320.0,62.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMGC8rmn1R0,2022-02-27,0.9961205124855042,10226.0,Sakshi,384.0,28.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3_dLcz2--Gk,2022-02-27,-0.9982988238334656,110810.0,Sakshi,308.0,444.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ae_wInfCZpI,2022-02-28,-0.9993267059326172,16890.0,Sakshi,323.0,97.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
B32r_UzOwiU,2022-02-28,0.9954431056976318,18234.0,Sakshi,78.0,26.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sx87gbo6BtQ,2022-02-28,-0.9970747232437134,9429.0,Sakshi,339.0,33.0,ankapalle.png,Gudivada Amarnath,YSRCP,anakapalle,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
