ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,panchayat elections,Kuppam,janasena party,tdp pattabhi,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy, vidadala ,Kakani,vijayasai reddy,jogi ramesh ,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,ayyanna patrudu ,ys vijayamma,Pension,vangaveeti radha,suprem court,perni nani ,tdp leaders arrest,ap development,balineni srinivasa reddy,tadipatri,gudivada ,Kodali Nani ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
G6Rl5cQvz6s,2021-07-16,-0.9890576004981996,3120.0,Sakshi,220.0,10.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j4HUBbpw4lo,2021-07-16,-0.9987623691558838,5532.0,Sakshi,203.0,16.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1lNCTvW-2H4,2021-08-30,0.9952213168144226,725.0,Sakshi,223.0,3.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ_hC33MuJ4,2021-09-17,0.997885525226593,4250.0,Sakshi,198.0,14.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
BSsKHtEYRZ4,2021-10-23,-0.99656879901886,585.0,Sakshi,190.0,1.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y_YK1tVgmXk,2021-10-23,-0.9982340335845948,4332.0,Sakshi,121.0,18.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IzWnh96jswQ,2021-10-23,-0.9994718432426452,16110.0,Sakshi,142.0,37.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e7lkCK995VY,2021-10-23,-0.9823241233825684,1715.0,Sakshi,261.0,4.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
_9ICiGlI1K4,2021-10-23,-0.9950093030929564,2703.0,Sakshi,133.0,9.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
MDmVeQt5AFg,2021-10-23,-0.996278703212738,2551.0,Sakshi,221.0,11.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
qVSDfKKnOEk,2021-10-23,-0.9994718432426452,662.0,Sakshi,268.0,4.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2gyU8DeBWlk,2021-10-24,-0.9942805767059326,3431.0,Sakshi,195.0,9.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aHlwwWsvD3I,2021-10-25,-0.9459677934646606,958.0,Sakshi,331.0,3.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPAvMsdiiSU,2021-10-25,-0.9994662404060364,1046.0,Sakshi,280.0,2.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WaygrQhnY88,2021-10-26,-0.991607666015625,1342.0,Sakshi,334.0,5.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v06F6aq418I,2021-10-26,-0.9976769089698792,776.0,Sakshi,268.0,0.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
w6GMTT8-reY,2021-10-30,-0.9973674416542052,3294.0,Sakshi,248.0,15.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRslM7PfhAo,2021-11-10,0.986665427684784,1777.0,Sakshi,515.0,16.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWzm9-UiyL0,2021-11-10,0.6767442226409912,4232.0,Sakshi,331.0,6.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
YeRH56spw2I,2021-11-10,-0.9974443912506104,518.0,Sakshi,110.0,2.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9YnPTUDXNIY,2021-11-10,0.9922640323638916,91133.0,Sakshi,459.0,192.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5JOExwhy-1I,2021-11-10,-0.9913827776908876,1565.0,Sakshi,129.0,5.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LNLwOZW-eW4,2021-11-12,-0.9973318576812744,6998.0,Sakshi,161.0,33.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xlrKJh2FP90,2021-11-14,-0.99949049949646,3406.0,Sakshi,139.0,23.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UIvFUMyS57w,2021-11-15,-0.9967862367630004,2563.0,Sakshi,485.0,14.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hivtBAofdx4,2021-11-24,-0.9814797043800354,18592.0,Sakshi,209.0,51.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j5ZjA7HFTmk,2021-12-06,-0.9982132911682128,20951.0,Sakshi,559.0,60.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k-SJ8aJBX5Y,2021-12-11,-0.99797123670578,38282.0,Sakshi,386.0,121.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HlCoCPsBrms,2021-12-24,-0.998496413230896,35401.0,Sakshi,174.0,109.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tuQqqA8jfXU,2021-12-25,0.9906575679779052,42379.0,Sakshi,184.0,225.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
U5a64_naF_g,2021-12-29,0.9940137267112732,64647.0,Sakshi,192.0,170.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptNZ14TWh0k,2021-12-29,-0.9950548410415648,3907.0,Sakshi,254.0,13.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449nGu0cSnk,2021-12-31,0.9979569911956788,7604.0,Sakshi,99.0,6.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OXPkQnHM-Cc,2021-12-31,-0.9890216588974,14532.0,Sakshi,101.0,53.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nTu6rTwrKtA,2021-12-31,0.9963114857673644,1239.0,Sakshi,312.0,4.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZQhO5t5Nm-M,2022-01-03,0.9914013743400574,11734.0,Sakshi,379.0,41.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_Fj6e60ELc,2022-01-03,-0.9927668571472168,1535.0,Sakshi,214.0,2.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KSS7XUPhjjg,2022-01-03,0.9984830021858216,541.0,Sakshi,341.0,1.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
d2BTdlCDF8g,2022-01-03,-0.9984147548675536,5915.0,Sakshi,100.0,32.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Erj6dCAiyug,2022-01-05,-0.9990785121917723,7228.0,Sakshi,308.0,29.0,kaikuluru.png,Dulam Nageswara Rao,YSRCP,kaikaluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
