ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,Kuppam,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy
sOuXyA8SiF0,2023-01-31,-0.9901683330535888,26262.0,TV5,307.0,19.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
qJ11_oQWYiY,2023-01-31,0.984423577785492,2781.0,TV5,321.0,3.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
umyVCeJQLAs,2023-01-31,-0.989658772945404,3768.0,ABN,571.0,3.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
6CRHwj8uV-s,2023-01-31,0.9961243271827698,165828.0,TV9,243.0,103.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2LwHAMSl18U,2023-01-31,0.7729132175445557,3698.0,ABN,181.0,2.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
dvGo1EKGk8I,2023-01-31,-0.9963803887367249,6189.0,TV9,275.0,6.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZahIhkoUEvI,2023-02-01,0.993103802204132,11676.0,TV9,157.0,5.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eRqxsdwuxJs,2023-02-01,0.9796873331069946,70154.0,TV5,140.0,77.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
aO_FYq4Xkb0,2023-02-01,0.9957471489906312,2507.0,TV9,166.0,0.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2dDMBJ1Ac3U,2023-02-01,0.9922286868095398,3130.0,TV9,322.0,2.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2Em7J6X3YBI,2023-02-01,-0.9869192242622375,24642.0,TV9,390.0,42.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChrjI6cMrRI,2023-02-01,-0.9825040698051452,924.0,TV9,140.0,0.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btgYL6trOfM,2023-02-01,-0.997612714767456,2712.0,ABN,467.0,5.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Qnr1eMIIYac,2023-02-01,-0.9970695972442628,2596.0,ABN,233.0,2.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2MRkUUWTK6s,2023-02-01,0.9973176121711732,19253.0,TV9,333.0,46.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aUMUbJ6GmUg,2023-02-01,0.9791075587272644,2695.0,TV9,260.0,2.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LpGAsU5xiPU,2023-02-01,-0.9985063672065736,21178.0,TV5,215.0,33.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1oZz3eKXyXw,2023-02-01,-0.9991077780723572,3512.0,ABN,324.0,2.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RycuhS7PrwA,2023-02-01,0.982149064540863,4253.0,TV5,70.0,6.0,nellore_rural.png,Kotamreddy Sridhar Reddy,YSRCP,Nellore_Rural,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
