ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,janasena party,ap assembly session today,alliance,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
U4eXIpNg5ws,2022-08-24,-0.9355143308639526,2716.0,Sakshi,250.0,10.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
iZ6dz8PBDC0,2022-09-02,0.9900352358818054,1078.0,TV5,430.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BvpATYz3nbM,2022-09-02,-0.9992088675498962,2006.0,TV5,540.0,4.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vj_TR-NinC4,2022-09-03,-0.9983924031257628,1057.0,TV5,220.0,3.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
VvB1pKL9XiE,2022-09-08,0.9983481168746948,7032.0,Sakshi,139.0,5.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EVXrg2yiLXQ,2022-09-15,-0.9897720217704772,1591.0,Sakshi,218.0,2.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
eV8jKEwj2vc,2022-09-15,-0.9963030815124512,4865.0,TV5,180.0,6.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
6zw-gcgwbwk,2022-09-16,0.8881784081459045,1233.0,Sakshi,577.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dQFtYpYDab4,2022-09-16,-0.9994731545448304,2254.0,Sakshi,370.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1
w0uYxVWFBDE,2022-09-21,0.99653959274292,5337.0,TV5,239.0,27.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
