ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy,roja,nellore ,yuvashakti,tadepalli,ys vijayamma,Pension,suprem court,ap development,tadipatri,varahi ,maa nammakam nuvve jagan,nandigama
c8vaF4JDiA8,2022-03-12,0.9986255168914796,23593.0,Sakshi,101.0,56.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MhNoh8L8Z_w,2022-03-14,0.9962424039840698,17890.0,Sakshi,68.0,254.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k2A7KbI1OPs,2022-03-24,0.997162401676178,6843.0,Sakshi,301.0,6.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xRMjVhMIB9w,2022-04-05,0.9984637498855592,6038.0,Sakshi,301.0,7.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
EBUeb5BBEX8,2022-04-22,0.997743844985962,50607.0,Sakshi,91.0,78.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
e7M7Tp9NH3I,2022-04-22,-0.998412013053894,37391.0,Sakshi,106.0,108.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xx13CsuKLhc,2022-05-10,-0.9988635778427124,82972.0,Sakshi,312.0,282.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FmMmfSc8KE4,2022-05-10,-0.9993543028831482,204810.0,Sakshi,235.0,494.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3RTlKy7EaE,2022-05-10,-0.9991222023963928,156682.0,Sakshi,272.0,443.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pv5Q-9rByy4,2022-05-12,0.9970433115959167,14835.0,Sakshi,263.0,47.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5NkiBrnpTMc,2022-05-18,0.991796851158142,3471.0,Sakshi,135.0,17.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
inZFNu1JZuA,2022-05-21,0.9986411929130554,189508.0,Sakshi,453.0,117.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7Ck9o2_kOc,2022-06-21,-0.9960914254188538,72044.0,Sakshi,304.0,505.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cudcww-L_A4,2022-06-27,-0.9901081323623656,1701.0,Sakshi,259.0,0.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
BIyFt3B9TlE,2022-07-07,0.9961491823196412,1162.0,Sakshi,237.0,0.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1
sGdLl0z6W04,2022-07-07,0.9973887801170348,5419.0,Sakshi,287.0,4.0,prathipadu_.png,Mekathoti Sucharita,YSRCP,Prathipadu,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
