ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,yuvagalam,ap assembly session today,alliance,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
9NgQhWUNdVc,2022-12-25,0.9985529780387878,894.0,TV9,309.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RjpqeevEWhA,2023-01-01,0.9982183575630188,9994.0,Sakshi,519.0,17.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0yPF6UNWGNY,2023-01-01,0.9940849542617798,3781.0,Sakshi,450.0,13.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nEKw6iNibAQ,2023-01-06,-0.9987897276878356,2579.0,TV9,124.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8FMR4I75a6k,2023-01-06,-0.9826274514198304,16188.0,Sakshi,370.0,62.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TcRhABcCfGw,2023-01-07,-0.999350130558014,272.0,TV9,274.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
MjUKznUB7Uw,2023-01-10,-0.998596727848053,3036.0,TV9,270.0,8.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
DboFkV0VSlw,2023-01-17,0.9986273050308228,371.0,ABN,168.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hs3on2_ZOzk,2023-01-17,0.99617600440979,8382.0,Sakshi,425.0,4.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
WlmTQPSy3RA,2023-01-21,-0.998766303062439,4087.0,ABN,328.0,2.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OpCxDyb3qA0,2023-01-22,0.9979325532913208,2321.0,TV5,251.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uBOhCjlxPKA,2023-01-29,-0.9977411031723022,11924.0,ABN,205.0,28.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1
Pd-w1mCsu-s,2023-01-29,-0.9977624416351318,5781.0,TV9,164.0,10.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1
MnJC0XlBSiY,2023-01-29,-0.9989711046218872,751.0,ABN,190.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0
SoYUo2nHn7s,2023-01-29,-0.996989607810974,1153.0,ABN,295.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
YQcvLAYU58I,2023-02-10,-0.9985260367393494,33579.0,TV9,458.0,175.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fLLTn1o5YK8,2023-02-15,0.9934033751487732,1009.0,ABN,242.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
HqR6XCy8PMU,2023-02-16,-0.9904683232307434,995.0,TV9,313.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
