ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,Sajjala ,polavaram,yuvashakti,suprem court,ap development,tadipatri
JBJd72qSrU0,2022-12-29,-0.9990220069885254,1168.0,TV9,213.0,1.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,1,0,0,0,0,0,0,0,0,0,0,0,0,0
U1vtjBWL_W4,2022-12-29,-0.9976153373718262,2423.0,TV9,229.0,8.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,1,0,0,0,0,0,0,0,0,0,0,0
x2sUc4lD7hY,2022-12-29,0.9975765347480774,6966.0,Sakshi,540.0,24.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,1,1,0,0,1,0,0,0,0,0
3tlsg3KHJ6s,2023-01-03,-0.9981096982955932,2692.0,Sakshi,545.0,6.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,1,1,1,0,1,0,1,0,0,1,1,1,0
szxZTcHw8ZU,2023-01-06,0.6079198122024536,800.0,TV9,303.0,2.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,1,1,0,1,0,0,1,1,0,1,0,1
WY97AfCA00w,2023-01-06,-0.9982295632362366,1166.0,TV9,304.0,3.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,1,1,1,1,1,1,0,0,1,0,0,1,0,0
2zXmt6UB7ss,2023-01-12,0.9956539869308472,7770.0,Sakshi,316.0,18.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,1,1,1,1,1,1,0,1,0,1,1,1,1,1
ylR8yzXUT7s,2023-01-13,-0.9973456263542176,1185.0,ABN,185.0,0.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sh-R7ojwpSk,2023-01-16,-0.9989521503448486,4220.0,TV9,113.0,0.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsRPsPRP8X4,2023-01-17,0.9914684295654296,2083.0,TV9,236.0,4.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,1,1,0,0,0,0,0,0,1,1,0
rYe6ATj2Ahk,2023-01-27,0.9961565136909484,6503.0,TV9,491.0,4.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xOK7YmnJkXE,2023-01-27,-0.9935205578804016,2993.0,TV9,274.0,1.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quJeQBvg2jM,2023-01-27,-0.9854903221130372,3293.0,TV9,250.0,0.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73aDpBB2IZg,2023-01-30,-0.9976078271865844,3725.0,TV9,173.0,2.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g7cWvYmp8a0,2023-01-31,0.9851927757263184,2374.0,Sakshi,511.0,4.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,1,1,0,1,0,0,0,0,0,0
F6K1kP9oJRU,2023-02-10,-0.9993314743041992,2847.0,Sakshi,311.0,3.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,1,1,1,0,1,1,0,1,0,1,1,1,1,1
o20S7Eg0FkI,2023-02-12,-0.997126042842865,721.0,TV9,302.0,0.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbto_l9xZ8k,2023-02-17,-0.999178946018219,4016.0,TV5,270.0,3.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Y-e18y49FPg,2023-02-22,-0.998570680618286,5010.0,TV9,291.0,17.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,1,0,0,1,0,0,1,0,0
o8tC5Xx89uY,2023-03-14,0.996759593486786,1019.0,TV9,194.0,1.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyil3Qok04I,2023-04-04,0.9939577579498292,1006.0,Sakshi,91.0,1.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,1,0,0,0,1,1,0,0,0,0,0,0,0,1
F638lWGuDcA,2023-04-04,-0.9949593544006348,618.0,Sakshi,237.0,1.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,1,1,1,0,0,1,0,0,0,0,0,1,0,0
is50bnvn_1k,2023-04-11,-0.9970595240592957,46461.0,TV5,220.0,65.0,machillipatnma_l.png,Vallabhaneni Balasouri,YSRCP,Machillipatnam,0,0,1,0,1,0,1,0,0,0,0,1,1,0
