ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,tdp pattabhi,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
hAESTLofD3c,2022-11-02,-0.9986988306045532,1518.0,TV5,293.0,2.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7pIMhH6ijY,2022-11-02,0.9953857064247132,695.0,ABN,85.0,0.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU7SuqGh7Bo,2022-11-04,-0.9988514184951782,2406.0,ABN,480.0,2.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ndq-nu6Lhc,2022-11-04,-0.9983466863632202,1947.0,ABN,415.0,9.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QgFqB30TIk0,2022-11-07,0.9853787422180176,944.0,ABN,589.0,1.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nWB7H3TXD1A,2022-11-07,-0.9983683228492736,12876.0,TV5,210.0,16.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
nOsP_CnyL7w,2022-11-07,-0.9992225170135498,102612.0,Sakshi,515.0,198.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
Rb4LvIJSkMc,2022-11-13,-0.9923006296157836,1505.0,Sakshi,162.0,2.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
y_FdPM76HHA,2022-11-15,0.9958833456039428,2282.0,ABN,100.0,0.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_5-GliP2FeU,2022-11-16,-0.9974121451377868,3789.0,ABN,387.0,12.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vhMzHcjR-U8,2022-11-17,0.9874365329742432,5497.0,ABN,411.0,8.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIHXcgGPgFk,2022-11-18,0.9970357418060304,574.0,Sakshi,290.0,0.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eIyEJf6g7Xw,2022-11-18,-0.9829376339912416,10688.0,TV5,225.0,27.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Qh4KJtV5X6s,2022-11-20,-0.989916980266571,939.0,TV9,125.0,3.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7C2tjW4CYgU,2022-11-22,-0.9950770735740662,17910.0,ABN,440.0,35.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SRN_2soscQc,2022-11-24,-0.9986703395843506,1271.0,Sakshi,224.0,3.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1oNpiJmObI0,2022-11-25,-0.998841106891632,2270.0,ABN,305.0,0.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3sm9oFCFELE,2022-11-27,0.998330533504486,7064.0,TV5,485.0,10.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c-YmLC25L8M,2022-11-29,-0.9868627786636353,13146.0,ABN,300.0,7.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hxjJDBXZ7QY,2022-12-01,-0.9595218300819396,2230.0,TV9,161.0,0.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpn98Rk61K8,2022-12-01,0.9959979057312012,503.0,TV9,289.0,3.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pr06ZXifed0,2022-12-01,-0.9973740577697754,1118.0,TV9,245.0,1.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0
xb475sh_XE8,2022-12-01,-0.9965052604675292,1156.0,TV9,318.0,10.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
H18O1bb7ez0,2022-12-01,-0.9977866411209106,1975.0,ABN,550.0,6.0,chandragiri.png,Chevireddy Bhaskar Reddy,YSRCP,Chandragiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
