ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ambati rambabu,Gadapa Gadapaku ,janasena party,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy,Kakani,kotamreddy ,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Devineni Uma,nandigama
Y789V9kYkFY,2022-04-20,0.9968039989471436,37666.0,Sakshi,363.0,29.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0
Y3YXx3X7TY4,2022-05-06,-0.996918797492981,4577.0,Sakshi,212.0,6.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OaD50q_NsBA,2022-05-06,0.9978183507919312,105911.0,Sakshi,387.0,207.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
V2jasNdDw0M,2022-05-14,-0.9959900975227356,16562.0,Sakshi,156.0,47.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QOXUkEmKM3A,2022-06-19,0.9890925884246826,6957.0,Sakshi,134.0,21.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
SjpXSTRVHUI,2022-07-07,0.9985502362251282,10758.0,Sakshi,287.0,9.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
PKpSmeDgor8,2022-07-15,-0.9979448914527892,14622.0,Sakshi,251.0,26.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
giqfWtrP0OA,2022-07-28,0.9842846393585204,13089.0,Sakshi,213.0,25.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fbt-WaKozsw,2022-07-31,0.9921393990516664,19483.0,Sakshi,277.0,27.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VuNWr2E7_2Y,2022-08-03,-0.9693865776062012,151449.0,Sakshi,429.0,140.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RDBCz7t5nhI,2022-08-16,-0.9984887838363647,3566.0,Sakshi,263.0,3.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BXbJ5untIgs,2022-08-22,0.9850282669067384,1808.0,TV5,420.0,2.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
aJX4ER7EPhU,2022-08-22,0.9986490607261658,2029.0,TV5,385.0,6.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
