ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Yellow Media,Gadapa Gadapaku ,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,YSRCP Plenary,gorantla ,alliance,vizag steel plant,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
DHpYsMza30w,2022-05-09,0.9925011992454528,31734.0,Sakshi,397.0,106.0,visakapatnam.png,M.V.V.Satyanarayana,YSRCP,Visakhapatnam,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
W0_GJvOm0fg,2022-05-09,0.9963011741638184,9590.0,Sakshi,254.0,52.0,visakapatnam.png,M.V.V.Satyanarayana,YSRCP,Visakhapatnam,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
ZH94lbW5e00,2022-05-19,-0.9983015060424804,13386.0,Sakshi,389.0,14.0,visakapatnam.png,M.V.V.Satyanarayana,YSRCP,Visakhapatnam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2U3hkwr0bk,2022-05-28,0.9941456317901612,40350.0,Sakshi,246.0,77.0,visakapatnam.png,M.V.V.Satyanarayana,YSRCP,Visakhapatnam,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAPB1z6fa8k,2022-06-08,-0.994617760181427,13485.0,Sakshi,526.0,49.0,visakapatnam.png,M.V.V.Satyanarayana,YSRCP,Visakhapatnam,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
itrc5lhxM20,2022-06-12,0.9948285222053528,21537.0,Sakshi,181.0,17.0,visakapatnam.png,M.V.V.Satyanarayana,YSRCP,Visakhapatnam,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
u4ODEcaPInk,2022-06-15,-0.9930856227874756,12575.0,Sakshi,364.0,20.0,visakapatnam.png,M.V.V.Satyanarayana,YSRCP,Visakhapatnam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LtKt3DLeGbc,2022-06-15,-0.9978513717651368,3045.0,Sakshi,407.0,9.0,visakapatnam.png,M.V.V.Satyanarayana,YSRCP,Visakhapatnam,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWXj4LYHwoQ,2022-06-15,-0.9970762729644777,43448.0,Sakshi,332.0,148.0,visakapatnam.png,M.V.V.Satyanarayana,YSRCP,Visakhapatnam,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
j6FUAHNIxL0,2022-06-18,-0.9983178377151488,8192.0,Sakshi,141.0,13.0,visakapatnam.png,M.V.V.Satyanarayana,YSRCP,Visakhapatnam,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
