ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,gorantla ,polavaram,suprem court,butchaiah chowdary
1KGI-A_DJlI,2022-12-21,0.9847657680511476,13969.0,ABN,455.0,24.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
EKhVObWvlyA,2022-12-30,-0.9991660118103028,2669.0,TV9,300.0,18.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,1,1,1,1
AKpH6_exltA,2022-12-30,0.9963831901550292,2742.0,ABN,245.0,0.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
OzRwqHXS9WE,2022-12-30,-0.9992571473121644,575.0,TV9,195.0,3.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,1,0,0,0,0,0,1,0,0,0
cykmV1cAPBg,2022-12-30,-0.9983547329902648,710.0,ABN,117.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,1,1,1,1,0,0,1,1,0,1
5kZ0jLszh3U,2022-12-30,-0.998829185962677,3553.0,ABN,203.0,3.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,0,0,0,0,0,0,0,1
74Ubi83mpfI,2022-12-30,-0.9991100430488586,708.0,TV9,204.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,1,0,0,1
eED2iJYRGzE,2023-01-03,-0.9931724667549132,20515.0,ABN,155.0,35.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,1,0,0,0,1,0
P-ZPzIVtZIs,2023-01-03,-0.959550142288208,97161.0,TV5,205.0,118.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,0,0,0,0,0,0,0,1
qHTdL3h7ScQ,2023-01-03,-0.9958842396736144,798.0,TV5,180.0,2.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,0,0,0,0,0,0,0,1
qzKM-mtUJNs,2023-01-07,-0.9994441866874696,1191.0,TV9,327.0,3.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,1
vI9y7CT6hqM,2023-01-07,0.9948179125785828,799.0,ABN,245.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,1,1,1,0,0,0,0,1,1,0
4BT9P9B4LQ8,2023-01-07,-0.997314989566803,811.0,TV9,324.0,6.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,1,1,0,0,1,0,1,1
UHX6CFiZeg8,2023-01-18,0.9933881759643556,2413.0,TV9,215.0,3.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,1,0,1,0,0
v0e1kcMT8do,2023-01-18,-0.9984831213951112,2170.0,TV9,454.0,3.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
ZKm2gORGMEs,2023-01-18,0.998466730117798,3156.0,TV9,297.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
V6H4ay8g_oo,2023-01-19,0.9934628009796144,464.0,TV5,68.0,0.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
rYe6ATj2Ahk,2023-01-27,0.9961565136909484,6503.0,TV9,491.0,4.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
quJeQBvg2jM,2023-01-27,-0.9854903221130372,3293.0,TV9,250.0,0.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
xOK7YmnJkXE,2023-01-27,-0.9935205578804016,2993.0,TV9,274.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
Rt1jH7YFONk,2023-01-31,-0.997853696346283,3289.0,ABN,335.0,9.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,1,1,0,1,0,1,0,0,0,0
ZUx9zUO9AqA,2023-01-31,-0.9993535876274108,17514.0,ABN,475.0,47.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,1,0,0,0,0
0E0qpWr6CkA,2023-01-31,-0.999344766139984,1191.0,ABN,370.0,0.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,1,0,0,0,0
RPlI1lrQxSw,2023-02-13,-0.9944420456886292,1661.0,ABN,315.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,1,1,1,1,1,0,1,1,1,1
JFDKWjNOW6E,2023-02-13,-0.9906228184700012,805.0,ABN,235.0,0.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,1,1,0,0,1
0qGD5Rdi8uw,2023-02-13,-0.9984593391418456,3641.0,ABN,520.0,4.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,1,0,0,0,0
-9AjUH-Ff3I,2023-02-21,-0.9991409778594972,7770.0,ABN,352.0,10.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,1
oql096Xxfzc,2023-02-21,-0.9966411590576172,1107.0,TV9,265.0,0.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,0,0,0,0,0,0,0,1
tof6EkuYkpQ,2023-02-21,-0.9993717074394226,1900.0,ABN,251.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,1,0,0,0,0,0,1,1
W--TkGXeX8w,2023-02-21,-0.9851888418197632,1910.0,TV9,172.0,9.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,1
JUdXolxeRNs,2023-02-21,-0.9994593262672424,2237.0,ABN,280.0,4.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,0,1,0,0,0,0,0,1
qwyte50no1M,2023-02-21,-0.9973160624504088,1809.0,TV9,206.0,10.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,1,1,0,0,0,0,0,0,0,1
6TSr_1qAaJI,2023-02-21,-0.9990792274475098,2878.0,TV9,265.0,15.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,0,0,0,0,0,0,0,1
qpa8n4kVTSw,2023-02-21,-0.992486834526062,756.0,TV9,269.0,4.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,1,1,0,0,0,0,0,0,1,1
UewQXnnmtaU,2023-02-21,-0.9956161975860596,14236.0,TV9,220.0,10.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,1,1,0,0,0,0,0,1,0,0
5JIyhA3Ugxs,2023-02-22,-0.9915101528167723,1616.0,TV9,281.0,6.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
APPap_xaA4I,2023-02-22,0.9980660080909728,2022.0,TV9,269.0,8.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,1,0,0,0,0,1,1,0
g_1oCki4-No,2023-02-22,0.9988345503807068,2635.0,TV9,253.0,11.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,1,0,0,0,0
uzG5SZQqw0I,2023-03-13,-0.9981867671012878,2400.0,TV5,331.0,6.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,1,1,0,0,1,0,1,0,0,1
eh3GHg3jick,2023-03-16,-0.9993376135826112,4808.0,TV5,190.0,5.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,0,0,0,0,1,1,0,1
